begintime,ne_name,ne_type,vendor,integrity,VS.E1T1.ES.ES,id
2022-02-03,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,1
2022-02-04,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,2
2022-02-05,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,3
2022-02-06,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,4
2022-02-08,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,5
2022-02-10,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,6
2022-02-11,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,7
2022-02-12,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,8
2022-02-13,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,9
2022-02-17,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,87.5,0.0,10
2022-02-18,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,11
2022-02-19,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,12
2022-02-20,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,13
2022-03-01,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,14
2022-03-02,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,15
2022-03-03,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,16
2022-03-06,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,91.67,0.0,17
2022-03-07,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,18
2022-03-09,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,4.17,0.0,19
2022-03-10,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,95.83,0.0,20
2022-03-11,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,21
2022-03-12,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,79.17,0.0,22
2022-03-13,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,91.67,0.0,23
2022-03-14,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,24
2022-03-15,"FTBSC02/E1T1_ES:Port No.=238,Slot No.=16,Subrack No.=0",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,25
