begintime,ne_name,ne_type,vendor,integrity,VS.E1T1.ES.ES,VS.E1T1.ES.SES,VS.E1T1.ES.UAS,VS.E1T1.ES.BBE,VS.E1T1.ES.TES,VS.E1T1.ES.TSES,VS.E1T1.ES.TBBE,VS.E1T1.ES.ESR,VS.E1T1.ES.SESR,VS.E1T1.ES.UASR,VS.E1T1.ES.BBER,VS.E1T1.ES.TESR,VS.E1T1.ES.TSESR,VS.E1T1.ES.TBBER,VS.E1T1.ES.NUV,id
2022-02-03,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2022-02-03,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2022-02-04,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2022-02-04,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2022-02-05,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2022-02-05,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2022-02-06,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2022-02-06,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2022-02-08,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2022-02-08,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2022-02-10,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2022-02-10,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2022-02-11,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
2022-02-11,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2022-02-12,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
2022-02-12,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
2022-02-13,"FTBSC02/E1T1_ES:Port No.=137,Slot No.=14,Subrack No.=1",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
2022-02-13,"FTBSC02/E1T1_ES:Port No.=38,Slot No.=20,Subrack No.=2",Controller : Measurement of E1/T1 Port Bit Error Performance,Huawei,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
