begintime,ne_name,sk_object,ne_type,vendor,integrity,L.RRC.ConnReq.Att,L.E-RAB.NormRel,NOKIA LTE_DL Traffic(GB),HU LTE_DL Traffic(GB),NOKIA/HU DL Traffic_LTE,HU LTE_RRC SR%,HU LTE_ERAB Drop%,id
2024-03-18,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=1,Cell Name=4G_ABERDEEN-1,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",808985.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,266028.0,250606.0,0.0,151.8901,151.8901,99.9722,0.0168,1
2024-03-18,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=2,Cell Name=4G_ABERDEEN-2,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809021.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,228698.0,215674.0,0.0,116.4331,116.4331,99.9545,0.0417,2
2024-03-18,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=6,Cell Name=4G_ABERDEEN-6,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",809006.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,366574.0,287226.0,0.0,121.7845,121.7845,99.988,0.0035,3
2024-03-18,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN,Local Cell ID=7,Cell Name=4G_ABERDEEN-7,eNodeB ID=5104,Cell FDD TDD indication=CELL_FDD",832641.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,436194.0,355762.0,0.0,205.5183,205.5183,99.9917,0.0039,4
2024-03-18,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=1,Cell Name=4G_ADONKIA-1,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",808705.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,64993.0,52960.0,0.0,60.7818,60.7818,99.9877,0.0076,5
2024-03-18,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=2,Cell Name=4G_ADONKIA-2,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",808801.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,255165.0,224152.0,0.0,162.4335,162.4335,99.9886,0.0201,6
2024-03-18,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=3,Cell Name=4G_ADONKIA-3,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",808878.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,148591.0,131866.0,0.0,115.1499,115.1499,99.9563,0.0334,7
2024-03-18,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=6,Cell Name=4G_ADONKIA-6,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",808699.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,148947.0,88717.0,0.0,77.7493,77.7493,99.9899,0.0169,8
2024-03-18,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=7,Cell Name=4G_ADONKIA-7,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",817452.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,273372.0,181473.0,0.0,88.4992,88.4992,99.9718,0.0171,9
2024-03-18,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=8,Cell Name=4G_ADONKIA-8,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",808773.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,214264.0,150021.0,0.0,95.2407,95.2407,99.9767,0.0133,10
2024-03-18,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=1,Cell Name=4G_ALLENTOWN-1,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808971.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,279049.0,243324.0,0.0,118.1294,118.1294,99.9151,0.108,11
2024-03-18,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=2,Cell Name=4G_ALLENTOWN-2,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",809059.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,337100.0,290988.0,0.0,130.0046,130.0046,99.9469,0.0189,12
