begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,ipRmDropPcktsRtLimLteUplane,ipRmDropPcktsRtLimSrLteMplane,ipRmDropPcktsRtLimDefault,ipRmDropPcktsRtLimSplane,ipRmDropPcktsRtLimTwamp,ipRmDroppedPacketsRateLimiting,ipRmDropPcktsRtLimCplane,ipRmDroppedPacketsFiltering,sctpOutPackets,sctpInPackets,sctpInOctets,sctpOutOctets,tcpInOctets,tcpInPackets,tcpOutOctets,tcpOutPackets,ipTooBigPackets,discIpReassemblyTimedoutPkts,ipReassemblyError,ipDataTrafficVolumePckDisc,ipDataTrafficVolume,ipDataTrafficVolumeDiscards,ipDataTrafficVolumePackets,ipv4InReassembledPackets,ipv4InErrors,ipv4OutPackets,ipv4InOctets,ipv4OutOctets,ipv4InPackets,ifInMCastPackets,ifOutFragPackets,ifInErrors,ifInMCastOctets,ifInDiscardedMCastOctets,ifOutMCastPackets,ifOutMCastOctets,ifOutFragments,ifInOctets,ifInDiscardedMCastPackets,ifOutOctets,ifInPackets,ifOutPackets,ifOutDroppedPackets,ifOutDroppedOctets,ifTxOctets_EF1,ifTxPackets_EF1,ifTxDropOctets_rate_EF1,ifTxDropPackets_rate_EF1,ifTxDropOctets_delta_EF1,ifTxDropPackets_delta_EF1,ifTxOctets_EF2,ifTxPackets_EF2,ifTxDropOctets_rate_EF2,ifTxDropPackets_rate_EF2,ifTxDropOctets_delta_EF2,ifTxDropPackets_delta_EF2,ifTxOctets_EF3,ifTxPackets_EF3,ifTxDropOctets_rate_EF3,ifTxDropPackets_rate_EF3,ifTxDropOctets_delta_EF3,ifTxDropPackets_delta_EF3,ifTxOctets_AF1,ifTxPackets_AF1,ifTxDropOctets_rate_AF1,ifTxDropPackets_rate_AF1,ifTxDropOctets_delta_AF1,ifTxDropPackets_delta_AF1,ifTxOctets_AF2,ifTxPackets_AF2,ifTxDropOctets_rate_AF2,ifTxDropPackets_rate_AF2,ifTxDropOctets_delta_AF2,ifTxDropPackets_delta_AF2,ifTxOctets_AF3,ifTxPackets_AF3,ifTxDropOctets_rate_AF3,ifTxDropPackets_rate_AF3,ifTxDropOctets_delta_AF3,ifTxDropPackets_delta_AF3,ifTxOctets_AF4,ifTxPackets_AF4,ifTxDropOctets_rate_AF4,ifTxDropPackets_rate_AF4,ifTxDropOctets_delta_AF4,ifTxDropPackets_delta_AF4,ifTxOctets_BE,ifTxPackets_BE,ifTxDropOctets_rate_BE,ifTxDropPackets_rate_BE,ifTxDropOctets_delta_BE,ifTxDropPackets_delta_BE
2022-03-14,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,IPIF-1,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15561.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8392.0,103931008.0,6850577.0,1430773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5090,TNLSVC-1,TNL-1,IPNO-1,IPIF-3,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15527.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,34528.0,0.0,203218231.0,317614334614.0,49043452486.0,280539035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,"MRBTS-5090,TNLSVC-1,TNL-1,IPNO-1,IPIF-1,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15568.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,18180.0,101774278.0,14501481.0,1398921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5086,TNLSVC-1,TNL-1,IPNO-1,IPIF-3,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15532.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,39579.0,0.0,62978640.0,111720720104.0,14770760496.0,98521858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-12,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-2,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15517.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,2863736.0,404427428.0,261461448.0,4537159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5102,TNLSVC-1,TNL-1,IPNO-1,IPIF-1,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15561.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7573.0,104222910.0,6778073.0,1434881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,IPIF-2,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15542.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4606000.0,778883800.0,301173320.0,8546606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-15,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,IPIF-2,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15542.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4486300.0,753034308.0,297176952.0,8232192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-18,"MRBTS-5050,TNLSVC-1,TNL-1,IPNO-1,IPIF-3,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15526.0,dynamic,84.58333333333333,,,,,,,,,,,,,,,,,,,,,,,,917.0,0.0,64196794.0,122704253342.0,14994710785.0,102777057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-17,"MRBTS-5083,TNLSVC-1,TNL-1,IPNO-1,IPIF-3,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15530.0,dynamic,95.83333333333333,,,,,,,,,,,,,,,,,,,,,,,,111334.0,0.0,31383206.0,69987083440.0,6266601236.0,57323703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-15,"MRBTS-5023,TNLSVC-1,TNL-1,IPNO-1,IPIF-2,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15515.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,9075197.0,1279084608.0,852675368.0,13606823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,"MRBTS-5085,TNLSVC-1,TNL-1,IPNO-1,IPIF-1,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15556.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7928.0,103817156.0,6718704.0,1429273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-12,"MRBTS-5091,TNLSVC-1,TNL-1,IPNO-1,IPIF-1,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15518.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6538.0,103786132.0,6666157.0,1429025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-2,IPADDRESSV4-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF-IPADDRESSV4,15517.0,dynamic,100.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.0,2733483.0,384667224.0,251475240.0,4245802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
