begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.Thrp.Time.Cell.DL.HighPrecision
2022-02-03,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,505398683568.0,33498178.0
2022-02-02,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,416279768304.0,27643348.0
2022-02-04,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,364793037280.0,26313468.0
2022-02-05,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,348349377680.0,24723045.0
2022-02-06,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,424890052960.0,28616867.0
2022-02-10,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,488023983816.0,31491380.0
2022-02-08,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,483305860464.0,28569691.0
2022-02-11,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,505730986128.0,33528850.0
2022-02-12,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,406392413536.0,27088077.0
2022-02-13,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,333217681040.0,24157293.0
2022-02-18,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,513017455736.0,33390892.0
2022-02-17,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,485339678608.0,30098377.0
2022-02-19,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,390250320376.0,26287890.0
2022-02-20,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,348002320920.0,24559496.0
2022-03-01,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,476812040288.0,32005153.0
2022-03-02,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,555104390664.0,37659190.0
2022-03-06,4G_DILLET/,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,408624562824.0,28086339.0
