begintime,ne_name,ne_type,vendor,integrity,ahmed KPI
2022-02-02,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,55477512277048.0
2022-02-02,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,93.98,50107243655408.0
2022-02-02,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.25,91422516479000.0
2022-02-03,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,98.25,59322535721424.0
2022-02-03,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.75,52928722956208.0
2022-02-03,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,97197908589424.0
2022-02-04,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,58256939444280.0
2022-02-04,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,51336886122992.0
2022-02-04,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.48,95268725463560.0
2022-02-05,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,57545347963504.0
2022-02-05,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,49379014132376.0
2022-02-05,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,94798471120032.0
2022-02-06,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,58409862928784.0
2022-02-06,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.75,48687370167560.0
2022-02-06,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,96651061788800.0
2022-02-08,Cluster 1,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,42525356340784.0
2022-02-08,Cluster 2,eNodeB(4G) : Measurement of Cell Performance,Huawei,99.65,36002805261072.0
2022-02-08,Cluster 3,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,89866486163680.0
