begintime,ne_name,ne_type,vendor,integrity,VS.CHANNELIZED.FAULTTIME,id
2022-02-03,"FTBSC01/CHANNELIZED_OPTICAL_PORT:Port No.,Slot No.,Subrack No.",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,1
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,2
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,3
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,4
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,5
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,6
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=0,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,7
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,8
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,9
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,10
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,11
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,12
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=1,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,13
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,14
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=14,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,15
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=15,Subrack No.=1",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,16
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=16,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,17
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=20,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,18
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=2,Slot No.=21,Subrack No.=2",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,19
2022-02-03,"FTBSC02/CHANNELIZED_OPTICAL_PORT:Port No.=3,Slot No.=14,Subrack No.=0",Controller : Measurement of Channelized Optical Port Performance,Huawei,100.0,0.0,20
