begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.Cell.Unavail.Dur.Sys,L.E-RAB.SuccEst,L.E-RAB.AttEst,L.E-RAB.AbnormRel,L.E-RAB.NormRel,L.Thrp.bits.UL,L.Cell.Avail.Dur,L.Thrp.Time.Cell.DL.HighPrecision,L.Thrp.Time.Cell.UL.HighPrecision
2022-02-02,Huawei,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,9354e0a7-323b-407d-b0a7-2e93bae1de23,95.83333333333333,416279768304.0,15.0,62194.0,62379.0,77.0,71266.0,57922170544.0,82210.0,27643348.0,19097723.0
2022-02-03,Huawei,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,9354e0a7-323b-407d-b0a7-2e93bae1de23,100.0,505398683568.0,65.0,64170.0,64381.0,79.0,73364.0,81068678616.0,85350.0,33498178.0,20627625.0
2022-02-04,Huawei,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,9354e0a7-323b-407d-b0a7-2e93bae1de23,100.0,364793037280.0,90.0,65317.0,65513.0,78.0,73952.0,81827429744.0,84415.0,26313468.0,19568483.0
2022-02-05,Huawei,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,9354e0a7-323b-407d-b0a7-2e93bae1de23,100.0,348349377680.0,15.0,64021.0,64152.0,50.0,74126.0,76677290808.0,85990.0,24723045.0,16809174.0
2022-02-06,Huawei,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,9354e0a7-323b-407d-b0a7-2e93bae1de23,100.0,424890052960.0,0.0,60441.0,60569.0,28.0,69354.0,64802869024.0,86400.0,28616867.0,17862803.0
2022-02-08,Huawei,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,9354e0a7-323b-407d-b0a7-2e93bae1de23,100.0,483305860464.0,205.0,65476.0,65585.0,56.0,73848.0,79326181384.0,85700.0,28569691.0,21062430.0
2022-02-10,Huawei,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,9354e0a7-323b-407d-b0a7-2e93bae1de23,100.0,488023983816.0,0.0,76061.0,76337.0,89.0,85888.0,100383316584.0,86400.0,31491380.0,22226418.0
2022-02-11,Huawei,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,9354e0a7-323b-407d-b0a7-2e93bae1de23,100.0,505730986128.0,0.0,70684.0,70948.0,74.0,79854.0,124687002208.0,83405.0,33528850.0,23139046.0
2022-02-12,Huawei,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,9354e0a7-323b-407d-b0a7-2e93bae1de23,100.0,406392413536.0,25.0,61894.0,62030.0,68.0,70768.0,77499286432.0,84360.0,27088077.0,19535336.0
2022-02-13,Huawei,808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,9354e0a7-323b-407d-b0a7-2e93bae1de23,100.0,333217681040.0,0.0,61821.0,62045.0,33.0,71011.0,89862842328.0,86400.0,24157293.0,18395449.0
