begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,ERAB_REL_ENB_RNL_RED,EPC_EPS_BEARER_REL_REQ_OTH,EPS_BEARER_SETUP_COMPLETIONS,ERAB_REL_HO_PART,ERAB_REL_ENB_INI_S1_PART_RESET,ERAB_REL_SUCC_HO_GERAN,ERAB_REL_MME_INI_S1_PART_RESET,EPC_EPS_BEARER_REL_REQ_RNL,ERAB_REL_ENB_INI_S1_GLOB_RESET,ERAB_REL_MME_INI_S1_GLOB_RESET,ERAB_REL_ENB_RNL_RRNA,EPS_BEARER_SETUP_ATTEMPTS,ERAB_REL_ENB_RNL_INA,EPC_EPS_BEARER_REL_REQ_NORM,ERAB_REL_ENB,ERAB_REL_TEMP_QCI1,ERAB_REL_EPC_PATH_SWITCH,EPC_EPS_BEARER_REL_REQ_DETACH,ERAB_REL_S1_OUTAGE,ERAB_REL_SUCC_HO_UTRAN
2024-03-16,"MRBTS-5082,LNBTS-5082,LNCEL-2,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16270.0,dynamic,100.0,116.0,0.0,2778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2780.0,2493.0,141.0,2615.0,0.0,0.0,9.0,0.0,0.0
2024-03-17,"MRBTS-5082,LNBTS-5082,LNCEL-2,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16270.0,dynamic,100.0,250.0,0.0,3696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700.0,3250.0,192.0,3505.0,0.0,0.0,13.0,0.0,0.0
2024-03-09,"MRBTS-5082,LNBTS-5082,LNCEL-2,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16270.0,dynamic,91.04166666666667,325.0,0.0,4991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4996.0,4511.0,91.0,4843.0,0.0,0.0,9.0,0.0,0.0
2024-03-23,"MRBTS-5082,LNBTS-5082,LNCEL-2,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16270.0,dynamic,100.0,213.0,0.0,6294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6307.0,5955.0,110.0,6171.0,0.0,0.0,3.0,0.0,0.0
2024-03-24,"MRBTS-5082,LNBTS-5082,LNCEL-2,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16270.0,dynamic,100.0,225.0,0.0,6041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6055.0,5684.0,165.0,5935.0,0.0,0.0,7.0,0.0,3.0
2024-03-16,"MRBTS-5045,LNBTS-5045,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16272.0,dynamic,100.0,14852.0,0.0,79044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79283.0,57293.0,2507.0,72651.0,0.0,0.0,205.0,0.0,0.0
2024-03-17,"MRBTS-5045,LNBTS-5045,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16272.0,dynamic,95.83333333333333,20076.0,0.0,84219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84522.0,56624.0,2317.0,77273.0,0.0,0.0,165.0,42.0,0.0
2024-03-09,"MRBTS-5045,LNBTS-5045,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16272.0,dynamic,95.83333333333333,14692.0,0.0,92961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93199.0,69604.0,3105.0,84990.0,0.0,0.0,185.0,0.0,0.0
2024-03-23,"MRBTS-5045,LNBTS-5045,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16272.0,dynamic,100.0,15227.0,0.0,77459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77696.0,56182.0,2128.0,71873.0,0.0,0.0,165.0,0.0,0.0
2024-03-24,"MRBTS-5045,LNBTS-5045,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16272.0,dynamic,100.0,15301.0,0.0,76799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77025.0,54346.0,2040.0,70124.0,0.0,0.0,185.0,0.0,0.0
