begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,SIGN_CONN_ESTAB_ATT_EMG,SIGN_CONN_ESTAB_ATT_MO_S,SIGN_CONN_ESTAB_COMP,SIGN_CONN_ESTAB_ATT_HIPRIO,SIGN_CONN_ESTAB_ATT_MO_D,SIGN_CONN_ESTAB_ATT_DEL_TOL,SIGN_CONN_ESTAB_ATT_MT,PDCP_SDU_VOL_DL,ERAB_REL_ENB_RNL_RED,EPC_EPS_BEARER_REL_REQ_OTH,EPS_BEARER_SETUP_COMPLETIONS,ERAB_REL_HO_PART,ERAB_REL_ENB_INI_S1_PART_RESET,ERAB_REL_SUCC_HO_GERAN,ERAB_REL_MME_INI_S1_PART_RESET,EPC_EPS_BEARER_REL_REQ_RNL,ERAB_REL_ENB_INI_S1_GLOB_RESET,ERAB_REL_MME_INI_S1_GLOB_RESET,ERAB_REL_ENB_RNL_RRNA,EPS_BEARER_SETUP_ATTEMPTS,ERAB_REL_ENB_RNL_INA,EPC_EPS_BEARER_REL_REQ_NORM,ERAB_REL_ENB,ERAB_REL_TEMP_QCI1,ERAB_REL_EPC_PATH_SWITCH,EPC_EPS_BEARER_REL_REQ_DETACH,ERAB_REL_S1_OUTAGE,ERAB_REL_SUCC_HO_UTRAN
2024-03-16,"MRBTS-5062,LNBTS-5062,LNCEL-3,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16948.0,dynamic,100.0,0.0,39178.0,104899.0,0.0,38107.0,0.0,27963.0,,,,,,,,,,,,,,,,,,,,,
2024-03-17,"MRBTS-5062,LNBTS-5062,LNCEL-3,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16948.0,dynamic,95.83333333333333,0.0,35906.0,106385.0,0.0,40717.0,0.0,30115.0,,,,,,,,,,,,,,,,,,,,,
2024-03-09,"MRBTS-5062,LNBTS-5062,LNCEL-3,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16948.0,dynamic,95.83333333333333,0.0,44254.0,125681.0,0.0,48763.0,0.0,32938.0,,,,,,,,,,,,,,,,,,,,,
2024-03-23,"MRBTS-5062,LNBTS-5062,LNCEL-3,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16948.0,dynamic,100.0,0.0,42024.0,127978.0,0.0,52845.0,0.0,33518.0,,,,,,,,,,,,,,,,,,,,,
2024-03-24,"MRBTS-5062,LNBTS-5062,LNCEL-3,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16948.0,dynamic,100.0,0.0,34910.0,97929.0,0.0,37737.0,0.0,25663.0,,,,,,,,,,,,,,,,,,,,,
2024-03-16,"MRBTS-5084,LNBTS-5084,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16943.0,dynamic,100.0,0.0,7241.0,14212.0,0.0,3735.0,0.0,3423.0,,,,,,,,,,,,,,,,,,,,,
2024-03-17,"MRBTS-5084,LNBTS-5084,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16943.0,dynamic,95.83333333333333,0.0,10152.0,21169.0,0.0,6030.0,0.0,5180.0,,,,,,,,,,,,,,,,,,,,,
2024-03-09,"MRBTS-5084,LNBTS-5084,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16943.0,dynamic,95.83333333333333,0.0,12497.0,24984.0,0.0,6240.0,0.0,6428.0,,,,,,,,,,,,,,,,,,,,,
2024-03-23,"MRBTS-5084,LNBTS-5084,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16943.0,dynamic,100.0,1.0,8813.0,16927.0,0.0,4216.0,0.0,4121.0,,,,,,,,,,,,,,,,,,,,,
2024-03-24,"MRBTS-5084,LNBTS-5084,LNCEL-31,MCC-619,MNC-05",Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",16943.0,dynamic,100.0,0.0,7928.0,15522.0,0.0,4186.0,0.0,3578.0,,,,,,,,,,,,,,,,,,,,,
