begintime,ne_name,ne_type,vendor,integrity,4G Traffic ,sum_L.Thrp.bits.DL,sum_PDCP_SDU_VOL_DL,id
2022-02-02,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN, Local Cell ID=1, Cell Name=4G_ABERDEEN-1, eNodeB ID=5104, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,68432.084,547456669176.0,0,1
2022-02-02,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN, Local Cell ID=2, Cell Name=4G_ABERDEEN-2, eNodeB ID=5104, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,63877.496,511019971176.0,0,2
2022-02-02,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN, Local Cell ID=6, Cell Name=4G_ABERDEEN-6, eNodeB ID=5104, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,58578.29,468626323600.0,0,3
2022-02-02,"4G_ABERDEEN/Cell:eNodeB Function Name=4G_ABERDEEN, Local Cell ID=7, Cell Name=4G_ABERDEEN-7, eNodeB ID=5104, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,79603.858,636830864432.0,0,4
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA, Local Cell ID=1, Cell Name=4G_ADONKIA-1, eNodeB ID=5059, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,69729.545,557836359632.0,0,5
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA, Local Cell ID=2, Cell Name=4G_ADONKIA-2, eNodeB ID=5059, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,180846.216,1446769726584.0,0,6
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA, Local Cell ID=3, Cell Name=4G_ADONKIA-3, eNodeB ID=5059, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,108395.433,867163461776.0,0,7
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA, Local Cell ID=6, Cell Name=4G_ADONKIA-6, eNodeB ID=5059, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,50611.116,404888930168.0,0,8
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA, Local Cell ID=7, Cell Name=4G_ADONKIA-7, eNodeB ID=5059, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,88703.288,709626305648.0,0,9
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA, Local Cell ID=8, Cell Name=4G_ADONKIA-8, eNodeB ID=5059, Cell FDD TDD indication=CELL_FDD",eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,58560.607,468484857640.0,0,10
