begintime,ne_name,ne_type,vendor,integrity,L.Thrp.bits.DL,4G traffic,id
2022-02-02,Cell Name=4G_ABERDEEN-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,547456669176.0,547456669176.0,1
2022-02-02,Cell Name=4G_ABERDEEN-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,511019971176.0,511019971176.0,2
2022-02-02,Cell Name=4G_ABERDEEN-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,468626323600.0,468626323600.0,3
2022-02-02,Cell Name=4G_ABERDEEN-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,636830864432.0,636830864432.0,4
2022-02-02,Cell Name=4G_ADONKIA-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,557836359632.0,557836359632.0,5
2022-02-02,Cell Name=4G_ADONKIA-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1446769726584.0,1446769726584.0,6
2022-02-02,Cell Name=4G_ADONKIA-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,867163461776.0,867163461776.0,7
2022-02-02,Cell Name=4G_ADONKIA-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,404888930168.0,404888930168.0,8
2022-02-02,Cell Name=4G_ADONKIA-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,709626305648.0,709626305648.0,9
2022-02-02,Cell Name=4G_ADONKIA-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,468484857640.0,468484857640.0,10
2022-02-02,Cell Name=4G_ALLENTOWN-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,848433831000.0,848433831000.0,11
2022-02-02,Cell Name=4G_ALLENTOWN-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,1029892613848.0,1029892613848.0,12
2022-02-02,Cell Name=4G_ALLENTOWN-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,863887913384.0,863887913384.0,13
2022-02-02,Cell Name=4G_ALLENTOWN-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,403299891528.0,403299891528.0,14
2022-02-02,Cell Name=4G_ALLENTOWN-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,444615849952.0,444615849952.0,15
2022-02-02,Cell Name=4G_ALLENTOWN-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,931977243696.0,931977243696.0,16
2022-02-02,Cell Name=4G_ALLENTOWN_II-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,104706717048.0,104706717048.0,17
2022-02-02,Cell Name=4G_ALLENTOWN_II-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,787383670624.0,787383670624.0,18
2022-02-02,Cell Name=4G_ALLENTOWN_II-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,589303890744.0,589303890744.0,19
2022-02-02,Cell Name=4G_ALLENTOWN_II-6,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,84318859224.0,84318859224.0,20
2022-02-02,Cell Name=4G_ALLENTOWN_II-7,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,418152703720.0,418152703720.0,21
2022-02-02,Cell Name=4G_ALLENTOWN_II-8,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,576265390888.0,576265390888.0,22
2022-02-02,Cell Name=4G_BAOMAHUN-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,93520495696.0,93520495696.0,23
2022-02-02,Cell Name=4G_BAOMAHUN-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,4856474232.0,4856474232.0,24
2022-02-02,Cell Name=4G_BAOMAHUN-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,6595308360.0,6595308360.0,25
2022-02-02,Cell Name=4G_BARGBORHILL_II-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,387668113648.0,387668113648.0,26
2022-02-02,Cell Name=4G_BARGBORHILL_II-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,288745691984.0,288745691984.0,27
2022-02-02,Cell Name=4G_BARGBORHILL_II-3,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,777755156832.0,777755156832.0,28
2022-02-02,Cell Name=4G_BINTUMANI-1,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,260538043592.0,260538043592.0,29
2022-02-02,Cell Name=4G_BINTUMANI-2,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,139842947928.0,139842947928.0,30
