begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,hourly_huawei_enodeb_1526726657_rule_1,busy_hour_aggregation
2022-02-02 17:00:00,"4G_SWISS_RELIEF/Cell:eNodeB Function Name=4G_SWISS_RELIEF,Local Cell ID=1,Cell Name=4G_SWISS_RELIEF-1,eNodeB ID=5068,Cell FDD TDD indication=CELL_FDD",808892.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,64547284648.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-02 17:00:00,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=3,Cell Name=4G_ALLENTOWN_II-3,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",809081.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,46928276832.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-02 20:00:00,"4G_PORTLOKO_II/Cell:eNodeB Function Name=4G_PORTLOKO_II,Local Cell ID=1,Cell Name=4G_PORTLOKO_II-1,eNodeB ID=5049,Cell FDD TDD indication=CELL_FDD",808888.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,24109914184.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-02 21:00:00,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=1,Cell Name=4G_HILLSTATION-1,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",808757.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,73805744208.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-03 09:00:00,"4G_SWISS_RELIEF/Cell:eNodeB Function Name=4G_SWISS_RELIEF,Local Cell ID=1,Cell Name=4G_SWISS_RELIEF-1,eNodeB ID=5068,Cell FDD TDD indication=CELL_FDD",808892.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,55220416000.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-03 10:00:00,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=3,Cell Name=4G_ALLENTOWN_II-3,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",809081.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,50863405776.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-03 20:00:00,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=1,Cell Name=4G_HILLSTATION-1,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",808757.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,52085118136.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-03 22:00:00,"4G_PORTLOKO_II/Cell:eNodeB Function Name=4G_PORTLOKO_II,Local Cell ID=1,Cell Name=4G_PORTLOKO_II-1,eNodeB ID=5049,Cell FDD TDD indication=CELL_FDD",808888.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,22518499424.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-04 08:00:00,"4G_ALLENTOWN_II/Cell:eNodeB Function Name=4G_ALLENTOWN_II,Local Cell ID=3,Cell Name=4G_ALLENTOWN_II-3,eNodeB ID=5034,Cell FDD TDD indication=CELL_FDD",809081.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,60342837144.0,1,"MAX(""1526728261"") as ""rule_1"""
2022-02-04 20:00:00,"4G_SWISS_RELIEF/Cell:eNodeB Function Name=4G_SWISS_RELIEF,Local Cell ID=1,Cell Name=4G_SWISS_RELIEF-1,eNodeB ID=5068,Cell FDD TDD indication=CELL_FDD",808892.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,56614612096.0,1,"MAX(""1526728261"") as ""rule_1"""
