begintime,ne_name,integrity,VS.RRC.SetupConnEstab,RRC.SuccConnEstab.sum,VS.RRC.Rej.Sum,VS.RRC.ConnEstabTimeMax.CellDCH,VS.RAB.AbnormRel.CS.RF,RRC.AttConnEstab.OrgConvCall,RRC.AttConnEstab.OrgStrCall,id,tickets_integration,alarms_integration,comments_integration,inos_integration
2022-02-02,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",95.83,10858.0,10794.0,0.0,7260.0,1.0,909.0,0.0,1,True,True,True,True
2022-02-03,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,9460.0,9420.0,0.0,8150.0,1.0,679.0,0.0,2,True,True,True,True
2022-02-04,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,9172.0,9133.0,0.0,12130.0,0.0,759.0,0.0,3,True,True,True,True
2022-02-05,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,10054.0,10003.0,0.0,7850.0,0.0,751.0,0.0,4,True,True,True,True
2022-02-06,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,8685.0,8591.0,0.0,10630.0,0.0,597.0,0.0,5,True,True,True,True
2022-02-08,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,7309.0,7225.0,0.0,7770.0,1.0,615.0,0.0,6,True,True,True,True
2022-02-10,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,9468.0,9339.0,0.0,7850.0,0.0,613.0,0.0,7,True,True,True,True
2022-02-11,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,7653.0,7391.0,0.0,11560.0,0.0,689.0,0.0,8,True,True,True,True
2022-02-12,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,7177.0,7112.0,0.0,8990.0,0.0,753.0,0.0,9,True,True,True,True
2022-02-13,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,8969.0,8854.0,0.0,14530.0,1.0,639.0,0.0,10,True,True,True,True
2022-02-17,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",87.5,6981.0,6840.0,0.0,7950.0,0.0,562.0,0.0,11,True,True,True,True
2022-02-18,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,8209.0,8119.0,0.0,14850.0,0.0,644.0,0.0,12,True,True,True,True
2022-02-19,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,9282.0,9159.0,0.0,12310.0,0.0,685.0,0.0,13,True,True,True,True
2022-02-20,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,7782.0,7750.0,0.0,8030.0,0.0,516.0,0.0,14,True,True,True,True
2022-03-01,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,9169.0,9096.0,0.0,12080.0,0.0,615.0,0.0,15,True,True,True,True
2022-03-02,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,6365.0,6315.0,0.0,9130.0,0.0,510.0,0.0,16,True,True,True,True
2022-03-03,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,9475.0,9404.0,0.0,9270.0,0.0,697.0,0.0,17,True,True,True,True
2022-03-06,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",91.67,6804.0,6755.0,0.0,8110.0,0.0,531.0,0.0,18,True,True,True,True
2022-03-07,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",95.83,7695.0,7613.0,0.0,7710.0,0.0,697.0,0.0,19,True,True,True,True
2022-03-09,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",4.17,214.0,212.0,0.0,2620.0,0.0,25.0,0.0,20,True,True,True,True
2022-03-10,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",91.67,8026.0,7962.0,0.0,12820.0,0.0,680.0,0.0,21,True,True,True,True
2022-03-11,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,8058.0,8012.0,0.0,9040.0,0.0,737.0,0.0,22,True,True,True,True
2022-03-12,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",79.17,8159.0,8124.0,0.0,10390.0,0.0,771.0,0.0,23,True,True,True,True
2022-03-13,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",91.67,7784.0,7710.0,0.0,7760.0,0.0,511.0,0.0,24,True,True,True,True
2022-03-14,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",100.0,8697.0,8579.0,0.0,13620.0,2.0,656.0,0.0,25,True,True,True,True
2022-03-15,"FTBSC01/BSC6900UCell:Label=3G_GODERICH-53,CellID=35447",95.83,9047.0,9013.0,0.0,7210.0,0.0,647.0,0.0,26,True,True,True,True
