begintime,ne_name,ne_type,vendor,integrity,SFP_SMOD_BITS_RECV,id
2022-03-11,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.9,4128768000000.0,1
2022-03-11,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.9,4128768000000.0,2
2022-03-12,"MRBTS-5084,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.35,3833856000000.0,3
2022-03-12,"MRBTS-5084,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.35,4128768000000.0,4
2022-03-12,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.69,3244032000000.0,5
2022-03-12,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.69,3244032000000.0,6
2022-03-15,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.14,589824000000.0,7
2022-03-15,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.14,589824000000.0,8
2022-03-17,"MRBTS-5044,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.35,1474560000000.0,9
2022-03-17,"MRBTS-5044,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.35,1474560000000.0,10
2022-03-17,"MRBTS-5045,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.49,2064384000000.0,11
2022-03-17,"MRBTS-5045,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.49,2064384000000.0,12
2022-03-17,"MRBTS-5050,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.42,1769472000000.0,13
2022-03-17,"MRBTS-5050,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.42,1769472000000.0,14
2022-03-17,"MRBTS-5083,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.42,1769472000000.0,15
2022-03-17,"MRBTS-5084,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.42,589824000000.0,16
2022-03-17,"MRBTS-5084,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.42,1769472000000.0,17
2022-03-17,"MRBTS-5089,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.42,1769472000000.0,18
2022-03-17,"MRBTS-5090,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.42,1769472000000.0,19
2022-03-17,"MRBTS-5090,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.42,1769472000000.0,20
2022-03-19,"MRBTS-5079,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.28,1474560000000.0,21
2022-03-19,"MRBTS-5079,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,0.28,1474560000000.0,22
2022-03-19,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-1",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,1.11,4128768000000.0,23
2022-03-19,"MRBTS-5200,EQM-1,APEQM-1,CABINET-1,SMOD-1,SFP-2",4G : PLMN-MRBTS-EQM-APEQM-CABINET-SMOD-SFP,Nokia,1.11,5013504000000.0,24
