begintime,ne_name,ne_type,vendor,integrity,VS.RRC.Rej.Sum,VS.RAB.AttEstab.AMR,id
2022-02-02,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,0.0,693.0,1
2022-02-02,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,0.0,384.0,2
2022-02-02,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,0.0,336.0,3
2022-02-02,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,95.83,0.0,843.0,4
2022-02-03,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,602.0,5
2022-02-03,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,378.0,6
2022-02-03,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,351.0,7
2022-02-03,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,847.0,8
2022-02-04,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,8.0,711.0,9
2022-02-04,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,441.0,10
2022-02-04,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,412.0,11
2022-02-04,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,959.0,12
2022-02-05,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,693.0,13
2022-02-05,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,522.0,14
2022-02-05,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,369.0,15
2022-02-05,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,986.0,16
2022-02-06,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,470.0,17
2022-02-06,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,603.0,18
2022-02-06,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,352.0,19
2022-02-06,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,1078.0,20
2022-02-08,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,694.0,21
2022-02-08,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,446.0,22
2022-02-08,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,358.0,23
2022-02-08,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,942.0,24
2022-02-10,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,720.0,25
2022-02-10,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,412.0,26
2022-02-10,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,345.0,27
2022-02-10,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,950.0,28
2022-02-11,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,755.0,29
2022-02-11,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,412.0,30
2022-02-11,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,362.0,31
2022-02-11,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,947.0,32
2022-02-12,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,3.0,683.0,33
2022-02-12,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,506.0,34
2022-02-12,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,394.0,35
2022-02-12,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,1097.0,36
2022-02-13,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,515.0,37
2022-02-13,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,576.0,38
2022-02-13,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,333.0,39
2022-02-13,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,886.0,40
2022-02-17,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,87.5,0.0,690.0,41
2022-02-17,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,87.5,0.0,308.0,42
2022-02-17,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,87.5,0.0,441.0,43
2022-02-17,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,87.5,0.0,928.0,44
2022-02-18,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,656.0,45
2022-02-18,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,500.0,46
2022-02-18,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,366.0,47
2022-02-18,"FTBSC01/BSC6900UCell:Label=3G_LESTERPEAK_II-42,CellID=36239",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,1049.0,48
2022-02-19,"FTBSC01/BSC6900UCell:Label=3G_DILLET-11,CellID=34531",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,647.0,49
2022-02-19,"FTBSC01/BSC6900UCell:Label=3G_GLOUCESTER-11,CellID=38771",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,435.0,50
2022-02-19,"FTBSC01/BSC6900UCell:Label=3G_KETURAYLANE-11,CellID=35541",Controller(3G) : Measurement of Cell Performance,Huawei,100.0,0.0,452.0,51
