begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,UL_PRB_UTIL_TTI_MEAN
2022-03-17,"MRBTS-5045,LNBTS-5045,LNCEL-21,MCC-619,MNC-05",783.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4861111111111111,2.0
2022-03-12,"MRBTS-5084,LNBTS-5084,LNCEL-31,MCC-619,MNC-05",785.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,69.0
2022-03-17,"MRBTS-5084,LNBTS-5084,LNCEL-31,MCC-619,MNC-05",785.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,4.0
2022-03-17,"MRBTS-5090,LNBTS-5090,LNCEL-3,MCC-619,MNC-05",784.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,93.0
2022-03-17,"MRBTS-5044,LNBTS-5044,LNCEL-3,MCC-619,MNC-05",795.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,38.0
2022-03-17,"MRBTS-5090,LNBTS-5090,LNCEL-31,MCC-619,MNC-05",819.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,9.0
2022-03-19,"MRBTS-5079,LNBTS-5079,LNCEL-3,MCC-619,MNC-05",86827.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.2777777777777778,41.0
2022-03-19,"MRBTS-5200,LNBTS-5200,LNCEL-1,MCC-619,MNC-05",801.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9722222222222222,363.0
2022-03-12,"MRBTS-5200,LNBTS-5200,LNCEL-1,MCC-619,MNC-05",801.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.6944444444444444,100.0
2022-03-15,"MRBTS-5200,LNBTS-5200,LNCEL-1,MCC-619,MNC-05",801.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.1388888888888889,128.0
2022-03-11,"MRBTS-5200,LNBTS-5200,LNCEL-1,MCC-619,MNC-05",801.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.9027777777777778,505.0
2022-03-17,"MRBTS-5090,LNBTS-5090,LNCEL-2,MCC-619,MNC-05",802.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,59.0
2022-03-17,"MRBTS-5083,LNBTS-5083,LNCEL-3,MCC-619,MNC-05",793.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,12.0
2022-03-17,"MRBTS-5050,LNBTS-5050,LNCEL-2,MCC-619,MNC-05",789.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,7.0
2022-03-17,"MRBTS-5090,LNBTS-5090,LNCEL-1,MCC-619,MNC-05",821.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,17.0
2022-03-17,"MRBTS-5045,LNBTS-5045,LNCEL-3,MCC-619,MNC-05",792.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4861111111111111,91.0
2022-03-17,"MRBTS-5089,LNBTS-5089,LNCEL-2,MCC-619,MNC-05",810.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,4.0
2022-03-17,"MRBTS-5084,LNBTS-5084,LNCEL-21,MCC-619,MNC-05",794.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,6.0
2022-03-12,"MRBTS-5084,LNBTS-5084,LNCEL-21,MCC-619,MNC-05",794.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.3472222222222222,5.0
2022-03-17,"MRBTS-5050,LNBTS-5050,LNCEL-1,MCC-619,MNC-05",788.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,1.0
2022-03-17,"MRBTS-5089,LNBTS-5089,LNCEL-3,MCC-619,MNC-05",818.0,Nokia,"4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",dynamic,0.4166666666666667,8.0
