begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL
2022-02-02,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=1,Cell Name=4G_DILLET-1,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808670.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,416279768304.0
2022-02-02,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=1,Cell Name=4G_MOKABA-1,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",808672.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,26571434208.0
2022-02-02,"4G_PENDUMA_DOVEFACTORY/Cell:eNodeB Function Name=4G_PENDUMA_DOVEFACTORY,Local Cell ID=1,Cell Name=4G_PENDUMA_DOVEFACTORY-1,eNodeB ID=5114,Cell FDD TDD indication=CELL_FDD",808760.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,163899924248.0
2022-02-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=3,Cell Name=4G_ALLENTOWN-3,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808673.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,863887913384.0
2022-02-02,"4G_SUSSEX_II/Cell:eNodeB Function Name=4G_SUSSEX_II,Local Cell ID=1,Cell Name=4G_SUSSEX_II-1,eNodeB ID=5074,Cell FDD TDD indication=CELL_FDD",808674.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,127150860024.0
2022-02-02,"4G_KENEMATOWN/Cell:eNodeB Function Name=4G_KENEMATOWN,Local Cell ID=1,Cell Name=4G_KENEMATOWN-1,eNodeB ID=5057,Cell FDD TDD indication=CELL_FDD",808675.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,903349963256.0
2022-02-02,"4G_DUKESTREET_II/Cell:eNodeB Function Name=4G_DUKESTREET_II,Local Cell ID=3,Cell Name=4G_DUKESTREET_II-3,eNodeB ID=5010,Cell FDD TDD indication=CELL_FDD",808676.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,543356685768.0
2022-02-02,"4G_KISSYROAD/Cell:eNodeB Function Name=4G_KISSYROAD,Local Cell ID=1,Cell Name=4G_KISSYROAD-1,eNodeB ID=5011,Cell FDD TDD indication=CELL_FDD",808678.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1354473112032.0
2022-02-02,"4G_DUNDASTREET/Cell:eNodeB Function Name=4G_DUNDASTREET,Local Cell ID=6,Cell Name=4G_DUNDASTREET-6,eNodeB ID=5020,Cell FDD TDD indication=CELL_FDD",808679.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,182788677664.0
2022-02-02,"4G_KENNEDYSTREET/Cell:eNodeB Function Name=4G_KENNEDYSTREET,Local Cell ID=8,Cell Name=4G_KENNEDYSTREET-8,eNodeB ID=5027,Cell FDD TDD indication=CELL_FDD",808680.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,406185138224.0
2022-02-02,"4G_DAMAROAD/Cell:eNodeB Function Name=4G_DAMAROAD,Local Cell ID=1,Cell Name=4G_DAMAROAD-1,eNodeB ID=5043,Cell FDD TDD indication=CELL_FDD",808687.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1207583541032.0
2022-02-02,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=2,Cell Name=4G_ROCKELBANK-2,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",808688.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,377851217656.0
2022-02-02,"4G_SWISSHOTEL/Cell:eNodeB Function Name=4G_SWISSHOTEL,Local Cell ID=8,Cell Name=4G_SWISSHOTEL-8,eNodeB ID=5055,Cell FDD TDD indication=CELL_FDD",808689.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,792516148552.0
2022-02-02,"4G_MARJAYTOWN_II/Cell:eNodeB Function Name=4G_MARJAYTOWN_II,Local Cell ID=7,Cell Name=4G_MARJAYTOWN_II-7,eNodeB ID=5065,Cell FDD TDD indication=CELL_FDD",808690.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,462016273096.0
2022-02-02,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=3,Cell Name=4G_CONGOTOWN-3,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",808691.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,655289751640.0
2022-02-02,"4G_IMATT_II/Cell:eNodeB Function Name=4G_IMATT_II,Local Cell ID=1,Cell Name=4G_IMATT_II-1,eNodeB ID=5030,Cell FDD TDD indication=CELL_FDD",808692.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,236609371976.0
2022-02-02,"4G_BLACKHALLROAD_II/Cell:eNodeB Function Name=4G_BLACKHALLROAD_II,Local Cell ID=3,Cell Name=4G_BLACKHALLROAD_II-3,eNodeB ID=5028,Cell FDD TDD indication=CELL_FDD",808693.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1011133327168.0
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=7,Cell Name=4G_BINTUMANI-7,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",808695.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1164430212080.0
2022-02-02,"4G_IMATT_II/Cell:eNodeB Function Name=4G_IMATT_II,Local Cell ID=2,Cell Name=4G_IMATT_II-2,eNodeB ID=5030,Cell FDD TDD indication=CELL_FDD",808696.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,308574211256.0
2022-02-02,"4G_GODRECHSTREET/Cell:eNodeB Function Name=4G_GODRECHSTREET,Local Cell ID=7,Cell Name=4G_GODRECHSTREET-7,eNodeB ID=5019,Cell FDD TDD indication=CELL_FDD",808698.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,702729648768.0
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=6,Cell Name=4G_ADONKIA-6,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",808699.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,404888930168.0
2022-02-02,"4G_MARJAYTOWN_II/Cell:eNodeB Function Name=4G_MARJAYTOWN_II,Local Cell ID=8,Cell Name=4G_MARJAYTOWN_II-8,eNodeB ID=5065,Cell FDD TDD indication=CELL_FDD",808700.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,487531284272.0
2022-02-02,"4G_DILLET/Cell:eNodeB Function Name=4G_DILLET,Local Cell ID=6,Cell Name=4G_DILLET-6,eNodeB ID=5069,Cell FDD TDD indication=CELL_FDD",808701.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,261814740920.0
2022-02-02,"4G_DUNDASTREET/Cell:eNodeB Function Name=4G_DUNDASTREET,Local Cell ID=7,Cell Name=4G_DUNDASTREET-7,eNodeB ID=5020,Cell FDD TDD indication=CELL_FDD",808702.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,345491728640.0
2022-02-02,"4G_DUKESTREET_II/Cell:eNodeB Function Name=4G_DUKESTREET_II,Local Cell ID=6,Cell Name=4G_DUKESTREET_II-6,eNodeB ID=5010,Cell FDD TDD indication=CELL_FDD",808703.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,802738734624.0
2022-02-02,"4G_CITYROAD/Cell:eNodeB Function Name=4G_CITYROAD,Local Cell ID=2,Cell Name=4G_CITYROAD-2,eNodeB ID=5040,Cell FDD TDD indication=CELL_FDD",808704.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,368960027280.0
2022-02-02,"4G_ADONKIA/Cell:eNodeB Function Name=4G_ADONKIA,Local Cell ID=1,Cell Name=4G_ADONKIA-1,eNodeB ID=5059,Cell FDD TDD indication=CELL_FDD",808705.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,557836359632.0
2022-02-02,"4G_LESTERPEAK_II/Cell:eNodeB Function Name=4G_LESTERPEAK_II,Local Cell ID=0,Cell Name=4G_LESTERPEAK_II-1,eNodeB ID=5000,Cell FDD TDD indication=CELL_FDD",808706.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,316851913368.0
2022-02-02,"4G_LESTERPEAK_II/Cell:eNodeB Function Name=4G_LESTERPEAK_II,Local Cell ID=2,Cell Name=4G_LESTERPEAK_II-3,eNodeB ID=5000,Cell FDD TDD indication=CELL_FDD",808707.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,688555327944.0
2022-02-02,"4G_SEFADUCENTRAL/Cell:eNodeB Function Name=4G_SEFADUCENTRAL,Local Cell ID=2,Cell Name=4G_SEFADUCENTRAL-2,eNodeB ID=5061,Cell FDD TDD indication=CELL_FDD",808729.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,844908891216.0
2022-02-02,"4G_KOSSOHTOWN_II/Cell:eNodeB Function Name=4G_KOSSOHTOWN_II,Local Cell ID=2,Cell Name=4G_KOSSOHTOWN_II-2,eNodeB ID=5031,Cell FDD TDD indication=CELL_FDD",808730.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,817257716200.0
2022-02-02,"4G_KISSYBARRACKS/Cell:eNodeB Function Name=4G_KISSYBARRACKS,Local Cell ID=2,Cell Name=4G_KISSYBARRACKS-2,eNodeB ID=5052,Cell FDD TDD indication=CELL_FDD",808731.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,834376240592.0
2022-02-02,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=3,Cell Name=4G_COLLEGIATESCHOOL_II-3,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",808732.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,737477201224.0
2022-02-02,"4G_BINTUMANI/Cell:eNodeB Function Name=4G_BINTUMANI,Local Cell ID=2,Cell Name=4G_BINTUMANI-2,eNodeB ID=5006,Cell FDD TDD indication=CELL_FDD",808733.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,139842947928.0
2022-02-02,"4G_SPURROAD_II/Cell:eNodeB Function Name=4G_SPURROAD_II,Local Cell ID=7,Cell Name=4G_SPURROAD_II-7,eNodeB ID=5001,Cell FDD TDD indication=CELL_FDD",808734.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,20277391552.0
2022-02-02,"4G_TIHUN/Cell:eNodeB Function Name=4G_TIHUN,Local Cell ID=1,Cell Name=4G_TIHUN-1,eNodeB ID=5101,Cell FDD TDD indication=CELL_FDD",808790.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,3529059048.0
2022-02-02,"4G_KISSYHOUSE/Cell:eNodeB Function Name=4G_KISSYHOUSE,Local Cell ID=3,Cell Name=4G_KISSYHOUSE-3,eNodeB ID=5053,Cell FDD TDD indication=CELL_FDD",808736.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,449865488936.0
2022-02-02,"4G_ALLENTOWN/Cell:eNodeB Function Name=4G_ALLENTOWN,Local Cell ID=6,Cell Name=4G_ALLENTOWN-6,eNodeB ID=5021,Cell FDD TDD indication=CELL_FDD",808740.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,403299891528.0
2022-02-02,"4G_WILKINSONROAD/Cell:eNodeB Function Name=4G_WILKINSONROAD,Local Cell ID=3,Cell Name=4G_WILKINSONROAD-3,eNodeB ID=5005,Cell FDD TDD indication=CELL_FDD",808741.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,346101030856.0
2022-02-02,"4G_KISSYHOUSE/Cell:eNodeB Function Name=4G_KISSYHOUSE,Local Cell ID=7,Cell Name=4G_KISSYHOUSE-7,eNodeB ID=5053,Cell FDD TDD indication=CELL_FDD",808742.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,1207126081184.0
2022-02-02,"4G_DAMAROAD/Cell:eNodeB Function Name=4G_DAMAROAD,Local Cell ID=2,Cell Name=4G_DAMAROAD-2,eNodeB ID=5043,Cell FDD TDD indication=CELL_FDD",808751.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,275864907040.0
2022-02-02,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=1,Cell Name=4G_CLINETOWN-1,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",808752.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,882508011728.0
2022-02-02,"4G_MURRAYTOWNBARRACKS/Cell:eNodeB Function Name=4G_MURRAYTOWNBARRACKS,Local Cell ID=6,Cell Name=4G_MURRAYTOWNBARRACKS-6,eNodeB ID=5012,Cell FDD TDD indication=CELL_FDD",808753.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,273573944144.0
2022-02-02,"4G_SEFADUCENTRAL/Cell:eNodeB Function Name=4G_SEFADUCENTRAL,Local Cell ID=1,Cell Name=4G_SEFADUCENTRAL-1,eNodeB ID=5061,Cell FDD TDD indication=CELL_FDD",808754.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,746211167672.0
2022-02-02,"4G_WILKINSONROAD/Cell:eNodeB Function Name=4G_WILKINSONROAD,Local Cell ID=2,Cell Name=4G_WILKINSONROAD-2,eNodeB ID=5005,Cell FDD TDD indication=CELL_FDD",808755.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,297252754224.0
2022-02-02,"4G_GODERICH/Cell:eNodeB Function Name=4G_GODERICH,Local Cell ID=8,Cell Name=4G_GODERICH-8,eNodeB ID=5016,Cell FDD TDD indication=CELL_FDD",808756.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,625012929328.0
2022-02-02,"4G_HILLSTATION/Cell:eNodeB Function Name=4G_HILLSTATION,Local Cell ID=1,Cell Name=4G_HILLSTATION-1,eNodeB ID=5064,Cell FDD TDD indication=CELL_FDD",808757.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,828317931976.0
2022-02-02,"4G_SWISSHOTEL/Cell:eNodeB Function Name=4G_SWISSHOTEL,Local Cell ID=3,Cell Name=4G_SWISSHOTEL-3,eNodeB ID=5055,Cell FDD TDD indication=CELL_FDD",808758.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,416044000592.0
2022-02-02,"4G_MMCE/Cell:eNodeB Function Name=4G_MMCE,Local Cell ID=7,Cell Name=4G_MMCE-7,eNodeB ID=5009,Cell FDD TDD indication=CELL_FDD",808759.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,881126471064.0
2022-02-02,"4G_GODRECHSTREET/Cell:eNodeB Function Name=4G_GODRECHSTREET,Local Cell ID=3,Cell Name=4G_GODRECHSTREET-3,eNodeB ID=5019,Cell FDD TDD indication=CELL_FDD",808761.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,482522001776.0
2022-02-02,"4G_OAU_II/Cell:eNodeB Function Name=4G_OAU_II,Local Cell ID=8,Cell Name=4G_OAU_II-8,eNodeB ID=5013,Cell FDD TDD indication=CELL_FDD",808762.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,155770894224.0
2022-02-02,"4G_KISSYSHELL_II/Cell:eNodeB Function Name=4G_KISSYSHELL_II,Local Cell ID=6,Cell Name=4G_KISSYSHELL_II-6,eNodeB ID=5037,Cell FDD TDD indication=CELL_FDD",808763.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,361164209904.0
