vendor,table_name,table_id,counter_name,counter_name_alias,counter_id,counter_description,counter_unit,aggregation,enabled,enable_for_parser_module,mapped_object_id,tables_in_database,mapped_object_name,is_archived,busy_hour_aggregation,busy_hour_formula,busy_hour_column,aggregation_in_upper,functionsubsetid,object_aggregation,counter_technology,table_technology
Nokia,Traffic,1,SDCCH_SEIZ_ATT,SEIZURE ATTEMPTS,001000,Number of times when an MS attempts to seize an SDCCH.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,SDCCH_BUSY_ATT,SEIZURE ATTEMPTS WITH BUSY SDCCH,001001,"Number of times when an MS attempts to seize an SDCCH but the attempt is unsuccessful because all SDCCHs are busy. This counter does not necessarily mean that the call attempt is lost, because the call may be established as an FACCH call setup using TCH instead of SDCCH.  This counter is not triggered when the TCH reconfiguration is attempted because of dynamic SDCCH allocation. If the attempt fails, the SDCCH_busy_attempt is triggered together with 1155 UNSUCC_IMM_ASS_SDCCH_ATTEMPT.",Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,SDCCH_HO_SEIZ,SUCCESS SEIZURE FOR HO,001006,Number of successful SDCCH seizures for a handover.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,SDCCH_ASSIGN,SUCCESS SEIZURE FOR IMMEDIATE ASSIGNMENT,001007,Number of successful seizures of SDCCH for an immediate assignment.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,TCH_HO_SEIZ,SUCCESS TCH SEIZURE FOR HO,001008,Number of successful requests for a TCH in a handover.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,TCH_NORM_SEIZ,SUCCESS TCH SEIZURE FOR NORMAL ASSIGNMENT,001009,Number of successful requests for a TCH in a normal assignment.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,TCH_REQUEST,TCH REQUEST SUCCESS AND UNSUCCESS,001010,Total number of requests for a TCH (successful and unsuccessful).,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,TCH_REQ_REJ_LACK,TCH REQUEST REJECTED DUE TO LACK,001011,"Number of requests for TCHs that are rejected because there are no radio resources available. All kinds of procedures used to request a TCH are considered, that is, the TCH is rejected if there is no requested resources available for assignments using the normal TCH assignment procedure and assignments for all kinds of (incoming) handovers. This counter is also updated when a request for TCH is rejected because of a mismatch between the types of the requested channel and the A interface circuit.  See also counter 004079.",Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,TCH_QD_HO_ATT,HANDOVER ATTEMPTS IN THE QUEUE,001017,Number of HO attempts set in the queue for a TCH.  Counter 001010 is updated along with this counter.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,SDCCH_ABIS_FAIL,SDCCH ABIS PROBL,001033,Number of SDCCH transactions that are ended because of a failure in the Abis interface.  Impact: - Call cleared - HO failure  Reason for the impact: External / Abis interface,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,SDCCH_BTS_FAIL,SDCCH BTS FAIL,001036,"Number of SDCCH transactions that are ended because of a BTS failure. (The blocked TRX is in one of these substates: FU fault, CU fault, BTS reset, BCF reset, both CU and FU fault, BCF fault.)  Impact: Call cleared",Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,SDCCH_NETW_ACT,SDCCH NETW ACT,001039,"Number of SDCCH transactions ended because of a reconfiguration of the radio network. (The TRX blocked is in substate blocked by the system.)  Impact: - Call cleared - HO failure  Reason for the impact: See Radio Network Management, Service Block Description, for radio network reconfiguration.",Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,QUE_NALL_ASS_REQ_ATT,QUE NALL ASSIGN REQ ATT,001057,Number of requests for a call attempt with queuing not allowed.  Counter 001010 is updated along with this counter.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,QUE_NALL_ASS_REQ_FAIL,QUE NALL ASSIGN REQ FAIL,001061,Number of rejected call attempt requests with queuing not allowed.  Counters 001011 and 001141 are updated along with this counter.  Reason for the impact: There are no radio resources available.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,QUE_ALL_HO_REQ_FAIL,QUE ALL HO REQ FAIL,001068,"Number of the rejected requests for a handover with queuing allowed.  Counter 001011 is updated along with this counter.  Reason for the impact: This may be because queuing is not allowed in the BTS, or the request is removed from the queue because of expiry of a timer, or the request is replaced by another with higher priority.",Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,TCH_ACT_FAIL_NEW,TCH ACT FAIL TARGET,001083,Number of TCH transactions that are ended because of a failure to activate the target channel during an SDCCH-TCH or TCH-TCH HO.  Impact: HO failure and possibly call cleared  Reason for the impact: The RRM receives the CHANNEL_ACTIVATION_NACK message.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,TCH_ABIS_FAIL_CALL,TCH ABIS FAIL CALL,001084,"Number of TCH transactions ended because of a failure in the Abis interface during a call in progress.  Impact: Call cleared  Reason for the impact: External / Abis Interface  The signalling problems may include missing acknowledgement of channel activation, missing indication of call establishment, receipt of an error indication, corrupted messages, missing measurement results from the BTS, excessive timing advance or some internal reasons. These failures can also contain situations when the timer T3109 expires in a BSC in call release phase while waiting for the Release Indication. The MS subscriber does not see these failures caused by the T3109 expiry as real drop calls.",Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,TCH_FULL_REQ_PREFERRED,TCH REQ FULL PREFERRED,001104,Number of TCH requests with FR preferred (both successful and unsuccessful).  Counter 001010 is updated along with this counter.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,TCH_HALF_SEIZ_SPEECH_VER2,HALF TCH SEIZ SPEECH VER 2,001112,This counter is not in use.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
Nokia,Traffic,1,TCH_FULL_SEIZ_INT_HO_CH_RATE,FULL TCH SEIZ INT HO CH RATE,001116,Number of successful FR TCH seizures for an internal HO when the channel rate changes.  Counters 001008 and 001106 are updated along with this counter.,Integer number,sum,0,1,203,,"2G : BSC-BCF-BTS,SEG,TTP",,,,,SUM,,SUM,,
