vendor,table_name,table_id,counter_name,counter_name_alias,counter_id,counter_description,counter_unit,aggregation,enabled,enable_for_parser_module,mapped_object_id,tables_in_database,mapped_object_name,is_archived,busy_hour_aggregation,busy_hour_formula,busy_hour_column,aggregation_in_upper
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C115,Cell Level Sum Spare Counter 115 per DU and PLMN,M55904C00115,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C116,Cell Level Sum Spare Counter 116 per DU and PLMN,M55904C00116,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C117,Cell Level Sum Spare Counter 117 per DU and PLMN,M55904C00117,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C118,Cell Level Sum Spare Counter 118 per DU and PLMN,M55904C00118,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C119,Cell Level Sum Spare Counter 119 per DU and PLMN,M55904C00119,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C120,Cell Level Sum Spare Counter 120 per DU and PLMN,M55904C00120,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C121,Cell Level Sum Spare Counter 121 per DU and PLMN,M55904C00121,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C122,Cell Level Sum Spare Counter 122 per DU and PLMN,M55904C00122,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C123,Cell Level Sum Spare Counter 123 per DU and PLMN,M55904C00123,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C124,Cell Level Sum Spare Counter 124 per DU and PLMN,M55904C00124,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C125,Cell Level Sum Spare Counter 125 per DU and PLMN,M55904C00125,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C126,Cell Level Sum Spare Counter 126 per DU and PLMN,M55904C00126,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C127,Cell Level Sum Spare Counter 127 per DU and PLMN,M55904C00127,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C128,Cell Level Sum Spare Counter 128 per DU and PLMN,M55904C00128,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C129,Cell Level Sum Spare Counter 129 per DU and PLMN,M55904C00129,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C130,Cell Level Sum Spare Counter 130 per DU and PLMN,M55904C00130,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
Nokia,Spare counters per NRCELL level per DU per PLMN,55904,CELL_DU_P_SUM_M55904C131,Cell Level Sum Spare Counter 131 per DU and PLMN,M55904C00131,"This is a Cell-level Spare Counter per DU and PLMN with a logical type of ""SUM"".",integer number,sum,0,1,396,,"5G : PLMN-MRBTS-NRBTS-NRCELL,MCC-MNC",,,,,SUM
