begintime,sk_object,duration,integrity,1277069417,1277069419,1277069420,1277069421,1277069422,1277069423,1282411682,1282411683,1282436789,1282436790,1282438921
2022-02-19,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4584679.0,0.0,0.0
2022-02-17,7475590.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4249985.0,0.0,0.0
2022-03-14,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4313139.0,1.0,0.0
2022-03-03,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4748115.0,1.0,0.0
2022-02-04,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4580207.0,0.0,0.0
2022-02-08,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4378524.0,0.0,0.0
2022-02-20,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4467647.0,0.0,0.0
2022-02-13,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4456871.0,2.0,0.0
2022-03-07,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4689928.0,0.0,0.0
2022-03-11,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4735069.0,1.0,0.0
2022-03-15,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4385798.0,0.0,0.0
2022-03-06,7475590.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4513488.0,0.0,0.0
2022-02-18,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4571857.0,0.0,0.0
2022-03-02,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4583076.0,0.0,0.0
2022-03-12,7475590.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4299769.0,1.0,0.0
2022-02-12,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4541534.0,0.0,0.0
2022-02-03,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4324708.0,1.0,0.0
2022-02-11,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4622801.0,0.0,0.0
2022-03-01,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4696930.0,1.0,0.0
2022-02-05,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4539874.0,0.0,0.0
2022-02-06,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4415046.0,0.0,0.0
2022-02-10,7475590.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4786257.0,1.0,0.0
2022-03-13,7475590.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4156966.0,1.0,0.0
2022-03-10,7475590.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4637055.0,1.0,0.0
2022-03-09,7475590.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153121.0,0.0,0.0
