begintime,sk_object,duration,integrity,73422157,73423829,73423830,73430523,73430526,73440118,73446392,73446393,73448317
2022-03-06,7527930.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,7527935.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,7527911.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527913.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,7527909.0,86400.0,100.0,0.0,3582672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,7527917.0,75600.0,87.5,1.0,0.0,0.0,17.0,0.0,0.09523809523809523,7.0,0.0,12.0
2022-02-20,7527936.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,7527919.0,86400.0,100.0,0.0,3274115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,7527937.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,7527909.0,86400.0,100.0,0.0,3586985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,7527918.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,7527910.0,82800.0,95.83333333333333,0.0,8504457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,7527926.0,86400.0,100.0,31.0,0.0,0.0,408.0,247.0,16.583333333333332,367.0,207.0,5416.625
2022-03-02,7527926.0,86400.0,100.0,29.0,0.0,0.0,410.0,235.0,16.416666666666668,370.0,198.0,5221.375
2022-02-13,7527913.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527928.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,7527913.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,7527937.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,7527911.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,7527916.0,86400.0,100.0,22.0,0.0,0.0,318.0,205.0,13.25,288.0,169.0,3226.2916666666665
2022-02-06,7527929.0,86400.0,100.0,0.0,2667850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,7527922.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,7527921.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,7527923.0,86400.0,100.0,4.0,0.0,0.0,15.0,21.0,1.5833333333333333,9.0,15.0,16781.625
2022-02-11,7527920.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,7527918.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,7527924.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527922.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,7527915.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,7527930.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,7527935.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,7527935.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,7527922.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,7527921.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,7527929.0,82800.0,95.83333333333333,0.0,2785804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,7527921.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,7527912.0,3600.0,4.166666666666667,0.0,54746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,7527911.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,7527911.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,7527935.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,7527912.0,86400.0,100.0,0.0,2777450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,7527930.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,7527925.0,86400.0,100.0,17.0,0.0,0.0,418.0,0.0,10.125,371.0,0.0,12.0
2022-03-02,7527925.0,86400.0,100.0,16.0,0.0,0.0,410.0,0.0,10.125,370.0,0.0,12.0
2022-02-11,7527930.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,7527922.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,7527928.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,7527926.0,86400.0,100.0,30.0,0.0,0.0,399.0,241.0,16.166666666666668,359.0,200.0,4958.875
2022-03-10,7527915.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,7527918.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10,7527908.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,7527920.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,7527917.0,86400.0,100.0,1.0,0.0,0.0,16.0,0.0,0.08333333333333333,10.0,0.0,12.0
2022-03-03,7527914.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,7527927.0,86400.0,100.0,0.0,6347308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,7527919.0,68400.0,79.16666666666667,0.0,3492139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,7527937.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,7527911.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,7527927.0,75600.0,87.5,0.0,5707000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,7527929.0,79200.0,91.66666666666667,0.0,2635610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,7527910.0,86400.0,100.0,0.0,8621304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,7527935.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,7527936.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,7527916.0,86400.0,100.0,23.0,0.0,0.0,304.0,195.0,12.708333333333334,270.0,162.0,3031.9166666666665
