begintime,sk_object,duration,integrity,73445327,73445328,73445329,73445330,73445331,73445332,73445333,73445334
2022-03-03,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,41536.048,117270.442,0.0,0.0
2022-03-02,7527975.0,86400.0,100.0,3391192860.0,2605844498.0,995613721294.0,487658429268.0,133713.842,79076.699,92186.45575,45153.55829166667
2022-03-12,7527975.0,68400.0,79.16666666666667,3008994451.0,2390892675.0,830737431085.0,443364128485.0,128595.63,79881.73,97162.27263157895,51855.45347368421
2022-02-20,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,41713.885,120409.827,0.0,0.0
2022-02-17,7527975.0,75600.0,87.5,3199245981.0,2487516464.0,938695294033.0,476833099012.0,138354.982,83864.678,99332.83533333334,50458.529
2022-03-01,7527975.0,86400.0,100.0,3403172208.0,2623626944.0,998329504265.0,492156073290.0,135898.827,82094.062,92437.91695833333,45570.00679166667
2022-02-05,7527974.0,86400.0,100.0,4254059552.0,2722353016.0,907954266389.0,429816519923.0,127020.086,74179.71,84069.83958333333,39797.82599583334
2022-03-03,7527972.0,86400.0,100.0,4077933262.0,2877175203.0,448628681326.0,224881845045.0,66394.408,45184.51,41539.69266666667,20822.3930375
2022-02-13,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,39961.029,124012.55,0.0,0.0
2022-03-07,7527974.0,86400.0,100.0,4543518700.0,2874924876.0,881867597936.0,426685771683.0,124703.768,74452.493,81654.40725,39507.94180833334
2022-02-11,7527975.0,86400.0,100.0,3323174410.0,2609065358.0,987339946283.0,495189925447.0,132086.115,82496.414,91420.36541666667,45850.919
2022-02-08,7527972.0,86400.0,100.0,3892691035.0,2803724995.0,428388884813.0,219581439201.0,66409.845,45046.386,39665.6375,20331.614691666666
2022-03-07,7527972.0,86400.0,100.0,4066384393.0,2910972292.0,445787143478.0,227264434585.0,66489.504,45307.939,41276.587375,21043.003170833334
2022-02-17,7527973.0,75600.0,87.5,0.0,0.0,0.0,0.0,41624.048,124101.19,0.0,0.0
2022-03-07,7527975.0,86400.0,100.0,3383987751.0,2649300575.0,974186739560.0,492458556901.0,130653.782,80850.994,90202.47591666666,45598.01458333333
2022-02-19,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,41657.306,122413.995,0.0,0.0
2022-02-05,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,39783.958,113642.115,0.0,0.0
2022-02-03,7527975.0,86400.0,100.0,3297264211.0,2583668848.0,993128080623.0,496855943368.0,133811.784,80037.294,91956.30366666667,46005.179875
2022-02-06,7527975.0,86400.0,100.0,3292783301.0,2569175272.0,1005552656482.0,494719773730.0,130903.718,79905.552,93106.72754166667,45807.38641666667
2022-02-06,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,38051.026,117249.165,0.0,0.0
2022-03-14,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,36801.194,108769.296,0.0,0.0
2022-03-15,7527972.0,86400.0,100.0,3989692352.0,2842225742.0,438641928704.0,222089572943.0,64153.576,44284.56,40614.99333333333,20563.849404166667
2022-03-14,7527974.0,86400.0,100.0,4385970540.0,2607267629.0,823219977382.0,383792683479.0,119483.182,71264.43,76224.072,35536.359529166664
2022-03-02,7527974.0,86400.0,100.0,4489238708.0,2777003256.0,882767931151.0,408611684092.0,125185.021,66044.898,81737.77145833333,37834.4152
2022-03-06,7527972.0,79200.0,91.66666666666667,3832150829.0,2793166686.0,421025553273.0,217103511966.0,66260.744,44028.43,42527.833772727274,21929.647686363638
2022-02-05,7527972.0,86400.0,100.0,3938812842.0,2887239076.0,435479796242.0,225532753901.0,66392.677,43965.717,40322.203375,20882.662358333335
2022-02-05,7527975.0,86400.0,100.0,3352551456.0,2624213147.0,1004442168108.0,507154487742.0,130303.662,81166.253,93003.90445833333,46958.748875
2022-02-10,7527975.0,86400.0,100.0,3316334178.0,2599259029.0,995926541692.0,493012981550.0,131853.955,81213.387,92215.42058333334,45649.35016666666
2022-02-03,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,41538.458,123987.125,0.0,0.0
2022-02-13,7527974.0,86400.0,100.0,4298372809.0,2673089242.0,912657472674.0,423883701715.0,128030.562,72682.47,84505.32154166666,39248.49090416667
2022-02-18,7527974.0,86400.0,100.0,4464975083.0,2818906144.0,935411626010.0,444498136066.0,125688.446,75757.816,86612.18770833334,41157.23479166667
2022-02-20,7527974.0,86400.0,100.0,4369289016.0,2693985778.0,902132849389.0,414389649853.0,127537.765,75405.464,83530.819375,38369.411875
2022-03-13,7527975.0,75600.0,87.5,2994552487.0,2330060577.0,858810243395.0,432641487362.0,125357.998,75503.766,90879.39076190477,45782.1679047619
2022-03-06,7527974.0,79200.0,91.66666666666667,4296716074.0,2681409232.0,824197012800.0,389402789888.0,123027.84,73229.749,83252.22354545454,39333.615163636365
2022-03-09,7527975.0,3600.0,4.166666666666667,132158449.0,96996419.0,44334172021.0,19622505944.0,124451.002,58936.776,98520.382,43605.569
2022-03-01,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,41081.523,122465.082,0.0,0.0
2022-03-03,7527975.0,86400.0,100.0,3445821922.0,2681988703.0,993889098518.0,496429452641.0,129431.486,80241.278,92026.76841666667,45965.690083333335
2022-03-12,7527972.0,68400.0,79.16666666666667,3685236027.0,2766852442.0,402495662199.0,216718608411.0,66307.461,45682.392,47075.51610526316,25347.205694736844
2022-02-13,7527972.0,86400.0,100.0,4012587192.0,2974760281.0,447417303083.0,232388945680.0,67672.456,46387.59,41427.528041666665,21517.49493333333
2022-03-11,7527973.0,86400.0,100.0,0.0,0.0,0.0,0.0,38529.878,110600.73,0.0,0.0
2022-02-10,7527972.0,86400.0,100.0,3902640603.0,2812048692.0,430021065255.0,219635368721.0,66320.646,43895.086,39816.765166666664,20336.608220833332
2022-03-14,7527975.0,86400.0,100.0,3154592373.0,2404016117.0,866358075351.0,429682650440.0,125920.163,77927.813,80218.34033333333,39785.430583333335
2022-03-13,7527972.0,75600.0,87.5,3813435578.0,2745553080.0,416128291969.0,213324791459.0,65834.09,44653.496,44034.73980952381,22574.051995238096
