begintime,sk_object,duration,integrity,67189907,67189908,73394034,73394035,73394036,73394037,73394038,67183495,67183496,67183497,67183498,73394039
2022-03-02,16492411.0,3600.0,4.166666666666667,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-02,10482069.0,7200.0,8.333333333333334,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2022-02-12,7583757.0,64800.0,75.0,2.0,0.0,139.0,0.0,139.0,137.0,0.0,137.0,130.0,0.0,0.0,0.0
2022-02-04,7585163.0,39600.0,45.833333333333336,0.0,0.0,15.0,0.0,15.0,15.0,0.0,15.0,15.0,0.0,0.0,0.0
2022-02-06,10777168.0,3600.0,4.166666666666667,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2022-02-04,10193093.0,14400.0,16.666666666666668,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0
2022-02-08,7590722.0,61200.0,70.83333333333333,1.0,0.0,45.0,0.0,45.0,45.0,0.0,45.0,44.0,0.0,0.0,0.0
2022-02-20,7582720.0,79200.0,91.66666666666667,7.0,0.0,289.0,0.0,289.0,287.0,0.0,287.0,277.0,1.0,1.0,0.0
2022-02-06,7585208.0,64800.0,75.0,2.0,0.0,108.0,0.0,108.0,106.0,0.0,106.0,103.0,1.0,1.0,0.0
2022-02-11,7590794.0,43200.0,50.0,0.0,0.0,22.0,0.0,22.0,22.0,0.0,22.0,22.0,0.0,0.0,0.0
2022-02-13,7588613.0,72000.0,83.33333333333333,3.0,0.0,275.0,0.0,275.0,271.0,0.0,271.0,266.0,0.0,0.0,0.0
2022-02-12,9899017.0,10800.0,12.5,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0
2022-02-20,17706482.0,14400.0,16.666666666666668,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0
2022-03-14,9320321.0,18000.0,20.833333333333332,0.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0
