begintime,sk_object,duration,integrity,67194469,67194470,67194471,67194472,67194473
2022-02-18,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,805835.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-10,805835.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-03,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,805833.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-03-02,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,805830.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-02-11,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,805835.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-03,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,805844.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-03-14,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,805831.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-08,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,805830.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-02-08,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,805830.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-01,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,805833.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-02-12,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,805845.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-02-20,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,805834.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-02-11,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,805834.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-02-10,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,805844.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-02-04,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-06,805830.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-13,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,805831.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-01,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,805833.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-12,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-17,805845.0,75600.0,87.5,0.0,0.0,0.0,0.0,0.0
2022-03-12,805832.0,68400.0,79.16666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-06,805834.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-19,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,805833.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-03-15,805835.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-02-10,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-20,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,805835.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0,0.0
2022-02-11,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-02,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-13,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,805835.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-05,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-08,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,805844.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,805830.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-06,805845.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,805832.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-06,805845.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-06,805844.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-04,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,805833.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,805835.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0
2022-03-11,805832.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-09,805844.0,3600.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0
2022-02-05,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-03,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-02-19,805834.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
2022-03-03,805831.0,86400.0,100.0,0.0,0.0,0.0,0.0,0.0
