begintime,sk_object,duration,integrity,1593835630,1593835632,1593835633,1593835634,1593835679,1593835680,1593835681,1593835682
2022-03-15,7732699.0,86400.0,100.0,0.0,7.0,5.0,0.0,,,,
2022-02-05,7732696.0,86400.0,100.0,0.0,42.0,4.625,0.0,,,,
2022-03-12,7732570.0,68400.0,79.16666666666667,0.0,11.0,3.789473684210526,0.0,,,,
2022-02-10,7732626.0,86400.0,100.0,0.0,9.0,5.708333333333333,0.0,,,,
2022-02-17,7732625.0,75600.0,87.5,0.0,9.0,6.571428571428571,0.0,,,,
2022-02-06,7732699.0,86400.0,100.0,0.0,7.0,5.0,0.0,,,,
2022-02-10,7732603.0,86400.0,100.0,0.0,7.0,4.041666666666667,0.0,,,,
2022-02-18,7732602.0,86400.0,100.0,0.0,19.0,8.166666666666666,0.0,,,,
2022-02-04,7732734.0,86400.0,100.0,0.0,43.0,7.833333333333333,0.0,,,,
2022-02-17,7732727.0,75600.0,87.5,0.0,4.0,1.0,0.0,,,,
2022-02-10,7732706.0,86400.0,100.0,0.0,13.0,4.583333333333333,0.0,,,,
2022-02-13,7732614.0,86400.0,100.0,0.0,7.0,3.75,0.0,,,,
2022-02-05,7732724.0,86400.0,100.0,0.0,9.0,6.0,0.0,,,,
2022-02-13,7732687.0,86400.0,100.0,0.0,6.0,4.0,0.0,,,,
2022-03-12,7732637.0,68400.0,79.16666666666667,0.0,7.0,5.0,0.0,,,,
2022-03-12,7732580.0,68400.0,79.16666666666667,0.0,6.0,1.0,0.0,,,,
2022-02-12,7732587.0,82800.0,95.83333333333333,0.0,52.0,3.0,0.0,,,,
2022-02-05,7732734.0,86400.0,100.0,0.0,16.0,7.333333333333333,0.0,,,,
2022-03-12,7732572.0,68400.0,79.16666666666667,0.0,4.0,1.0,0.0,,,,
2022-03-12,7732700.0,68400.0,79.16666666666667,0.0,25.0,7.105263157894737,0.0,,,,
2022-02-11,7732591.0,86400.0,100.0,0.0,30.0,10.208333333333334,0.0,,,,
2022-02-06,7732688.0,86400.0,100.0,0.0,9.0,5.708333333333333,0.0,,,,
2022-02-19,7732680.0,86400.0,100.0,0.0,7.0,4.666666666666667,0.0,,,,
2022-02-13,7732678.0,86400.0,100.0,0.0,13.0,5.333333333333333,0.0,,,,
2022-03-10,7732615.0,82800.0,95.83333333333333,0.0,11.0,7.826086956521739,0.0,,,,
2022-03-14,7732653.0,86400.0,100.0,0.0,10.0,6.416666666666667,0.0,,,,
