begintime,sk_object,duration,integrity,1542455326,1542455327,1542455328,1542455329,1542455330,1542455331,1542455332,1542455333,1542460727,1542460728,1542460729
2022-03-13,879809.0,75600.0,87.5,387607209.0,37679288760.0,58426.0,4545786.0,467518055.0,189243018070.0,0.0,0.0,,,
2022-03-02,879916.0,86400.0,100.0,60180136.0,4874285033.0,61384.0,4776538.0,88256412.0,32427807211.0,0.0,0.0,,,
2022-02-11,879897.0,86400.0,100.0,917486157.0,86331915332.0,66786.0,5196324.0,1039681340.0,424939654135.0,0.0,0.0,,,
2022-02-12,879824.0,86400.0,100.0,372963297.0,37016103893.0,66758.0,5193762.0,447670629.0,181995929033.0,0.0,0.0,,,
2022-02-19,879840.0,86400.0,100.0,962021453.0,91554443182.0,66719.0,5190550.0,1072308289.0,444769129516.0,0.0,0.0,,,
2022-03-06,879873.0,79200.0,91.66666666666667,880346477.0,82776765686.0,60542.0,4711018.0,797453862.0,362099269869.0,0.0,0.0,,,
2022-03-03,879943.0,86400.0,100.0,15363386.0,1409610184.0,64935.0,5051464.0,30226758.0,8361076021.0,0.0,0.0,,,
2022-02-06,879972.0,86400.0,100.0,562188544.0,55409725037.0,66804.0,5197442.0,638479311.0,231413268761.0,0.0,0.0,,,
2022-02-11,879968.0,86400.0,100.0,380987115.0,34251140694.0,0.0,0.0,395776817.0,176282909212.0,0.0,0.0,,,
2022-02-10,879862.0,86400.0,100.0,81229526.0,6847858955.0,0.0,0.0,84867632.0,39190096240.0,0.0,0.0,,,
2022-03-06,879775.0,79200.0,91.66666666666667,271139127.0,25869822914.0,0.0,0.0,339283163.0,154668147957.0,0.0,0.0,,,
2022-02-10,879957.0,86400.0,100.0,1192562081.0,117481848050.0,66555.0,5175810.0,1229955820.0,537382508012.0,0.0,0.0,,,
2022-03-02,879976.0,86400.0,100.0,111758398.0,9946393683.0,63242.0,4921452.0,101974845.0,48547940981.0,0.0,0.0,,,
2022-03-07,879824.0,86400.0,100.0,370326592.0,35030975504.0,66742.0,5192436.0,431305326.0,169610542458.0,0.0,0.0,,,
2022-02-18,879792.0,86400.0,100.0,557027043.0,55069670316.0,66657.0,5186142.0,666710091.0,256259235654.0,0.0,0.0,,,
2022-03-15,879850.0,75600.0,87.5,561878735.0,52368432821.0,55694.0,4330740.0,568693625.0,222160810152.0,0.0,0.0,,,
2022-02-13,879788.0,86400.0,100.0,26938366.0,2372437853.0,65273.0,5078182.0,72923071.0,16978532023.0,0.0,0.0,,,
2022-03-06,879971.0,79200.0,91.66666666666667,147298753.0,13387565927.0,0.0,0.0,204353122.0,74869920387.0,0.0,0.0,,,
2022-02-19,879919.0,86400.0,100.0,1315825219.0,124171543166.0,66554.0,5178086.0,1200163949.0,515789317349.0,0.0,0.0,,,
2022-03-03,879837.0,86400.0,100.0,15644096.0,1628921951.0,0.0,0.0,33685635.0,6675155313.0,0.0,0.0,,,
2022-03-14,879875.0,86400.0,100.0,549813191.0,51060758254.0,66167.0,5148046.0,551129750.0,204237718595.0,0.0,0.0,,,
2022-02-11,879979.0,86400.0,100.0,825875512.0,79776047703.0,66806.0,5198016.0,899460267.0,387737074410.0,0.0,0.0,,,
2022-02-06,879830.0,86400.0,100.0,180947389.0,17375848709.0,66886.0,5203910.0,178379741.0,81700664923.0,0.0,0.0,,,
2022-03-11,879829.0,86400.0,100.0,952631150.0,87500836579.0,66880.0,5203476.0,964592314.0,415198832201.0,0.0,0.0,,,
2022-03-10,879804.0,82800.0,95.83333333333333,222963572.0,19783896489.0,64360.0,5007764.0,259796541.0,118430589101.0,0.0,0.0,,,
2022-03-11,879880.0,86400.0,100.0,130890987.0,11411946519.0,0.0,0.0,184187953.0,72095706696.0,0.0,0.0,,,
2022-02-05,879858.0,86400.0,100.0,346786311.0,34004395636.0,66744.0,5192964.0,451100370.0,173754104388.0,0.0,0.0,,,
