begintime,sk_object,duration,integrity,M8009C2,M8009C0,M8009C1,M8009C3,M8009C4,M8009C5,M8009C6,M8009C7,M8009C8,M8009C9,M8009C10,M8009C11,M8009C14,M8009C15,M8009C16,M8009C17,M8009C18,M8009C19,M8009C20,M8009C21,M8009C22,M8009C23,M8009C24,M8009C25,M8009C26,M8009C27
2022-03-12,710.0,10.0,0.6944444444444444,67.0,6.0,69.0,0.0,,0.0,67.0,67.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-19,86803.0,4.0,0.2777777777777778,2.0,0.0,2.0,0.0,,0.0,2.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-19,715.0,14.0,0.9722222222222222,64.0,21.0,96.0,0.0,,0.0,64.0,63.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-12,717.0,5.0,0.3472222222222222,3.0,0.0,3.0,0.0,,0.0,3.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-12,727.0,10.0,0.6944444444444444,20.0,1.0,20.0,0.0,,0.0,20.0,19.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,703.0,6.0,0.4166666666666667,12.0,0.0,12.0,0.0,,0.0,12.0,12.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,717.0,6.0,0.4166666666666667,3.0,0.0,3.0,0.0,,0.0,3.0,3.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,712.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,725.0,6.0,0.4166666666666667,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-12,721.0,10.0,0.6944444444444444,20.0,7.0,29.0,0.0,,0.0,20.0,20.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,735.0,7.0,0.4861111111111111,2.0,0.0,2.0,0.0,,0.0,2.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-15,727.0,2.0,0.1388888888888889,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,733.0,5.0,0.3472222222222222,4.0,0.0,6.0,0.0,,0.0,4.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,718.0,6.0,0.4166666666666667,9.0,1.0,10.0,0.0,,0.0,9.0,9.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-11,715.0,13.0,0.9027777777777778,107.0,1192.0,153.0,2.0,,0.0,105.0,104.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-12,730.0,10.0,0.6944444444444444,18.0,15.0,98.0,0.0,,0.0,18.0,18.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,709.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-15,739.0,2.0,0.1388888888888889,38.0,160.0,49.0,0.0,,0.0,38.0,38.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,724.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,737.0,6.0,0.4166666666666667,0.0,7.0,69.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,736.0,5.0,0.3472222222222222,2.0,0.0,3.0,0.0,,0.0,2.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,700.0,6.0,0.4166666666666667,1.0,1.0,6.0,0.0,,0.0,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,740.0,7.0,0.4861111111111111,0.0,2.0,5.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-15,730.0,2.0,0.1388888888888889,5.0,0.0,15.0,0.0,,0.0,5.0,5.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2022-03-17,705.0,5.0,0.3472222222222222,4.0,0.0,5.0,0.0,,0.0,4.0,4.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
