begintime,sk_object,duration,integrity,M8038C0,M8038C1,M8038C2,M8038C3,M8038C4,M8038C5,M8038C6,M8038C7,M8038C8,M8038C9,M8038C10,M8038C11,M8038C12,M8038C13,M8038C14,M8038C15,M8038C16,M8038C17,M8038C18,M8038C19,M8038C20,M8038C21,M8038C22,M8038C23,M8038C24,M8038C25,M8038C26,M8038C27,M8038C28,M8038C29,M8038C30,M8038C31,M8038C32,M8038C33,M8038C34,M8038C35,M8038C36,M8038C37,M8038C38,M8038C39,M8038C40,M8038C41,M8038C42,M8038C43,M8038C44,M8038C45,M8038C46,M8038C47,M8038C48,M8038C49,M8038C50,M8038C51,M8038C52,M8038C53,M8038C54,M8038C55,M8038C56,M8038C57,M8038C58,M8038C59,M8038C60,M8038C61,M8038C62,M8038C63,M8038C64,M8038C65,M8038C66
2022-03-12,2853.0,5.0,0.3472222222222222,8425.0,834.0,467268644.0,73943.0,20496261.0,148072.0,362379.0,833050.0,306197.0,833050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3480.0,9.0,75834440.0,214863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592463424.0,37345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856873.0,3693196.0,0.0,,1.0,831.0,0.0,112.0,832.0,,,,,,,,,
2022-03-17,2877.0,6.0,0.4166666666666667,270.0,346.0,53959.0,5321.0,95636.0,3583.0,3853.0,299995.0,897.0,299990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633856.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170832.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8443.0,1725.0,0.0,,0.0,343.0,0.0,100.0,352.0,,,,,,,,,
2022-03-11,2878.0,13.0,0.9027777777777778,78493.0,831.0,722516893.0,396786.0,215966347.0,560371.0,7593289.0,830995.0,8356873.0,830997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45464168.0,62477.0,1338639896.0,6215978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7192056.0,4384.0,3749371048.0,3889097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17320840.0,30482557.0,0.0,,1.0,831.0,0.0,1006.0,831.0,,,,,,,,,
2022-03-17,2851.0,6.0,0.4166666666666667,10953.0,300.0,54250558.0,141846.0,6489697.0,136259.0,276197.0,299998.0,196784.0,299995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14160.0,18.0,37562872.0,126331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253365888.0,23310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536331.0,1227060.0,0.0,,1.0,307.0,0.0,129.0,352.0,,,,,,,,,
2022-03-17,2860.0,7.0,0.4861111111111111,11654.0,360.0,159342000.0,191234.0,12644414.0,244349.0,277604.0,359995.0,228349.0,359998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135344.0,129.0,76237368.0,141160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8792.0,13.0,925147832.0,64285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993318.0,2653996.0,0.0,,38.0,391.0,0.0,149.0,413.0,,,,,,,,,
2022-03-15,2884.0,2.0,0.1388888888888889,9356.0,119.0,235724945.0,117826.0,31294491.0,147026.0,485787.0,102910.0,473552.0,102893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10624.0,11.0,217648672.0,375031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1553422496.0,275546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857502.0,3941027.0,0.0,,1.0,115.0,0.0,466.0,129.0,,,,,,,,,
2022-03-18,2855.0,60.0,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3600.0,,,,,,,,,
2022-03-17,2864.0,6.0,0.4166666666666667,149.0,300.0,3775.0,4161.0,18733.0,4287.0,371.0,299991.0,315.0,299995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66552.0,131.0,47488.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0,2.0,416.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3157.0,6712.0,0.0,,0.0,304.0,0.0,100.0,352.0,,,,,,,,,
2022-03-17,2855.0,6.0,0.4166666666666667,321.0,300.0,40579.0,2290.0,24492.0,1667.0,2244.0,299999.0,439.0,299996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136760.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76712.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4199.0,1486.0,0.0,,0.0,309.0,0.0,100.0,353.0,,,,,,,,,
2022-03-17,2871.0,6.0,0.4166666666666667,640.0,300.0,19857206.0,12563.0,896958.0,10320.0,20472.0,299991.0,2268.0,299994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130920.0,19.0,828000.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7522944.0,2374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52885.0,220804.0,0.0,,0.0,310.0,0.0,101.0,353.0,,,,,,,,,
2022-03-17,2886.0,6.0,0.4166666666666667,1321.0,300.0,26706440.0,8680.0,943935.0,13257.0,29755.0,299992.0,17837.0,299997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5194512.0,7469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164677928.0,7067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77882.0,260995.0,0.0,,0.0,310.0,0.0,104.0,353.0,,,,,,,,,
2022-03-17,2861.0,6.0,0.4166666666666667,830.0,300.0,2090205.0,16371.0,244145.0,17224.0,7155.0,299998.0,16887.0,299995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3952.0,11.0,1162024.0,7790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348320.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71681.0,166896.0,0.0,,0.0,305.0,0.0,100.0,352.0,,,,,,,,,
2022-03-17,2880.0,5.0,0.3472222222222222,6277.0,287.0,257979934.0,100080.0,13557215.0,96267.0,200687.0,239997.0,184282.0,239980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9056.0,34.0,96827712.0,168175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857580672.0,111147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576891.0,4422217.0,0.0,,1.0,284.0,0.0,124.0,293.0,,,,,,,,,
2022-03-17,2867.0,5.0,0.3472222222222222,6011.0,284.0,75184853.0,88310.0,17472949.0,84175.0,140544.0,239998.0,121902.0,239993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,2.0,120144680.0,101933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493347224.0,45771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724050.0,1837066.0,0.0,,44.0,282.0,0.0,126.0,293.0,,,,,,,,,
2022-03-17,2882.0,7.0,0.4861111111111111,6000.0,360.0,67486279.0,113868.0,6773410.0,133368.0,103400.0,359993.0,323778.0,359990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78496.0,446.0,40412128.0,246459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73112.0,5.0,90174720.0,11457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029274.0,793266.0,0.0,,7.0,394.0,0.0,127.0,413.0,,,,,,,,,
2022-03-18,2850.0,60.0,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3600.0,,,,,,,,,
2022-03-18,2886.0,60.0,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3600.0,,,,,,,,,
2022-03-12,2878.0,10.0,0.6944444444444444,25395.0,652.0,346540307.0,201646.0,25076567.0,357798.0,980868.0,633085.0,516205.0,633075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3147760.0,4076.0,154436240.0,361287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28867568.0,6760.0,2144284240.0,230577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2205249.0,8927607.0,0.0,,245.0,648.0,0.0,144.0,659.0,,,,,,,,,
