begintime,sk_object,duration,integrity,M51326C0,M51326C1,M51326C2,M51326C3
2022-03-18,15638.0,1440.0,100.0,8671307.0,615394712.0,4791874.0,228003560.0
2022-03-18,15634.0,1440.0,100.0,14186592.0,1046382900.0,9264060.0,697289868.0
2022-03-11,15632.0,1440.0,100.0,8700118.0,607835140.0,4681069.0,202806048.0
2022-03-17,15645.0,1380.0,95.83333333333333,3145408.0,223001068.0,1946500.0,95713060.0
2022-03-19,15635.0,1320.0,91.66666666666667,7975458.0,610314648.0,6347909.0,538265092.0
2022-03-16,15641.0,1440.0,100.0,4563471.0,316098732.0,2856553.0,204967800.0
2022-03-12,15637.0,1380.0,95.83333333333333,5736924.0,402850376.0,3870247.0,305051876.0
2022-03-16,15635.0,1399.0,97.15277777777777,7580749.0,567551484.0,5756294.0,486098676.0
2022-03-19,15637.0,1380.0,95.83333333333333,5857065.0,421114420.0,4074413.0,315750408.0
2022-03-13,15634.0,1440.0,100.0,13212728.0,978923724.0,8583541.0,630832912.0
2022-03-15,15630.0,1440.0,100.0,4506309.0,314791636.0,3054174.0,248494440.0
2022-03-19,15641.0,1380.0,95.83333333333333,4520871.0,326944708.0,3080076.0,215614096.0
2022-03-11,15640.0,1440.0,100.0,13949513.0,1010772736.0,9042001.0,657954772.0
2022-03-16,15638.0,1440.0,100.0,8200819.0,583511360.0,4432653.0,204881252.0
2022-03-15,15635.0,1363.0,94.65277777777777,7018347.0,525452440.0,5205966.0,441325000.0
2022-03-14,15631.0,1440.0,100.0,9811109.0,714675364.0,5895835.0,370926396.0
2022-03-17,15637.0,1380.0,95.83333333333333,5698192.0,408594412.0,4171611.0,309851456.0
2022-03-18,15629.0,1440.0,100.0,7408820.0,517267208.0,5389333.0,426841888.0
2022-03-15,15644.0,1440.0,100.0,12428854.0,927154856.0,7855452.0,575166604.0
2022-03-11,15628.0,1440.0,100.0,8014523.0,573160280.0,4220229.0,167085204.0
2022-03-12,15643.0,1440.0,100.0,7599426.0,542966804.0,3907109.0,131897624.0
2022-03-19,15642.0,1380.0,95.83333333333333,4106232.0,279927112.0,2661217.0,156021592.0
2022-03-12,15639.0,1440.0,100.0,8976154.0,658903744.0,6765186.0,579607864.0
2022-03-16,15632.0,1440.0,100.0,8290142.0,579261400.0,4461407.0,193700684.0
2022-03-16,15630.0,1440.0,100.0,4709720.0,329756476.0,3156606.0,252589656.0
2022-03-19,15636.0,1310.0,90.97222222222223,8516565.0,612232940.0,4777784.0,263571548.0
2022-03-17,15634.0,1440.0,100.0,13635909.0,1004177532.0,8811646.0,661216808.0
2022-03-19,15640.0,1310.0,90.97222222222223,13135070.0,952521940.0,8587011.0,634866956.0
2022-03-18,15633.0,1440.0,100.0,7540322.0,536761704.0,3876333.0,132068496.0
2022-03-17,15635.0,1380.0,95.83333333333333,7720131.0,598021220.0,6364420.0,530654668.0
2022-03-16,15645.0,1399.0,97.15277777777777,3095529.0,217474800.0,1795514.0,90536292.0
2022-03-17,15633.0,1440.0,100.0,7536909.0,536100664.0,3879003.0,134695552.0
2022-03-14,15637.0,1440.0,100.0,5759958.0,402330868.0,3991690.0,307124232.0
2022-03-14,15638.0,1440.0,100.0,7701391.0,545250772.0,4195315.0,198652992.0
2022-03-19,15638.0,1380.0,95.83333333333333,9045487.0,640901180.0,5072004.0,287754832.0
2022-03-14,15640.0,1440.0,100.0,13008323.0,939822812.0,8571055.0,636753740.0
2022-03-19,15629.0,1380.0,95.83333333333333,7509230.0,526195048.0,5448968.0,446798456.0
2022-03-15,15639.0,1440.0,100.0,8737789.0,638371004.0,6641830.0,561922636.0
2022-03-15,15638.0,1440.0,100.0,8231971.0,588358824.0,4486296.0,207450572.0
2022-03-15,15628.0,1440.0,100.0,7733361.0,552658696.0,4074387.0,161751376.0
2022-03-14,15635.0,1440.0,100.0,7793985.0,589411412.0,6096838.0,512148304.0
2022-03-18,15639.0,1440.0,100.0,9261743.0,684980904.0,7338856.0,614751336.0
2022-03-18,15642.0,1218.0,84.58333333333333,3488301.0,237639088.0,2175188.0,131263420.0
2022-03-19,15645.0,1380.0,95.83333333333333,3317388.0,232863504.0,1950548.0,103445368.0
2022-03-19,15632.0,1310.0,90.97222222222223,7893071.0,553057712.0,4234417.0,181323796.0
2022-03-13,15642.0,1440.0,100.0,4007612.0,271693588.0,2587060.0,152703812.0
2022-03-19,15634.0,1311.0,91.04166666666667,12504043.0,921313824.0,8032204.0,590701912.0
2022-03-18,15636.0,1440.0,100.0,8887258.0,636369384.0,4941112.0,257392292.0
2022-03-13,15641.0,1440.0,100.0,4489656.0,314136612.0,2889720.0,205406140.0
2022-03-15,15632.0,1440.0,100.0,8327410.0,581432700.0,4475234.0,193373724.0
2022-03-14,15644.0,1440.0,100.0,11592717.0,860391120.0,7347077.0,542400344.0
2022-03-13,15631.0,1440.0,100.0,10858568.0,795923164.0,6520821.0,415640888.0
2022-03-19,15631.0,1250.0,86.80555555555556,9666343.0,707622308.0,5770545.0,357221264.0
2022-03-15,15636.0,1440.0,100.0,8764586.0,626904112.0,4892512.0,253926108.0
2022-03-19,15627.0,1129.0,78.40277777777777,11100962.0,770420432.0,7164541.0,540747208.0
2022-03-18,15645.0,1440.0,100.0,3321786.0,233266140.0,1988784.0,100345824.0
2022-03-13,15643.0,1440.0,100.0,7352372.0,525754604.0,3770011.0,127705076.0
2022-03-17,15642.0,1380.0,95.83333333333333,4005226.0,275122652.0,2714101.0,156059060.0
2022-03-11,15634.0,1440.0,100.0,14340882.0,1056513516.0,9612150.0,706731036.0
2022-03-19,15643.0,1311.0,91.04166666666667,6977181.0,497759860.0,3591962.0,125055236.0
2022-03-15,15629.0,1416.0,98.33333333333333,6633034.0,462842020.0,4720779.0,402971676.0
2022-03-16,15639.0,1440.0,100.0,8879824.0,647421604.0,6858398.0,574056560.0
2022-03-14,15633.0,1440.0,100.0,6770124.0,481197444.0,3565908.0,124455796.0
2022-03-17,15628.0,1378.0,95.69444444444444,7468496.0,533938220.0,3934290.0,155530028.0
2022-03-12,15635.0,1440.0,100.0,7626224.0,576711580.0,5710889.0,494182520.0
2022-03-17,15643.0,1440.0,100.0,7237809.0,518726916.0,3679441.0,116238092.0
2022-03-18,15630.0,1440.0,100.0,4712416.0,325469680.0,3105927.0,252821900.0
2022-03-13,15630.0,1440.0,100.0,4835652.0,337971080.0,3315895.0,276546212.0
2022-03-16,15644.0,1440.0,100.0,12447162.0,926757424.0,7892396.0,581500104.0
2022-03-16,15633.0,1440.0,100.0,7392181.0,525583152.0,3939540.0,138127012.0
2022-03-12,15628.0,1440.0,100.0,8115193.0,581686988.0,4282338.0,172247888.0
2022-03-15,15641.0,1440.0,100.0,4673378.0,321725708.0,2955188.0,237279520.0
2022-03-13,15635.0,1440.0,100.0,8121672.0,612820156.0,6482652.0,545202988.0
2022-03-13,15628.0,1440.0,100.0,7854182.0,562746528.0,4140297.0,168136768.0
2022-03-18,15631.0,1440.0,100.0,10721396.0,781883860.0,6357158.0,393495224.0
2022-03-14,15642.0,1440.0,100.0,3960397.0,267763644.0,2514337.0,148775216.0
2022-03-18,15640.0,1440.0,100.0,14046417.0,1015701980.0,9160627.0,666137572.0
2022-03-12,15634.0,1440.0,100.0,14153619.0,1045802716.0,9557150.0,692768632.0
2022-03-13,15637.0,1440.0,100.0,5755291.0,402033408.0,3948645.0,302952688.0
2022-03-19,15639.0,1380.0,95.83333333333333,8838242.0,652063756.0,6815188.0,573328100.0
2022-03-17,15632.0,1440.0,100.0,8533802.0,596006364.0,4598166.0,201187436.0
2022-03-15,15631.0,1440.0,100.0,10502817.0,768286128.0,6289940.0,393698720.0
2022-03-11,15636.0,1440.0,100.0,9145659.0,655632732.0,5116861.0,269453812.0
2022-03-13,15644.0,1440.0,100.0,12671734.0,944280888.0,8000771.0,585877524.0
2022-03-17,15627.0,1375.0,95.48611111111111,13073663.0,907668516.0,8397828.0,612717500.0
2022-03-11,15645.0,1440.0,100.0,3252579.0,227723396.0,1912941.0,95940068.0
2022-03-16,15636.0,1440.0,100.0,8613866.0,617041124.0,4800401.0,245789976.0
2022-03-13,15633.0,1440.0,100.0,7525178.0,534599412.0,3951429.0,143047136.0
2022-03-14,15645.0,1440.0,100.0,3098860.0,216501768.0,1805066.0,92497792.0
2022-03-12,15627.0,1340.0,93.05555555555556,13935775.0,973240592.0,9556742.0,692742128.0
2022-03-15,15642.0,1378.0,95.69444444444444,3787145.0,256106764.0,2346828.0,141519532.0
2022-03-11,15630.0,1440.0,100.0,4653535.0,325335852.0,3162080.0,255054352.0
2022-03-12,15630.0,1440.0,100.0,4584555.0,321591968.0,3165784.0,259292916.0
2022-03-19,15630.0,1380.0,95.83333333333333,4784702.0,334415888.0,3227913.0,273021028.0
2022-03-13,15627.0,1404.0,97.5,13659578.0,949844280.0,9050432.0,672862396.0
2022-03-12,15629.0,1440.0,100.0,7094997.0,493381376.0,5042022.0,433441752.0
2022-03-17,15638.0,1380.0,95.83333333333333,8362403.0,593863920.0,4588113.0,211951704.0
2022-03-19,15633.0,1310.0,90.97222222222223,7124843.0,506475328.0,3676919.0,129571480.0
2022-03-12,15640.0,1440.0,100.0,14236593.0,1031847008.0,9260003.0,676618072.0
2022-03-18,15627.0,1380.0,95.83333333333333,13665682.0,947941312.0,8855380.0,653108592.0
2022-03-18,15637.0,1440.0,100.0,5986451.0,421977344.0,4249198.0,316800932.0
2022-03-18,15644.0,1440.0,100.0,12779429.0,952135392.0,8112280.0,596348800.0
2022-03-14,15629.0,1440.0,100.0,6867093.0,478719672.0,4842255.0,395059648.0
2022-03-15,15640.0,1440.0,100.0,13768589.0,997139148.0,8976458.0,653879760.0
2022-03-15,15633.0,1440.0,100.0,7395462.0,525876656.0,3937196.0,138394048.0
2022-03-16,15631.0,1378.0,95.69444444444444,10163392.0,744275836.0,6076695.0,380898764.0
2022-03-16,15634.0,1440.0,100.0,13892929.0,1024653436.0,9349519.0,699361984.0
2022-03-11,15638.0,1440.0,100.0,8546622.0,607952580.0,4606007.0,209052804.0
2022-03-12,15631.0,1440.0,100.0,10946508.0,801202788.0,6517982.0,407330024.0
2022-03-15,15643.0,1440.0,100.0,7133515.0,510964364.0,3632512.0,117053344.0
2022-03-14,15632.0,1440.0,100.0,7741847.0,539311724.0,4190574.0,186148032.0
2022-03-18,15635.0,1440.0,100.0,7863765.0,596011400.0,6114363.0,508321368.0
2022-03-12,15644.0,1440.0,100.0,12903668.0,962279852.0,8125838.0,590240412.0
2022-03-16,15642.0,1400.0,97.22222222222223,4075497.0,276773304.0,2643953.0,158407580.0
2022-03-11,15635.0,1440.0,100.0,8086616.0,614371304.0,6468703.0,537274256.0
2022-03-14,15643.0,1440.0,100.0,6615520.0,472642236.0,3401802.0,117216608.0
2022-03-17,15640.0,1440.0,100.0,13840210.0,1002986928.0,8987520.0,648729356.0
2022-03-11,15639.0,1440.0,100.0,9448039.0,694302484.0,7423386.0,620025104.0
2022-03-12,15641.0,1440.0,100.0,4536972.0,313663848.0,2863750.0,204187608.0
2022-03-14,15628.0,1440.0,100.0,7050082.0,503677636.0,3720388.0,149866420.0
2022-03-16,15628.0,1440.0,100.0,7629315.0,545358276.0,4014234.0,159028344.0
2022-03-14,15636.0,1440.0,100.0,8115988.0,580245984.0,4552656.0,243856700.0
