begintime,sk_object,duration,integrity,M51352C0,M51352C1,M51352C6,M51352C7,M51352C8,M51352C9
2022-03-11,15710.0,1440.0,100.0,8922971215.0,47657434.0,0.0,0.0,0.0,0.0
2022-03-13,15702.0,1440.0,100.0,4852276936.0,20145108.0,0.0,0.0,0.0,0.0
2022-03-13,15691.0,1440.0,100.0,30722395991.0,125129088.0,0.0,0.0,0.0,0.0
2022-03-11,15703.0,1440.0,100.0,8922973802.0,47657455.0,0.0,0.0,0.0,0.0
2022-03-11,15713.0,1440.0,100.0,11216949060.0,30702006.0,0.0,0.0,0.0,0.0
2022-03-14,15720.0,1440.0,100.0,23355725160.0,84796885.0,0.0,0.0,0.0,0.0
2022-03-13,15722.0,1404.0,97.5,66181482638.0,259430626.0,0.0,0.0,0.0,0.0
2022-03-18,15715.0,1440.0,100.0,62206723385.0,274912438.0,0.0,0.0,0.0,0.0
2022-03-17,15698.0,1440.0,100.0,28189929468.0,131460391.0,0.0,0.0,0.0,0.0
2022-03-11,15717.0,1440.0,100.0,15155544539.0,68106962.0,0.0,0.0,0.0,0.0
2022-03-18,15696.0,1440.0,100.0,7990896767.0,34649654.0,0.0,0.0,0.0,0.0
2022-03-14,15726.0,1440.0,100.0,26992570587.0,129116202.0,0.0,0.0,0.0,0.0
2022-03-16,15717.0,1440.0,100.0,13315888852.0,59904762.0,0.0,0.0,0.0,0.0
2022-03-14,15699.0,1440.0,100.0,65599308091.0,269785877.0,0.0,0.0,0.0,0.0
2022-03-11,15720.0,1440.0,100.0,20370059221.0,86217077.0,0.0,0.0,0.0,0.0
2022-03-13,15707.0,1440.0,100.0,3683763456.0,15234488.0,0.0,0.0,0.0,0.0
2022-03-16,15714.0,1440.0,100.0,2191487510.0,10818266.0,0.0,0.0,0.0,0.0
2022-03-13,15712.0,1440.0,100.0,14921277505.0,58915516.0,0.0,0.0,0.0,0.0
2022-03-12,15694.0,1440.0,100.0,4850903140.0,21066024.0,0.0,0.0,0.0,0.0
2022-03-12,15695.0,1440.0,100.0,12785885627.0,61039360.0,0.0,0.0,0.0,0.0
2022-03-14,15705.0,1440.0,100.0,61552580871.0,264428263.0,0.0,0.0,0.0,0.0
2022-03-16,15727.0,1399.0,97.15277777777777,49618719993.0,204396318.0,0.0,0.0,0.0,0.0
2022-03-14,15716.0,1440.0,100.0,40281919543.0,170206871.0,0.0,0.0,0.0,0.0
2022-03-13,15692.0,1397.0,97.01388888888889,54088238786.0,254714638.0,0.0,0.0,0.0,0.0
2022-03-15,15725.0,1440.0,100.0,51224422898.0,216208508.0,0.0,0.0,0.0,0.0
2022-03-16,15726.0,1378.0,95.69444444444444,28644210748.0,127195136.0,0.0,0.0,0.0,0.0
2022-03-16,15703.0,1440.0,100.0,9169714586.0,44415258.0,0.0,0.0,0.0,0.0
2022-03-18,15691.0,1440.0,100.0,34539643809.0,146751010.0,0.0,0.0,0.0,0.0
2022-03-17,15717.0,1440.0,100.0,14308043050.0,57798500.0,0.0,0.0,0.0,0.0
2022-03-17,15715.0,1440.0,100.0,68704348978.0,254807721.0,0.0,0.0,0.0,0.0
2022-03-15,15724.0,1440.0,100.0,7652012291.0,34402597.0,0.0,0.0,0.0,0.0
2022-03-17,15722.0,1375.0,95.48611111111111,63793697791.0,246341734.0,0.0,0.0,0.0,0.0
2022-03-19,15708.0,1380.0,95.83333333333333,25472060277.0,97379657.0,0.0,0.0,0.0,0.0
2022-03-18,15723.0,1218.0,84.58333333333333,15181674700.0,66386000.0,0.0,0.0,0.0,0.0
2022-03-17,15712.0,1380.0,95.83333333333333,11081186719.0,55951765.0,0.0,0.0,0.0,0.0
2022-03-13,15701.0,1404.0,97.5,66181496902.0,259430663.0,0.0,0.0,0.0,0.0
2022-03-19,15719.0,1311.0,91.04166666666667,7875862853.0,28573533.0,0.0,0.0,0.0,0.0
2022-03-15,15703.0,1440.0,100.0,9080391358.0,47489051.0,0.0,0.0,0.0,0.0
2022-03-12,15701.0,1340.0,93.05555555555556,67955624633.0,284988496.0,0.0,0.0,0.0,0.0
2022-03-11,15726.0,1440.0,100.0,28347083635.0,132656194.0,0.0,0.0,0.0,0.0
2022-03-15,15728.0,1378.0,95.69444444444444,16888581297.0,68628021.0,0.0,0.0,0.0,0.0
2022-03-19,15691.0,1380.0,95.83333333333333,27735414009.0,115941701.0,0.0,0.0,0.0,0.0
2022-03-11,15707.0,1440.0,100.0,2553939193.0,12826739.0,0.0,0.0,0.0,0.0
2022-03-15,15718.0,1440.0,100.0,59936023405.0,256560601.0,0.0,0.0,0.0,0.0
2022-03-19,15702.0,1310.0,90.97222222222223,4866530749.0,21140363.0,0.0,0.0,0.0,0.0
2022-03-18,15697.0,1440.0,100.0,69186243004.0,238598570.0,0.0,0.0,0.0,0.0
2022-03-17,15705.0,1440.0,100.0,60374484004.0,273863722.0,0.0,0.0,0.0,0.0
2022-03-12,15705.0,1440.0,100.0,62048189856.0,269848353.0,0.0,0.0,0.0,0.0
2022-03-13,15717.0,1440.0,100.0,11386347547.0,53914460.0,0.0,0.0,0.0,0.0
2022-03-16,15691.0,1440.0,100.0,28200393240.0,123957959.0,0.0,0.0,0.0,0.0
2022-03-14,15715.0,1440.0,100.0,51571713959.0,239631440.0,0.0,0.0,0.0,0.0
2022-03-16,15698.0,1378.0,95.69444444444444,28644200829.0,127195081.0,0.0,0.0,0.0,0.0
2022-03-16,15716.0,1440.0,100.0,50373857962.0,211050890.0,0.0,0.0,0.0,0.0
2022-03-13,15718.0,1440.0,100.0,47937635216.0,212318780.0,0.0,0.0,0.0,0.0
2022-03-11,15696.0,1440.0,100.0,6961340417.0,30638786.0,0.0,0.0,0.0,0.0
2022-03-15,15693.0,1440.0,100.0,71689574070.0,265842704.0,0.0,0.0,0.0,0.0
2022-03-18,15711.0,1440.0,100.0,24436380851.0,97069584.0,0.0,0.0,0.0,0.0
2022-03-16,15697.0,1440.0,100.0,48426398753.0,220470649.0,0.0,0.0,0.0,0.0
2022-03-11,15727.0,1440.0,100.0,49725285300.0,209706008.0,0.0,0.0,0.0,0.0
2022-03-18,15713.0,1440.0,100.0,7296729776.0,29192997.0,0.0,0.0,0.0,0.0
2022-03-17,15701.0,1375.0,95.48611111111111,63793715751.0,246341801.0,0.0,0.0,0.0,0.0
2022-03-11,15719.0,1440.0,100.0,11216950729.0,30702011.0,0.0,0.0,0.0,0.0
2022-03-15,15700.0,1440.0,100.0,20277388718.0,89429972.0,0.0,0.0,0.0,0.0
2022-03-14,15717.0,1440.0,100.0,12331248254.0,53236867.0,0.0,0.0,0.0,0.0
2022-03-18,15710.0,1440.0,100.0,9299394953.0,43936270.0,0.0,0.0,0.0,0.0
2022-03-18,15714.0,1440.0,100.0,3024111588.0,14224991.0,0.0,0.0,0.0,0.0
2022-03-16,15693.0,1440.0,100.0,62537830784.0,265733345.0,0.0,0.0,0.0,0.0
2022-03-11,15698.0,1440.0,100.0,28347052878.0,132656167.0,0.0,0.0,0.0,0.0
2022-03-13,15693.0,1440.0,100.0,54878060887.0,238344731.0,0.0,0.0,0.0,0.0
2022-03-15,15706.0,1440.0,100.0,14597636413.0,58447291.0,0.0,0.0,0.0,0.0
