begintime,sk_object,duration,integrity,M51361C0,M51361C1,M51361C2,M51361C3,M51361C4
2022-03-15,15732.0,1362.0,94.58333333333333,1159276.0,-10236.0,39352.20652173913,6294126.0,77611.0
2022-03-17,15732.0,1380.0,95.83333333333333,1114686.0,-119151.0,16270.75,1651863.0,79747.0
2022-03-13,15743.0,1440.0,100.0,1381124.0,-2248.0,71.1875,2777.0,86400.0
2022-03-17,15743.0,1440.0,100.0,1364587.0,-2368.0,-93.55208333333333,2448.0,86147.0
2022-03-16,15742.0,1399.0,97.15277777777777,1178713.0,-241014.0,66152.33333333333,4281843.0,81274.0
2022-03-11,15737.0,1440.0,100.0,1225293.0,-71540.0,-2555.1979166666665,59763.0,84304.0
2022-03-12,15735.0,1440.0,100.0,1183260.0,-87945.0,-2788.0625,92253.0,83117.0
2022-03-15,15738.0,1440.0,100.0,1382323.0,-175.0,-4.729166666666667,148.0,86400.0
2022-03-11,15732.0,1440.0,100.0,1325536.0,-20873.0,1666.3854166666667,65358.0,85414.0
2022-03-17,15740.0,1380.0,95.83333333333333,1115893.0,-146979.0,13095.695652173914,1638319.0,79312.0
2022-03-17,15737.0,1380.0,95.83333333333333,1201070.0,-136041.0,-993.0326086956521,64565.0,81149.0
2022-03-19,15738.0,1311.0,91.04166666666667,1258783.0,-1148.0,-7.181818181818182,929.0,78681.0
2022-03-14,15742.0,1440.0,100.0,1340361.0,-16329.0,632.0104166666666,40795.0,86396.0
2022-03-15,15729.0,1440.0,100.0,1382218.0,-395.0,-12.072916666666666,349.0,86400.0
2022-03-11,15747.0,1440.0,100.0,1382388.0,-286.0,-5.604166666666667,202.0,86400.0
2022-03-19,15744.0,1310.0,90.97222222222223,1258731.0,-761.0,-66.85227272727273,399.0,78681.0
2022-03-14,15740.0,1440.0,100.0,1341850.0,-59845.0,1431.6666666666667,44915.0,85949.0
2022-03-19,15739.0,1380.0,95.83333333333333,1294551.0,-130055.0,-1832.9891304347825,22024.0,82767.0
2022-03-16,15731.0,1440.0,100.0,1376153.0,-62070.0,1247.65625,148593.0,86401.0
2022-03-11,15740.0,1440.0,100.0,1346245.0,-14559.0,383.5625,38701.0,85997.0
2022-03-14,15747.0,1440.0,100.0,1382377.0,-168.0,-0.4479166666666667,155.0,86400.0
2022-03-12,15730.0,1402.0,97.36111111111111,1130481.0,-32824082.0,-123442.1875,6336543.0,81053.0
