begintime,sk_object,duration,integrity,M8004C0,M8004C1,M8004C2,M8004C3,M8004C4,M8004C5,M8004C6
2022-03-16,16126.0,1400.0,97.22222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17,16127.0,1380.0,95.83333333333333,86812349.0,79180508.0,244097520.0,188676769.0,0.0,0.0,0.0
2022-03-18,16126.0,1218.0,84.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13,16134.0,1440.0,100.0,86358668.0,85745809.0,252822012.0,350540427.0,0.0,0.0,0.0
2022-03-17,16132.0,1440.0,100.0,2013655.0,2746589.0,6740208.0,5848422.0,0.0,0.0,0.0
2022-03-12,16135.0,1440.0,100.0,29974712.0,31520351.0,86491270.0,87259461.0,0.0,0.0,0.0
2022-03-18,16138.0,1440.0,100.0,78805462.0,76388842.0,239267627.0,217056603.0,0.0,0.0,0.0
2022-03-18,16131.0,1440.0,100.0,109363544.0,105175832.0,266558944.0,265777643.0,0.0,0.0,0.0
2022-03-14,16132.0,1440.0,100.0,1927403.0,2778742.0,2924662.0,2532004.0,0.0,0.0,0.0
2022-03-18,16127.0,1440.0,100.0,77402874.0,72322922.0,256222524.0,192090451.0,0.0,0.0,0.0
2022-03-12,16129.0,1440.0,100.0,76998.0,66966.0,95491.0,353073.0,0.0,0.0,0.0
2022-03-17,16131.0,1440.0,100.0,102168552.0,104345729.0,262985823.0,254120481.0,0.0,0.0,0.0
2022-03-13,16123.0,1440.0,100.0,22996488.0,25637258.0,56971399.0,77813879.0,0.0,0.0,0.0
2022-03-12,16137.0,1380.0,95.83333333333333,25565852.0,25814708.0,87142113.0,100217117.0,0.0,0.0,0.0
2022-03-17,16123.0,1440.0,100.0,19289547.0,22372211.0,43043474.0,60748415.0,0.0,0.0,0.0
2022-03-12,16136.0,1340.0,93.05555555555556,36275868.0,30651483.0,56522478.0,74107529.0,0.0,0.0,0.0
2022-03-15,16133.0,1440.0,100.0,3210145.0,4871727.0,8878577.0,9267504.0,0.0,0.0,0.0
2022-03-15,16122.0,1440.0,100.0,789846.0,808907.0,1447952.0,2345035.0,0.0,0.0,0.0
2022-03-14,16134.0,1440.0,100.0,84584745.0,83288695.0,243081061.0,317018348.0,0.0,0.0,0.0
2022-03-19,16129.0,1311.0,91.04166666666667,44947.0,42579.0,109934.0,1006933.0,0.0,0.0,0.0
