begintime,sk_object,duration,integrity,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-15,21339.0,1440.0,100.0,7824.0,206.0,0.0,372.0,0.0,0.0,0.0,1204.0,0.0
2022-03-18,21348.0,1440.0,100.0,11785.0,323.0,0.0,566.0,0.0,0.0,0.0,223.0,0.0
2022-03-13,21321.0,1440.0,100.0,3468.0,76.0,0.0,142.0,0.0,0.0,0.0,876.0,0.0
2022-03-11,21356.0,1296.0,90.0,18165.0,1015.0,0.0,1513.0,0.0,0.0,0.0,2753.0,0.0
2022-03-17,21357.0,1380.0,95.83333333333333,17019.0,8810.0,0.0,4987.0,0.0,0.0,0.0,2762.0,0.0
2022-03-16,21309.0,1440.0,100.0,8101.0,3194.0,0.0,1711.0,0.0,0.0,0.0,871.0,0.0
2022-03-11,21322.0,1440.0,100.0,46966.0,613.0,0.0,936.0,0.0,0.0,0.0,1851.0,0.0
2022-03-12,21364.0,1440.0,100.0,4352.0,235.0,0.0,274.0,0.0,0.0,0.0,220.0,0.0
2022-03-18,21327.0,1203.0,83.54166666666667,720.0,29.0,0.0,5.0,0.0,0.0,0.0,12.0,0.0
2022-03-17,21323.0,1440.0,100.0,7780.0,867.0,0.0,942.0,0.0,0.0,0.0,1271.0,0.0
2022-03-19,21373.0,1311.0,91.04166666666667,14593.0,1099.0,0.0,1446.0,0.0,0.0,0.0,1661.0,0.0
2022-03-14,21309.0,1440.0,100.0,11003.0,3639.0,0.0,2218.0,0.0,0.0,0.0,1211.0,0.0
2022-03-12,21306.0,1440.0,100.0,1492.0,59.0,0.0,89.0,0.0,0.0,0.0,222.0,0.0
2022-03-17,21346.0,1380.0,95.83333333333333,3595.0,1247.0,0.0,927.0,0.0,0.0,0.0,378.0,0.0
2022-03-13,21355.0,1440.0,100.0,5266.0,5506.0,0.0,2515.0,0.0,0.0,0.0,377.0,0.0
2022-03-13,21348.0,1440.0,100.0,10254.0,442.0,0.0,540.0,0.0,0.0,0.0,153.0,0.0
2022-03-11,21368.0,1440.0,100.0,17568.0,1669.0,0.0,985.0,0.0,0.0,0.0,1028.0,0.0
2022-03-12,21316.0,1402.0,97.36111111111111,10708.0,1147.0,0.0,782.0,0.0,0.0,0.0,355.0,0.0
2022-03-11,21376.0,1440.0,100.0,18221.0,1383.0,0.0,1570.0,0.0,0.0,0.0,2885.0,0.0
2022-03-13,21311.0,1440.0,100.0,612.0,827.0,0.0,406.0,0.0,0.0,0.0,98.0,0.0
