begintime,sk_object,duration,integrity,M8072C28,M8072C29,M8072C0,M8072C1,M8072C2,M8072C3,M8072C4,M8072C5,M8072C6,M8072C30,M8072C7,M8072C8,M8072C9,M8072C10,M8072C11,M8072C12,M8072C13,M8072C31,M8072C32,M8072C33
2022-03-11,22509.0,1440.0,100.0,0.0,0.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22510.0,1440.0,100.0,0.0,0.0,4728.0,0.0,428.0,0.0,6.0,27.0,9.0,0.0,4.0,51.0,0.0,4294.0,4225.0,27.0,4.0,0.0,0.0,0.0
2022-03-11,22511.0,1440.0,100.0,0.0,0.0,2685.0,0.0,242.0,0.0,8.0,10.0,0.0,0.0,1.0,6.0,0.0,2435.0,2407.0,16.0,10.0,0.0,0.0,0.0
2022-03-11,22512.0,1440.0,100.0,0.0,0.0,1034.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,12.0,40.0,0.0,1033.0,991.0,2.0,0.0,0.0,0.0,0.0
2022-03-11,22513.0,1440.0,100.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,22514.0,1296.0,90.0,6.0,6.0,297.0,0.0,3.0,0.0,0.0,179.0,1.0,6.0,2.0,0.0,0.0,294.0,45.0,11.0,0.0,0.0,0.0,0.0
2022-03-11,22515.0,1440.0,100.0,6.0,4.0,1012.0,0.0,101.0,0.0,0.0,2.0,3.0,4.0,3.0,6.0,0.0,911.0,889.0,11.0,2.0,0.0,0.0,0.0
2022-03-11,22516.0,1440.0,100.0,99.0,93.0,8015.0,0.0,340.0,0.0,5.0,21.0,2.0,90.0,40.0,37.0,0.0,7670.0,7450.0,103.0,98.0,0.0,0.0,0.0
2022-03-11,22517.0,1440.0,100.0,1764.0,1757.0,13535.0,0.0,90.0,0.0,17.0,21.0,1.0,1745.0,34.0,99.0,0.0,13428.0,13350.0,1.0,3.0,0.0,0.0,0.0
2022-03-11,22518.0,1440.0,100.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,117.0,115.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22519.0,1440.0,100.0,0.0,0.0,239.0,0.0,9.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,230.0,212.0,3.0,7.0,0.0,0.0,0.0
2022-03-11,22520.0,1440.0,100.0,0.0,0.0,1328.0,0.0,61.0,0.0,2.0,12.0,7.0,0.0,1.0,13.0,0.0,1265.0,1243.0,1.0,1.0,0.0,0.0,0.0
2022-03-11,22521.0,1440.0,100.0,0.0,0.0,3470.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,2.0,6.0,0.0,3469.0,3440.0,2.0,0.0,0.0,0.0,0.0
2022-03-11,22522.0,1440.0,100.0,0.0,0.0,463.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,429.0,3.0,1.0,0.0,0.0,0.0
2022-03-11,22523.0,1440.0,100.0,222.0,216.0,6722.0,0.0,258.0,0.0,9.0,18.0,7.0,216.0,12.0,39.0,0.0,6455.0,6394.0,18.0,0.0,0.0,0.0,0.0
2022-03-11,22524.0,1440.0,100.0,0.0,0.0,1736.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1735.0,1734.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22525.0,1440.0,100.0,2877.0,2597.0,64410.0,0.0,6456.0,0.0,108.0,114.0,32.0,2575.0,147.0,144.0,0.0,57846.0,56698.0,463.0,164.0,0.0,0.0,0.0
2022-03-11,22526.0,1440.0,100.0,0.0,0.0,850.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,838.0,831.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22527.0,1440.0,100.0,390.0,328.0,12864.0,0.0,983.0,0.0,16.0,5.0,0.0,323.0,4.0,30.0,0.0,11865.0,11758.0,90.0,51.0,0.0,0.0,0.0
2022-03-11,22528.0,1440.0,100.0,0.0,0.0,1573.0,0.0,8.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,1558.0,1557.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22529.0,1440.0,100.0,0.0,0.0,797.0,0.0,51.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,744.0,736.0,5.0,2.0,0.0,0.0,0.0
2022-03-11,22530.0,1440.0,100.0,0.0,0.0,1090.0,0.0,68.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,1019.0,1000.0,12.0,4.0,0.0,0.0,0.0
2022-03-11,22531.0,1440.0,100.0,166.0,164.0,12421.0,0.0,0.0,0.0,5.0,11.0,1.0,164.0,3.0,39.0,0.0,12416.0,12383.0,13.0,1.0,0.0,0.0,0.0
2022-03-11,22532.0,1296.0,90.0,197.0,194.0,15018.0,0.0,94.0,0.0,2.0,149.0,1.0,194.0,51.0,68.0,0.0,14922.0,14663.0,1.0,4.0,0.0,0.0,0.0
2022-03-11,22533.0,1440.0,100.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,412.0,409.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,22534.0,1440.0,100.0,132.0,130.0,8627.0,0.0,53.0,0.0,25.0,8.0,0.0,130.0,9.0,18.0,0.0,8549.0,8527.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,22535.0,1440.0,100.0,0.0,0.0,1200.0,0.0,45.0,0.0,0.0,13.0,0.0,0.0,1.0,2.0,0.0,1155.0,1136.0,5.0,4.0,0.0,0.0,0.0
2022-03-11,22536.0,1440.0,100.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22537.0,1440.0,100.0,4506.0,4119.0,24503.0,0.0,2850.0,0.0,48.0,9.0,3.0,4089.0,13.0,72.0,0.0,21605.0,21412.0,126.0,62.0,0.0,0.0,0.0
2022-03-11,22538.0,1440.0,100.0,1.0,1.0,2626.0,0.0,37.0,0.0,2.0,1.0,1.0,1.0,2.0,6.0,0.0,2587.0,2581.0,1.0,4.0,0.0,0.0,0.0
2022-03-11,22539.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22540.0,1296.0,90.0,8.0,8.0,128.0,0.0,0.0,0.0,0.0,13.0,4.0,8.0,46.0,0.0,0.0,128.0,49.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22541.0,1440.0,100.0,1.0,1.0,8663.0,0.0,2.0,0.0,1.0,13.0,1.0,1.0,25.0,48.0,0.0,8660.0,8608.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,22542.0,1440.0,100.0,70.0,69.0,10469.0,0.0,0.0,0.0,4.0,9.0,1.0,69.0,9.0,23.0,0.0,10465.0,10429.0,8.0,2.0,0.0,0.0,0.0
2022-03-11,22543.0,1440.0,100.0,0.0,0.0,1575.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,7.0,15.0,0.0,1575.0,1557.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,22544.0,1440.0,100.0,4006.0,3952.0,29700.0,0.0,105.0,0.0,115.0,7.0,5.0,3949.0,28.0,46.0,0.0,29480.0,29418.0,1.0,2.0,0.0,0.0,0.0
2022-03-11,22545.0,1440.0,100.0,0.0,0.0,68.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,62.0,1.0,1.0,0.0,0.0,0.0
2022-03-11,22546.0,1440.0,100.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22547.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22548.0,1440.0,100.0,0.0,0.0,318.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,317.0,295.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22549.0,1440.0,100.0,0.0,0.0,2809.0,0.0,4.0,0.0,0.0,7.0,8.0,0.0,2.0,2.0,0.0,2805.0,2755.0,16.0,0.0,0.0,0.0,0.0
2022-03-11,22550.0,1440.0,100.0,0.0,0.0,3294.0,0.0,156.0,0.0,44.0,1.0,0.0,0.0,1.0,0.0,0.0,3094.0,3081.0,6.0,2.0,0.0,0.0,0.0
2022-03-11,22551.0,1440.0,100.0,483.0,460.0,8916.0,0.0,118.0,0.0,8.0,84.0,0.0,458.0,25.0,41.0,0.0,8790.0,8608.0,31.0,0.0,0.0,0.0,0.0
2022-03-11,22552.0,1440.0,100.0,7.0,7.0,10430.0,0.0,19.0,0.0,2.0,24.0,0.0,7.0,30.0,834.0,0.0,10409.0,10274.0,44.0,0.0,0.0,0.0,0.0
2022-03-11,22553.0,1440.0,100.0,265.0,263.0,11702.0,0.0,7.0,0.0,10.0,14.0,2.0,263.0,10.0,20.0,0.0,11685.0,11632.0,13.0,1.0,0.0,0.0,0.0
2022-03-11,22554.0,1440.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,22555.0,1440.0,100.0,0.0,0.0,4459.0,0.0,1.0,0.0,3.0,47.0,0.0,0.0,6.0,8.0,0.0,4455.0,4362.0,32.0,1.0,0.0,0.0,0.0
2022-03-11,22556.0,1440.0,100.0,334.0,275.0,11495.0,0.0,858.0,0.0,8.0,13.0,1.0,272.0,20.0,27.0,0.0,10629.0,10478.0,99.0,50.0,0.0,0.0,0.0
2022-03-11,22557.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22558.0,1440.0,100.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22559.0,1440.0,100.0,996.0,995.0,52185.0,0.0,126.0,0.0,32.0,77.0,8.0,988.0,94.0,162.0,0.0,52027.0,51807.0,10.0,4.0,0.0,0.0,0.0
2022-03-11,22560.0,1440.0,100.0,853.0,809.0,15122.0,0.0,1035.0,0.0,24.0,106.0,26.0,807.0,33.0,63.0,0.0,14063.0,13556.0,198.0,37.0,0.0,0.0,0.0
2022-03-11,22561.0,1440.0,100.0,5120.0,5093.0,69907.0,0.0,173.0,0.0,178.0,45.0,4.0,5066.0,72.0,220.0,0.0,69556.0,69391.0,12.0,3.0,0.0,0.0,0.0
2022-03-11,22562.0,1440.0,100.0,2.0,2.0,5734.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,7.0,7.0,0.0,5732.0,5721.0,2.0,0.0,0.0,0.0,0.0
2022-03-11,22563.0,1440.0,100.0,16.0,16.0,9636.0,0.0,12.0,0.0,0.0,60.0,11.0,16.0,65.0,160.0,0.0,9624.0,9350.0,50.0,0.0,0.0,0.0,0.0
2022-03-11,22564.0,1440.0,100.0,0.0,0.0,2099.0,0.0,8.0,0.0,0.0,91.0,0.0,0.0,28.0,104.0,0.0,2091.0,1941.0,14.0,0.0,0.0,0.0,0.0
2022-03-11,22565.0,1440.0,100.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,229.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,22566.0,1440.0,100.0,0.0,0.0,1143.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1143.0,1135.0,3.0,0.0,0.0,0.0,0.0
2022-03-11,22567.0,1440.0,100.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,99.0,96.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22568.0,1440.0,100.0,0.0,0.0,31.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22569.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22570.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22571.0,1440.0,100.0,215.0,209.0,9187.0,0.0,249.0,0.0,6.0,16.0,4.0,209.0,45.0,306.0,0.0,8932.0,8837.0,15.0,1.0,0.0,0.0,0.0
2022-03-11,22572.0,1440.0,100.0,2588.0,2568.0,52820.0,0.0,267.0,0.0,157.0,43.0,11.0,2562.0,56.0,137.0,0.0,52396.0,52230.0,1.0,3.0,0.0,0.0,0.0
2022-03-11,22573.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22574.0,1440.0,100.0,0.0,0.0,571.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,570.0,568.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,22575.0,1440.0,100.0,0.0,0.0,10533.0,0.0,40.0,0.0,38.0,3.0,0.0,0.0,1.0,6.0,0.0,10455.0,10442.0,5.0,0.0,0.0,0.0,0.0
2022-03-11,22576.0,1440.0,100.0,8.0,8.0,5923.0,0.0,3.0,0.0,4.0,12.0,1.0,8.0,4.0,16.0,0.0,5916.0,5893.0,2.0,0.0,0.0,0.0,0.0
2022-03-11,22577.0,1440.0,100.0,0.0,0.0,405.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,392.0,388.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,22578.0,1440.0,100.0,0.0,0.0,106.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,100.0,0.0,2.0,0.0,0.0,0.0
2022-03-11,22579.0,1440.0,100.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,22580.0,1440.0,100.0,0.0,0.0,216.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,199.0,195.0,4.0,7.0,0.0,0.0,0.0
2022-03-11,22581.0,1440.0,100.0,0.0,0.0,2928.0,0.0,111.0,0.0,1.0,6.0,4.0,0.0,0.0,9.0,0.0,2816.0,2778.0,21.0,35.0,0.0,0.0,0.0
2022-03-11,22582.0,1440.0,100.0,0.0,0.0,1036.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,21.0,0.0,1036.0,1029.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22583.0,1440.0,100.0,213.0,209.0,23364.0,0.0,104.0,0.0,7.0,96.0,12.0,209.0,129.0,250.0,0.0,23253.0,22906.0,27.0,2.0,0.0,0.0,0.0
2022-03-11,22584.0,1440.0,100.0,0.0,0.0,851.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,847.0,845.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22585.0,1440.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22586.0,1440.0,100.0,776.0,770.0,38873.0,0.0,0.0,0.0,14.0,31.0,5.0,767.0,71.0,134.0,0.0,38859.0,38712.0,12.0,1.0,0.0,0.0,0.0
2022-03-11,22587.0,1440.0,100.0,802.0,754.0,13771.0,0.0,804.0,0.0,11.0,176.0,28.0,754.0,125.0,126.0,0.0,12956.0,11942.0,221.0,14.0,0.0,0.0,0.0
2022-03-11,22588.0,1440.0,100.0,0.0,0.0,1444.0,0.0,1.0,0.0,2.0,39.0,0.0,0.0,2.0,0.0,0.0,1441.0,1372.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22589.0,1440.0,100.0,0.0,0.0,5810.0,0.0,26.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5754.0,5752.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22590.0,1440.0,100.0,426.0,418.0,12020.0,0.0,127.0,0.0,4.0,12.0,0.0,417.0,20.0,99.0,0.0,11889.0,11825.0,7.0,0.0,0.0,0.0,0.0
2022-03-11,22591.0,1440.0,100.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22592.0,1296.0,90.0,137.0,137.0,1649.0,0.0,7.0,0.0,0.0,33.0,4.0,136.0,24.0,6.0,0.0,1642.0,1557.0,1.0,0.0,0.0,0.0,0.0
2022-03-11,22593.0,1440.0,100.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0
2022-03-11,22594.0,1440.0,100.0,0.0,0.0,927.0,0.0,22.0,0.0,0.0,13.0,3.0,0.0,3.0,7.0,0.0,905.0,879.0,5.0,0.0,0.0,0.0,0.0
2022-03-11,22595.0,1296.0,90.0,0.0,0.0,117.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,116.0,105.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,22523.0,1440.0,100.0,87.0,87.0,5995.0,0.0,286.0,0.0,51.0,4.0,2.0,87.0,10.0,31.0,0.0,5658.0,5622.0,11.0,1.0,0.0,0.0,0.0
2022-03-12,22524.0,1440.0,100.0,0.0,0.0,2115.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2112.0,2108.0,2.0,0.0,0.0,0.0,0.0
2022-03-12,22525.0,1440.0,100.0,2714.0,2639.0,61058.0,0.0,1309.0,0.0,461.0,196.0,24.0,2627.0,178.0,159.0,0.0,59288.0,58442.0,193.0,66.0,0.0,0.0,0.0
2022-03-12,22526.0,1440.0,100.0,0.0,0.0,1229.0,0.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0,19.0,0.0,1216.0,1207.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,22527.0,1380.0,95.83333333333333,467.0,459.0,12209.0,0.0,143.0,0.0,18.0,10.0,1.0,459.0,5.0,40.0,0.0,12048.0,12009.0,21.0,3.0,0.0,0.0,0.0
2022-03-12,22528.0,1440.0,100.0,0.0,0.0,1231.0,0.0,13.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1209.0,1207.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,22529.0,1380.0,95.83333333333333,0.0,0.0,815.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,811.0,807.0,2.0,0.0,0.0,0.0,0.0
2022-03-12,22530.0,1380.0,95.83333333333333,1.0,1.0,1055.0,0.0,29.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1014.0,1009.0,3.0,0.0,0.0,0.0,0.0
2022-03-12,22531.0,1440.0,100.0,141.0,140.0,12784.0,0.0,0.0,0.0,4.0,10.0,0.0,140.0,6.0,34.0,0.0,12780.0,12747.0,5.0,0.0,0.0,0.0,0.0
2022-03-12,22532.0,1340.0,93.05555555555556,133.0,129.0,17185.0,0.0,361.0,0.0,6.0,163.0,6.0,128.0,89.0,52.0,0.0,16818.0,16535.0,3.0,3.0,0.0,0.0,0.0
2022-03-12,22533.0,1440.0,100.0,0.0,0.0,479.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,20.0,0.0,479.0,449.0,4.0,0.0,0.0,0.0,0.0
2022-03-12,22534.0,1440.0,100.0,127.0,124.0,7842.0,0.0,65.0,0.0,36.0,6.0,2.0,124.0,0.0,25.0,0.0,7741.0,7731.0,1.0,0.0,0.0,0.0,0.0
2022-03-12,22535.0,1440.0,100.0,0.0,0.0,1144.0,0.0,15.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1129.0,1106.0,5.0,3.0,0.0,0.0,0.0
2022-03-12,22536.0,1440.0,100.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0
2022-03-12,22537.0,1440.0,100.0,2905.0,2856.0,20541.0,0.0,279.0,0.0,155.0,14.0,1.0,2842.0,13.0,66.0,0.0,20107.0,20033.0,29.0,11.0,0.0,0.0,0.0
2022-03-11,22596.0,1440.0,100.0,191.0,181.0,4609.0,0.0,219.0,0.0,13.0,1.0,0.0,178.0,0.0,23.0,0.0,4377.0,4363.0,10.0,1.0,0.0,0.0,0.0
2022-03-11,22597.0,1440.0,100.0,2444.0,2277.0,27600.0,0.0,2332.0,0.0,29.0,37.0,6.0,2240.0,43.0,98.0,0.0,25239.0,24886.0,202.0,67.0,0.0,0.0,0.0
2022-03-11,22598.0,1440.0,100.0,0.0,0.0,2050.0,0.0,65.0,0.0,0.0,90.0,2.0,0.0,4.0,3.0,0.0,1985.0,1781.0,55.0,0.0,0.0,0.0,0.0
2022-03-11,22599.0,1440.0,100.0,0.0,0.0,5521.0,0.0,18.0,0.0,23.0,3.0,1.0,0.0,1.0,6.0,0.0,5480.0,5458.0,2.0,0.0,0.0,0.0,0.0
2022-03-11,22600.0,1296.0,90.0,0.0,0.0,542.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,8.0,60.0,0.0,540.0,503.0,0.0,0.0,0.0,0.0,0.0
2022-03-11,22601.0,1440.0,100.0,0.0,0.0,9128.0,0.0,931.0,0.0,13.0,37.0,1.0,0.0,15.0,58.0,0.0,8184.0,8082.0,40.0,20.0,0.0,0.0,0.0
2022-03-12,22509.0,1440.0,100.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0
