begintime,sk_object,duration,20000064
2021-09-26 21:15:00,119.0,900,"['0.0', '0.0']"
2021-09-26 19:00:00,116.0,900,"['0.0', '0.0']"
2021-09-26 21:00:00,121.0,900,"['0.0', '0.0']"
2021-09-26 21:00:00,122.0,900,"['0.0', '0.0']"
2021-09-26 22:15:00,124.0,900,"['0.0', '0.0']"
2021-09-26 22:30:00,114.0,900,"['0.0', '0.0']"
2021-09-26 22:15:00,126.0,900,"['0.0', '0.0']"
2021-09-26 22:45:00,119.0,900,"['0.0', '0.0']"
2021-09-26 22:30:00,119.0,900,"['0.0', '0.0']"
2021-09-26 21:30:00,113.0,900,"['0.0', '0.0']"
2021-09-26 19:15:00,125.0,900,"['0.0', '0.0']"
2021-09-26 20:45:00,124.0,900,"['0.0', '0.0']"
2021-09-26 22:00:00,126.0,900,"['0.0', '0.0']"
2021-09-26 22:30:00,121.0,900,"['0.0', '0.0']"
2021-09-26 22:15:00,125.0,900,"['0.0', '0.0']"
2021-09-26 21:30:00,119.0,900,"['0.0', '0.0']"
2021-09-26 22:30:00,124.0,900,"['0.0', '0.0']"
2021-09-26 21:30:00,117.0,900,"['0.0', '0.0']"
2021-09-26 20:45:00,117.0,900,"['0.0', '0.0']"
2021-09-26 21:00:00,126.0,900,"['0.0', '0.0']"
2021-09-26 22:15:00,120.0,900,"['0.0', '0.0']"
2021-09-26 19:30:00,121.0,900,"['0.0', '0.0']"
2021-09-26 21:00:00,118.0,900,"['0.0', '0.0']"
2021-09-26 20:30:00,118.0,900,"['0.0', '0.0']"
2021-09-26 19:00:00,120.0,900,"['0.0', '0.0']"
2021-09-26 20:30:00,115.0,900,"['0.0', '0.0']"
2021-09-26 19:00:00,119.0,900,"['0.0', '0.0']"
2021-09-26 19:30:00,118.0,900,"['0.0', '0.0']"
2021-09-26 21:15:00,120.0,900,"['0.0', '0.0']"
2021-09-26 21:00:00,114.0,900,"['0.0', '0.0']"
2021-09-26 20:00:00,114.0,900,"['0.0', '0.0']"
2021-09-26 22:00:00,117.0,900,"['0.0', '0.0']"
2021-09-26 21:45:00,116.0,900,"['0.0', '0.0']"
2021-09-26 20:45:00,119.0,900,"['0.0', '0.0']"
2021-09-26 22:45:00,121.0,900,"['0.0', '0.0']"
2021-09-26 22:15:00,115.0,900,"['0.0', '0.0']"
2021-09-26 22:15:00,123.0,900,"['0.0', '0.0']"
2021-09-26 21:45:00,114.0,900,"['0.0', '0.0']"
2021-09-26 21:00:00,116.0,900,"['0.0', '0.0']"
2021-09-26 19:45:00,125.0,900,"['0.0', '0.0']"
2021-09-26 20:45:00,113.0,900,"['0.0', '0.0']"
2021-09-26 19:00:00,125.0,900,"['0.0', '0.0']"
2021-09-26 22:45:00,115.0,900,"['0.0', '0.0']"
2021-09-26 21:45:00,118.0,900,"['0.0', '0.0']"
2021-09-26 20:30:00,125.0,900,"['0.0', '0.0']"
2021-09-26 20:00:00,117.0,900,"['0.0', '0.0']"
2021-09-26 21:15:00,115.0,900,"['0.0', '0.0']"
2021-09-26 20:15:00,125.0,900,"['0.0', '0.0']"
2021-09-26 22:45:00,118.0,900,"['0.0', '0.0']"
2021-09-26 20:45:00,126.0,900,"['0.0', '0.0']"
2021-09-26 19:00:00,115.0,900,"['0.0', '0.0']"
2021-09-26 22:45:00,120.0,900,"['0.0', '0.0']"
2021-09-26 20:30:00,124.0,900,"['0.0', '0.0']"
2021-09-26 21:30:00,126.0,900,"['0.0', '0.0']"
2021-09-26 20:15:00,116.0,900,"['0.0', '0.0']"
2021-09-26 20:00:00,113.0,900,"['0.0', '0.0']"
2021-09-26 22:45:00,125.0,900,"['0.0', '0.0']"
2021-09-26 20:30:00,121.0,900,"['0.0', '0.0']"
2021-09-26 22:45:00,114.0,900,"['0.0', '0.0']"
2021-09-26 22:15:00,119.0,900,"['0.0', '0.0']"
2021-09-26 20:45:00,120.0,900,"['0.0', '0.0']"
2021-09-26 21:15:00,118.0,900,"['0.0', '0.0']"
2021-09-26 22:00:00,123.0,900,"['0.0', '0.0']"
2021-09-26 20:00:00,116.0,900,"['0.0', '0.0']"
2021-09-26 22:30:00,115.0,900,"['0.0', '0.0']"
2021-09-26 21:30:00,115.0,900,"['0.0', '0.0']"
2021-09-26 22:30:00,120.0,900,"['0.0', '0.0']"
2021-09-26 19:30:00,122.0,900,"['0.0', '0.0']"
2021-09-26 20:45:00,122.0,900,"['0.0', '0.0']"
2021-09-26 20:30:00,117.0,900,"['0.0', '0.0']"
2021-09-26 21:45:00,120.0,900,"['0.0', '0.0']"
2021-09-26 21:45:00,123.0,900,"['0.0', '0.0']"
2021-09-26 20:15:00,122.0,900,"['0.0', '0.0']"
2021-09-26 20:45:00,116.0,900,"['0.0', '0.0']"
2021-09-26 21:15:00,117.0,900,"['0.0', '0.0']"
2021-09-26 20:30:00,114.0,900,"['0.0', '0.0']"
2021-09-26 21:30:00,121.0,900,"['0.0', '0.0']"
2021-09-26 20:00:00,121.0,900,"['0.0', '0.0']"
2021-09-26 19:00:00,126.0,900,"['0.0', '0.0']"
2021-09-26 22:00:00,116.0,900,"['0.0', '0.0']"
2021-09-26 21:00:00,123.0,900,"['0.0', '0.0']"
2021-09-26 19:15:00,116.0,900,"['0.0', '0.0']"
2021-09-26 22:30:00,116.0,900,"['0.0', '0.0']"
2021-09-26 22:15:00,121.0,900,"['0.0', '0.0']"
2021-09-26 21:15:00,113.0,900,"['0.0', '0.0']"
2021-09-26 21:00:00,115.0,900,"['0.0', '0.0']"
2021-09-26 19:00:00,113.0,900,"['0.0', '0.0']"
2021-09-26 22:45:00,123.0,900,"['0.0', '0.0']"
2021-09-26 20:15:00,124.0,900,"['0.0', '0.0']"
2021-09-26 21:00:00,125.0,900,"['0.0', '0.0']"
2021-09-26 19:30:00,116.0,900,"['0.0', '0.0']"
2021-09-26 21:45:00,113.0,900,"['0.0', '0.0']"
2021-09-26 20:30:00,119.0,900,"['0.0', '0.0']"
2021-09-26 19:00:00,114.0,900,"['0.0', '0.0']"
2021-09-26 20:00:00,123.0,900,"['0.0', '0.0']"
2021-09-26 21:45:00,122.0,900,"['10', '20']"
2021-09-26 22:00:00,120.0,900,"['0.0', '0.0']"
