begintime,sk_object,1282438822,1282438823,1282438847,1282438848,1282454549,1282454554,duration
2022-03-01 00:00:00,7525853.0,40.0,6.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,7525854.0,48.0,8.0,19.0,17.0,0.0,0.0,PT3600S
2022-03-01 01:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 01:00:00,7525854.0,59.0,9.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-01 02:00:00,7525853.0,24.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 02:00:00,7525854.0,47.0,7.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-01 03:00:00,7525853.0,28.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 03:00:00,7525854.0,88.0,12.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-01 04:00:00,7525853.0,24.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 04:00:00,7525854.0,83.0,8.0,21.0,17.0,0.0,0.0,PT3600S
2022-03-01 05:00:00,7525853.0,45.0,6.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-01 05:00:00,7525854.0,82.0,10.0,22.0,17.0,0.0,0.0,PT3600S
2022-03-01 06:00:00,7525853.0,24.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 06:00:00,7525854.0,96.0,8.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-01 07:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 07:00:00,7525854.0,62.0,12.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-01 08:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 08:00:00,7525854.0,57.0,11.0,20.0,17.0,0.0,0.0,PT3600S
2022-03-01 09:00:00,7525853.0,24.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 09:00:00,7525854.0,53.0,11.0,20.0,17.0,0.0,0.0,PT3600S
2022-03-01 10:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 10:00:00,7525854.0,52.0,11.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-01 11:00:00,7525853.0,29.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 11:00:00,7525854.0,61.0,12.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-01 12:00:00,7525853.0,40.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 12:00:00,7525854.0,67.0,14.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-01 13:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 13:00:00,7525854.0,51.0,11.0,20.0,17.0,0.0,0.0,PT3600S
2022-03-01 14:00:00,7525853.0,26.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 14:00:00,7525854.0,52.0,11.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-01 15:00:00,7525853.0,26.0,6.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 15:00:00,7525854.0,65.0,14.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-01 16:00:00,7525853.0,25.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-01 16:00:00,7525854.0,81.0,18.0,28.0,17.0,0.0,0.0,PT3600S
2022-03-01 17:00:00,7525853.0,26.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-01 17:00:00,7525854.0,68.0,19.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-01 18:00:00,7525853.0,33.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 18:00:00,7525854.0,63.0,14.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-01 19:00:00,7525853.0,24.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 19:00:00,7525854.0,53.0,12.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-01 20:00:00,7525853.0,28.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-01 20:00:00,7525854.0,55.0,15.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-01 21:00:00,7525853.0,27.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-01 21:00:00,7525854.0,67.0,16.0,23.0,17.0,0.0,0.0,PT3600S
2022-03-01 22:00:00,7525853.0,25.0,6.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 22:00:00,7525854.0,56.0,11.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-01 23:00:00,7525853.0,24.0,5.0,6.0,6.0,0.0,0.0,PT3600S
2022-03-01 23:00:00,7525854.0,51.0,9.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-02 00:00:00,7525853.0,39.0,6.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-02 00:00:00,7525854.0,48.0,8.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-02 01:00:00,7525853.0,24.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-02 01:00:00,7525854.0,47.0,7.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-02 02:00:00,7525853.0,25.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-02 02:00:00,7525854.0,46.0,6.0,18.0,17.0,0.0,0.0,PT3600S
2022-03-02 03:00:00,7525853.0,27.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-02 03:00:00,7525854.0,91.0,10.0,23.0,16.0,0.0,0.0,PT3600S
2022-03-02 04:00:00,7525853.0,24.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-02 04:00:00,7525854.0,76.0,8.0,20.0,17.0,0.0,0.0,PT3600S
2022-03-02 05:00:00,7525853.0,42.0,6.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-02 05:00:00,7525854.0,82.0,11.0,23.0,18.0,0.0,0.0,PT3600S
2022-03-02 06:00:00,7525853.0,25.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-02 06:00:00,7525854.0,93.0,9.0,26.0,18.0,0.0,0.0,PT3600S
2022-03-02 07:00:00,7525853.0,27.0,5.0,7.0,6.0,0.0,0.0,PT3600S
2022-03-02 07:00:00,7525854.0,62.0,12.0,24.0,18.0,0.0,0.0,PT3600S
2022-03-02 08:00:00,7525853.0,25.0,5.0,6.0,6.0,0.0,0.0,PT3600S
