begintime,sk_object,1279470420,1279470421,1279470417,1279470418,1279470419,1279470422,1279470423,duration
2022-03-01 00:00:00,627072.0,7901223246.0,29829411107.0,42231315.0,60053357.0,0.0,14752881.0,53279704.0,PT3600S
2022-03-01 01:00:00,627072.0,3981938286.0,16954561774.0,22443006.0,32751739.0,0.0,7817791.0,34884738.0,PT3600S
2022-03-01 02:00:00,627072.0,2388274309.0,10693493539.0,14200465.0,20438722.0,0.0,4368260.0,19304885.0,PT3600S
2022-03-01 03:00:00,627072.0,1946225543.0,8795493112.0,11999943.0,17378166.0,0.0,3372606.0,14482112.0,PT3600S
2022-03-01 04:00:00,627072.0,1832855385.0,8441149734.0,11457240.0,16401892.0,0.0,3322879.0,14010630.0,PT3600S
2022-03-01 05:00:00,627072.0,2159997624.0,10001921700.0,13308182.0,19356586.0,0.0,4078079.0,17996991.0,PT3600S
2022-03-01 06:00:00,627072.0,4042130860.0,17903195429.0,23541862.0,34231167.0,0.0,9017462.0,36205561.0,PT3600S
2022-03-01 07:00:00,627072.0,8026866956.0,28158296059.0,45485559.0,60365177.0,0.0,14458872.0,45838869.0,PT3600S
2022-03-01 08:00:00,627072.0,10697396673.0,31944837846.0,62118755.0,75884945.0,0.0,16190079.0,49685254.0,PT3600S
2022-03-01 09:00:00,627072.0,11820475675.0,33008953200.0,69868099.0,81722813.0,0.0,18322769.0,50074488.0,PT3600S
2022-03-01 10:00:00,627072.0,12511356707.0,34489680620.0,74108346.0,86067152.0,0.0,18750484.0,52108313.0,PT3600S
2022-03-01 11:00:00,627072.0,12520442987.0,34511953265.0,73908018.0,85870178.0,0.0,18905379.0,51936961.0,PT3600S
2022-03-01 12:00:00,627072.0,11745998270.0,34307929708.0,69965477.0,83237732.0,0.0,18005730.0,52502223.0,PT3600S
2022-03-01 13:00:00,627072.0,11426257247.0,33537488615.0,67969967.0,81293709.0,0.0,17384616.0,50886390.0,PT3600S
2022-03-01 14:00:00,627072.0,12265166227.0,34295306223.0,72448539.0,85128547.0,0.0,18823331.0,53411611.0,PT3600S
2022-03-01 15:00:00,627072.0,12095911292.0,34410743579.0,71778984.0,85059847.0,0.0,18153975.0,53276829.0,PT3600S
2022-03-01 16:00:00,627072.0,11510669429.0,32900091814.0,67479863.0,80223034.0,0.0,17474089.0,52382653.0,PT3600S
2022-03-01 17:00:00,627072.0,11943485565.0,32859111903.0,68507346.0,80640284.0,0.0,18330976.0,51077409.0,PT3600S
2022-03-01 18:00:00,627072.0,12512026466.0,33791269884.0,72838008.0,85272987.0,0.0,19789662.0,51359678.0,PT3600S
2022-03-01 19:00:00,627072.0,14188669778.0,35783371409.0,85115650.0,94938521.0,0.0,22687784.0,54954000.0,PT3600S
2022-03-01 20:00:00,627072.0,16300189703.0,37068242423.0,100541303.0,105034985.0,0.0,25346683.0,56484997.0,PT3600S
2022-03-01 21:00:00,627072.0,18241416400.0,42089940752.0,109552909.0,115779137.0,0.0,27385278.0,67656018.0,PT3600S
2022-03-01 22:00:00,627072.0,18831813186.0,51521201475.0,106528364.0,125241305.0,0.0,28216915.0,80614539.0,PT3600S
2022-03-01 23:00:00,627072.0,13239226901.0,44637781399.0,72243566.0,96722641.0,0.0,24642093.0,76717500.0,PT3600S
2022-03-02 00:00:00,627072.0,7604101800.0,29424055972.0,41179184.0,59991200.0,0.0,14441853.0,54144507.0,PT3600S
2022-03-02 01:00:00,627072.0,3806523603.0,16078769462.0,21557620.0,31517060.0,0.0,7635540.0,31916539.0,PT3600S
2022-03-02 02:00:00,627072.0,2180683905.0,9464957064.0,13415481.0,19061091.0,0.0,4089408.0,17470555.0,PT3600S
2022-03-02 03:00:00,627072.0,1663904426.0,7787048932.0,10896933.0,15687224.0,0.0,3075427.0,13102181.0,PT3600S
2022-03-02 04:00:00,627072.0,1639035895.0,7457706423.0,10467273.0,14839349.0,0.0,2858099.0,12653743.0,PT3600S
2022-03-02 05:00:00,627072.0,2101009104.0,9747497035.0,12875271.0,18972649.0,0.0,4244855.0,19462230.0,PT3600S
2022-03-02 06:00:00,627072.0,3758759464.0,16558392877.0,21570455.0,31879454.0,0.0,8388141.0,34134173.0,PT3600S
2022-03-02 07:00:00,627072.0,7199632110.0,26237412456.0,41106136.0,55925989.0,0.0,12665244.0,41534829.0,PT3600S
2022-03-02 08:00:00,627072.0,9995349837.0,30575525732.0,57938682.0,71971459.0,0.0,15843793.0,46731871.0,PT3600S
2022-03-02 09:00:00,627072.0,11153817414.0,31686188927.0,65429567.0,78081724.0,0.0,17378968.0,49930334.0,PT3600S
2022-03-02 11:00:00,627072.0,11837752669.0,32588612834.0,69587322.0,80988596.0,0.0,17992252.0,49909262.0,PT3600S
2022-03-02 14:00:00,627072.0,11502925782.0,32717270205.0,67429647.0,79967629.0,0.0,17574371.0,52905802.0,PT3600S
2022-03-02 16:00:00,627072.0,11414217889.0,32521046359.0,66593270.0,79302135.0,0.0,17761588.0,49941576.0,PT3600S
2022-03-03 03:00:00,627072.0,1891843458.0,8643185235.0,11962210.0,17478377.0,0.0,3371872.0,14760371.0,PT3600S
2022-03-02 10:00:00,627072.0,12063774287.0,33340843122.0,70939273.0,83215292.0,0.0,18080893.0,50533387.0,PT3600S
2022-03-02 12:00:00,627072.0,11768765136.0,32631044873.0,68751586.0,80544114.0,0.0,17859650.0,49803490.0,PT3600S
