begintime,sk_object,1282423987,1282423988,duration
2022-03-01 00:00:00,630566.0,3.239,2.919,PT3600S
2022-03-01 00:00:00,630567.0,3.24,2.92,PT3600S
2022-03-01 00:00:00,630581.0,3.234,2.915,PT3600S
2022-03-01 00:00:00,630582.0,3.234,2.917,PT3600S
2022-03-01 01:00:00,630566.0,2.078,1.813,PT3600S
2022-03-01 01:00:00,630567.0,2.074,1.812,PT3600S
2022-03-01 01:00:00,630581.0,2.076,1.813,PT3600S
2022-03-01 01:00:00,630582.0,2.075,1.809,PT3600S
2022-03-01 02:00:00,630566.0,1.621,1.386,PT3600S
2022-03-01 02:00:00,630567.0,1.624,1.389,PT3600S
2022-03-01 02:00:00,630581.0,1.62,1.385,PT3600S
2022-03-01 02:00:00,630582.0,1.622,1.39,PT3600S
2022-03-01 03:00:00,630566.0,1.445,1.239,PT3600S
2022-03-01 03:00:00,630567.0,1.446,1.24,PT3600S
2022-03-01 03:00:00,630581.0,1.446,1.241,PT3600S
2022-03-01 03:00:00,630582.0,1.445,1.24,PT3600S
2022-03-01 04:00:00,630566.0,1.471,1.309,PT3600S
2022-03-01 04:00:00,630567.0,1.471,1.305,PT3600S
2022-03-01 04:00:00,630581.0,1.472,1.31,PT3600S
2022-03-01 04:00:00,630582.0,1.471,1.307,PT3600S
2022-03-01 05:00:00,630566.0,2.061,1.847,PT3600S
2022-03-01 05:00:00,630567.0,2.058,1.848,PT3600S
2022-03-01 05:00:00,630581.0,2.059,1.847,PT3600S
2022-03-01 05:00:00,630582.0,2.057,1.845,PT3600S
2022-03-01 06:00:00,630566.0,4.032,3.712,PT3600S
2022-03-01 06:00:00,630567.0,4.031,3.709,PT3600S
2022-03-01 06:00:00,630581.0,4.031,3.71,PT3600S
2022-03-01 06:00:00,630582.0,4.034,3.712,PT3600S
2022-03-01 07:00:00,630566.0,9.424,9.058,PT3600S
2022-03-01 07:00:00,630567.0,9.414,9.058,PT3600S
2022-03-01 07:00:00,630581.0,9.421,9.052,PT3600S
2022-03-01 07:00:00,630582.0,9.418,9.053,PT3600S
2022-03-01 08:00:00,630566.0,13.269,12.787,PT3600S
2022-03-01 08:00:00,630567.0,13.268,12.779,PT3600S
2022-03-01 08:00:00,630581.0,13.272,12.777,PT3600S
2022-03-01 08:00:00,630582.0,13.258,12.776,PT3600S
2022-03-01 09:00:00,630566.0,14.1,13.518,PT3600S
2022-03-01 09:00:00,630567.0,14.089,13.524,PT3600S
2022-03-01 09:00:00,630581.0,14.09,13.519,PT3600S
2022-03-01 09:00:00,630582.0,14.086,13.517,PT3600S
2022-03-01 10:00:00,630566.0,13.877,13.245,PT3600S
2022-03-01 10:00:00,630567.0,13.881,13.249,PT3600S
2022-03-01 10:00:00,630581.0,13.873,13.244,PT3600S
2022-03-01 10:00:00,630582.0,13.874,13.25,PT3600S
2022-03-01 11:00:00,630566.0,13.501,12.93,PT3600S
2022-03-01 11:00:00,630567.0,13.504,12.932,PT3600S
2022-03-01 11:00:00,630581.0,13.503,12.928,PT3600S
2022-03-01 11:00:00,630582.0,13.509,12.928,PT3600S
2022-03-01 12:00:00,630566.0,12.779,12.174,PT3600S
2022-03-01 12:00:00,630567.0,12.782,12.179,PT3600S
2022-03-01 12:00:00,630581.0,12.776,12.185,PT3600S
2022-03-01 12:00:00,630582.0,12.776,12.182,PT3600S
2022-03-01 13:00:00,630566.0,12.462,11.803,PT3600S
2022-03-01 13:00:00,630567.0,12.473,11.798,PT3600S
2022-03-01 13:00:00,630581.0,12.462,11.805,PT3600S
2022-03-01 13:00:00,630582.0,12.462,11.808,PT3600S
2022-03-01 14:00:00,630566.0,13.168,12.458,PT3600S
2022-03-01 14:00:00,630567.0,13.162,12.452,PT3600S
2022-03-01 14:00:00,630581.0,13.168,12.449,PT3600S
2022-03-01 14:00:00,630582.0,13.168,12.459,PT3600S
2022-03-01 15:00:00,630566.0,12.905,12.201,PT3600S
2022-03-01 15:00:00,630567.0,12.905,12.197,PT3600S
2022-03-01 15:00:00,630581.0,12.906,12.193,PT3600S
2022-03-01 15:00:00,630582.0,12.908,12.194,PT3600S
2022-03-01 16:00:00,630566.0,12.438,11.793,PT3600S
2022-03-01 16:00:00,630567.0,12.436,11.804,PT3600S
2022-03-01 16:00:00,630581.0,12.436,11.806,PT3600S
2022-03-01 16:00:00,630582.0,12.439,11.794,PT3600S
2022-03-01 17:00:00,630566.0,12.682,12.084,PT3600S
2022-03-01 17:00:00,630567.0,12.668,12.08,PT3600S
2022-03-01 17:00:00,630581.0,12.671,12.08,PT3600S
2022-03-01 17:00:00,630582.0,12.676,12.087,PT3600S
2022-03-01 18:00:00,630566.0,13.714,13.099,PT3600S
2022-03-01 18:00:00,630567.0,13.71,13.087,PT3600S
2022-03-01 18:00:00,630581.0,13.719,13.09,PT3600S
2022-03-01 18:00:00,630582.0,13.712,13.078,PT3600S
2022-03-01 19:00:00,630566.0,17.037,16.48,PT3600S
2022-03-01 19:00:00,630567.0,17.028,16.469,PT3600S
2022-03-01 19:00:00,630581.0,17.035,16.475,PT3600S
2022-03-01 19:00:00,630582.0,17.039,16.467,PT3600S
2022-03-01 20:00:00,630566.0,19.257,18.891,PT3600S
2022-03-01 20:00:00,630567.0,19.27,18.88,PT3600S
2022-03-01 20:00:00,630581.0,19.258,18.873,PT3600S
2022-03-01 20:00:00,630582.0,19.261,18.889,PT3600S
2022-03-01 21:00:00,630566.0,16.619,16.273,PT3600S
2022-03-01 21:00:00,630567.0,16.626,16.281,PT3600S
2022-03-01 21:00:00,630581.0,16.612,16.279,PT3600S
2022-03-01 21:00:00,630582.0,16.623,16.293,PT3600S
2022-03-01 22:00:00,630566.0,10.996,10.565,PT3600S
2022-03-01 22:00:00,630567.0,11.001,10.572,PT3600S
2022-03-01 22:00:00,630581.0,10.994,10.566,PT3600S
2022-03-01 22:00:00,630582.0,10.997,10.57,PT3600S
2022-03-01 23:00:00,630566.0,5.863,5.47,PT3600S
2022-03-01 23:00:00,630567.0,5.868,5.473,PT3600S
2022-03-01 23:00:00,630581.0,5.868,5.461,PT3600S
2022-03-01 23:00:00,630582.0,5.859,5.475,PT3600S
2022-03-02 00:00:00,630566.0,3.18,2.853,PT3600S
2022-03-02 00:00:00,630567.0,3.18,2.849,PT3600S
2022-03-02 00:00:00,630581.0,3.178,2.853,PT3600S
2022-03-02 00:00:00,630582.0,3.178,2.85,PT3600S
2022-03-02 01:00:00,630566.0,2.035,1.765,PT3600S
2022-03-02 01:00:00,630567.0,2.036,1.765,PT3600S
2022-03-02 01:00:00,630581.0,2.034,1.762,PT3600S
2022-03-02 01:00:00,630582.0,2.035,1.761,PT3600S
2022-03-02 02:00:00,630566.0,1.57,1.335,PT3600S
2022-03-02 02:00:00,630567.0,1.571,1.337,PT3600S
2022-03-02 02:00:00,630581.0,1.571,1.337,PT3600S
2022-03-02 02:00:00,630582.0,1.57,1.339,PT3600S
2022-03-02 03:00:00,630566.0,1.355,1.151,PT3600S
2022-03-02 03:00:00,630567.0,1.354,1.154,PT3600S
2022-03-02 03:00:00,630581.0,1.355,1.155,PT3600S
