begintime,sk_object,50332573,50332574,50342574,50342575,50342635,50342636,duration
2022-03-01 00:00:00,11634.0,512.0,64.958,41.5,116.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,22167.0,512.0,18.171,5.5,58.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,27472.0,512.0,10.2,4.0,33.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,28998.0,512.0,25.063,9.5,67.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,33383.0,1024.0,98.546,74.5,148.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,33496.0,512.0,80.225,56.5,144.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,34298.0,512.0,48.992,33.5,94.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,34337.0,1024.0,21.167,10.5,54.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,34410.0,256.0,46.321,29.5,72.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,42078.0,512.0,29.563,19.0,47.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,53028.0,1024.0,51.967,31.0,88.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,787708.0,1024.0,4.463,0.0,11.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,790895.0,1024.0,30.167,16.5,51.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,792987.0,256.0,25.567,12.5,41.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,793327.0,512.0,76.708,54.0,111.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,793979.0,512.0,116.613,81.0,169.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,794244.0,1024.0,83.15,56.5,120.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,810456.0,512.0,10.788,2.0,40.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,810695.0,512.0,37.838,21.5,83.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,812038.0,512.0,30.438,16.5,67.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,817396.0,1024.0,59.858,32.0,114.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,818103.0,1024.0,99.371,67.5,135.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,821005.0,1024.0,32.479,16.5,64.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,821163.0,512.0,40.517,24.0,65.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,826513.0,1024.0,72.983,48.0,118.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,827243.0,1024.0,71.967,44.0,132.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,829680.0,1024.0,137.708,98.5,186.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,830058.0,512.0,92.267,65.0,136.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,830082.0,512.0,19.496,10.5,32.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,830321.0,512.0,11.858,5.0,22.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,830429.0,1024.0,164.496,119.0,231.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,830642.0,768.0,45.233,27.5,94.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,830652.0,512.0,77.238,50.0,135.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,831420.0,256.0,0.033,0.0,1.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,831848.0,1024.0,6.067,1.5,14.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,832031.0,1024.0,120.854,77.0,170.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,832306.0,1024.0,84.758,55.5,119.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,832758.0,512.0,27.925,11.0,75.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,833556.0,256.0,20.442,9.0,65.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,837639.0,512.0,29.913,16.0,121.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,839270.0,512.0,13.508,4.5,33.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,840463.0,512.0,49.496,26.0,106.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,842681.0,1024.0,101.308,75.0,137.0,7.604,18.5,PT3600S
2022-03-01 00:00:00,850291.0,1024.0,149.462,111.0,215.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,852605.0,1024.0,17.717,9.5,40.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,852667.0,512.0,8.887,0.5,18.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,856314.0,512.0,36.017,20.5,63.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,859422.0,512.0,72.262,45.0,112.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,859488.0,256.0,7.537,1.5,16.5,0.0,0.0,PT3600S
