begintime,sk_object,duration,M51302C0,M51302C1,M51302C2,M51302C3,M51302C4,M51302C5,M51302C6
2022-03-15 06:58:00,221.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 06:58:00,238.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 06:58:00,242.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17 02:53:00,219.0,7,93.0,18529.0,1914810.0,14887.0,1960226.0,0.0,0.0
2022-03-17 02:53:00,232.0,7,93.0,15400.0,1231562.0,23315.0,33973714.0,0.0,0.0
2022-03-17 02:53:00,235.0,7,93.0,63281.0,65987971.0,43956.0,11079203.0,0.0,0.0
2022-03-17 02:54:00,220.0,6,70.0,2877.0,278117.0,780.0,888301.0,0.0,0.0
2022-03-17 02:54:00,222.0,6,70.0,6120.0,685546.0,3163.0,263006.0,0.0,0.0
2022-03-17 02:54:00,224.0,6,189.0,26579.0,2143539.0,38528.0,56225966.0,0.0,0.0
2022-03-17 02:54:00,225.0,6,189.0,7438.0,813906.0,4124.0,413196.0,0.0,0.0
2022-03-17 02:54:00,226.0,6,70.0,1563.0,440661.0,1503.0,431550.0,0.0,0.0
2022-03-17 02:54:00,227.0,6,185.0,6981.0,660252.0,1050.0,1242073.0,0.0,0.0
2022-03-17 02:54:00,228.0,6,60.0,2033.0,191400.0,37.0,3268.0,0.0,0.0
2022-03-17 02:54:00,230.0,6,185.0,172073.0,144305859.0,138461.0,59936030.0,0.0,0.0
2022-03-17 02:54:00,231.0,6,55.0,1647.0,155022.0,27.0,2336.0,0.0,0.0
2022-03-17 02:54:00,233.0,6,55.0,3470.0,364440.0,2233.0,253518.0,0.0,0.0
2022-03-17 02:54:00,234.0,6,60.0,4755.0,4136901.0,4537.0,1032025.0,0.0,0.0
2022-03-17 02:54:00,236.0,6,185.0,27910.0,2943552.0,21600.0,2817284.0,0.0,0.0
2022-03-17 02:54:00,237.0,6,55.0,778.0,307517.0,992.0,221698.0,0.0,0.0
2022-03-17 02:54:00,239.0,6,189.0,94635.0,119661147.0,44081.0,7180990.0,0.0,0.0
2022-03-17 02:54:00,241.0,6,60.0,7960.0,823850.0,5914.0,768004.0,0.0,0.0
2022-03-17 02:55:00,223.0,5,174.0,318545.0,423818689.0,191180.0,47472677.0,0.0,0.0
2022-03-17 02:55:00,229.0,5,174.0,21702.0,2289076.0,16082.0,2062868.0,0.0,0.0
2022-03-17 02:55:00,240.0,5,174.0,39871.0,3181500.0,55295.0,83036109.0,0.0,0.0
2022-03-18 18:00:00,231.0,15,447.0,16082.0,1512840.0,291.0,391253.0,0.0,0.0
2022-03-18 18:00:00,233.0,15,447.0,33548.0,3797176.0,16514.0,1162444.0,0.0,0.0
2022-03-18 18:00:00,237.0,15,448.0,1305.0,112870.0,98.0,5320.0,0.0,0.0
2022-03-18 18:15:00,231.0,15,443.0,15774.0,1486420.0,34.0,4820.0,0.0,0.0
2022-03-18 18:15:00,233.0,15,441.0,32288.0,3655230.0,16265.0,1149818.0,0.0,0.0
2022-03-18 18:15:00,237.0,15,438.0,1283.0,111334.0,93.0,5070.0,0.0,0.0
2022-03-18 18:30:00,231.0,15,445.0,15791.0,1487374.0,46.0,5420.0,0.0,0.0
2022-03-18 18:30:00,233.0,15,443.0,32477.0,3677816.0,16344.0,1154180.0,0.0,0.0
2022-03-18 18:30:00,237.0,15,442.0,1253.0,108834.0,83.0,4570.0,0.0,0.0
2022-03-18 18:45:00,231.0,15,443.0,15836.0,1490890.0,57.0,5862.0,0.0,0.0
2022-03-18 18:45:00,233.0,15,438.0,33107.0,3748622.0,16711.0,1180238.0,0.0,0.0
2022-03-18 18:45:00,237.0,15,444.0,1224.0,107380.0,52.0,2824.0,0.0,0.0
2022-03-19 06:56:00,86674.0,4,73.0,3208.0,299921.0,1003.0,1299315.0,0.0,0.0
2022-03-19 06:56:00,86675.0,4,73.0,14030.0,1581856.0,8073.0,820342.0,0.0,0.0
2022-03-19 06:56:00,86676.0,4,73.0,174592.0,215293020.0,106724.0,31957047.0,0.0,0.0
2022-03-19 13:46:00,221.0,14,281.0,1541274.0,1842298866.0,976537.0,252719617.0,0.0,0.0
2022-03-19 13:46:00,238.0,14,281.0,33672.0,2727248.0,47610.0,69363924.0,0.0,0.0
2022-03-19 13:46:00,242.0,14,281.0,100429.0,11249240.0,63320.0,7188428.0,0.0,0.0
2022-03-19 16:58:00,221.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 16:58:00,238.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 16:58:00,242.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:47:00,221.0,13,428.0,5421291.0,5302850218.0,3903215.0,1059879035.0,0.0,0.0
2022-03-11 21:47:00,238.0,13,428.0,16032.0,1525763.0,1960.0,2099540.0,0.0,0.0
2022-03-11 21:47:00,242.0,13,427.0,187313.0,21292242.0,144080.0,15551020.0,0.0,0.0
2022-03-12 05:55:00,228.0,5,286.0,10328.0,978256.0,190.0,57313.0,0.0,0.0
2022-03-12 05:55:00,234.0,5,286.0,826737.0,1051346367.0,447799.0,98556147.0,0.0,0.0
2022-03-12 05:55:00,241.0,5,286.0,24942.0,2835010.0,17904.0,2621848.0,0.0,0.0
2022-03-12 06:50:00,221.0,10,178.0,1112340.0,1188858360.0,769075.0,532202210.0,0.0,0.0
2022-03-12 06:50:00,238.0,10,178.0,7128.0,667575.0,1424.0,1832114.0,0.0,0.0
2022-03-12 06:50:00,242.0,10,178.0,50391.0,5538284.0,33168.0,4007904.0,0.0,0.0
