begintime,sk_object,duration,M51324C0,M51324C1,M51324C2
2022-03-15 06:58:00,304.0,2,0.0,0.0,0.0
2022-03-17 02:53:00,300.0,7,0.0,0.0,0.0
2022-03-17 02:54:00,299.0,6,0.0,0.0,0.0
2022-03-17 02:54:00,301.0,6,0.0,0.0,0.0
2022-03-17 02:54:00,303.0,6,0.0,0.0,0.0
2022-03-17 02:54:00,305.0,6,0.0,0.0,0.0
2022-03-17 02:54:00,306.0,6,0.0,0.0,0.0
2022-03-17 02:55:00,302.0,5,0.0,0.0,0.0
2022-03-18 18:00:00,301.0,15,0.0,0.0,0.0
2022-03-18 18:15:00,301.0,15,0.0,0.0,0.0
2022-03-18 18:30:00,301.0,15,0.0,0.0,0.0
2022-03-18 18:45:00,301.0,15,0.0,0.0,0.0
2022-03-19 06:56:00,86694.0,4,0.0,0.0,0.0
2022-03-19 13:46:00,304.0,14,0.0,0.0,0.0
2022-03-19 16:58:00,304.0,2,0.0,0.0,0.0
2022-03-11 21:47:00,304.0,13,0.0,0.0,0.0
2022-03-12 05:55:00,299.0,5,0.0,0.0,0.0
2022-03-12 06:50:00,304.0,10,0.0,0.0,0.0
