begintime,sk_object,duration,M8011C17,M8011C18,M8011C114,M8011C19,M8011C115,M8011C116,M8011C117,M8011C20,M8011C21,M8011C22,M8011C23,M8011C24,M8011C25,M8011C26,M8011C27,M8011C28,M8011C29,M8011C30,M8011C31,M8011C32,M8011C12,M8011C13,M8011C14,M8011C15,M8011C16,M8011C33,M8011C34,M8011C35,M8011C36,M8011C37,M8011C38,M8011C39,M8011C40,M8011C41,M8011C42,M8011C43,M8011C44,M8011C45,M8011C46,M8011C47,M8011C49,M8011C50,M8011C51,M8011C54,M8011C55,M8011C56,M8011C57,M8011C58,M8011C163,M8011C59,M8011C60,M8011C61,M8011C62,M8011C63,M8011C64,M8011C65,M8011C66,M8011C67,M8011C80,M8011C68,M8011C69,M8011C70,M8011C71,M8011C72,M8011C73,M8011C74,M8011C75,M8011C76,M8011C77,M8011C78,M8011C79,M8011C81,M8011C82,M8011C83,M8011C84,M8011C85,M8011C109,M8011C86,M8011C87,M8011C88,M8011C89,M8011C90,M8011C91,M8011C92,M8011C110,M8011C93,M8011C94,M8011C95,M8011C96,M8011C97,M8011C111,M8011C112,M8011C98,M8011C99,M8011C100,M8011C101,M8011C102,M8011C113,M8011C103,M8011C104,M8011C105,M8011C106,M8011C107,M8011C108,M8011C118,M8011C119,M8011C120,M8011C121,M8011C122,M8011C123,M8011C124,M8011C125,M8011C126,M8011C127,M8011C128,M8011C129,M8011C130,M8011C131,M8011C132,M8011C133,M8011C134,M8011C135,M8011C136,M8011C137,M8011C138,M8011C139,M8011C140,M8011C141,M8011C142,M8011C143,M8011C144,M8011C145,M8011C146,M8011C147,M8011C148,M8011C149,M8011C150,M8011C151,M8011C152,M8011C153,M8011C154,M8011C155,M8011C156,M8011C164,M8011C157,M8011C158,M8011C159,M8011C160,M8011C161,M8011C162,M8011C165,M8011C166,M8011C167,M8011C168,M8011C169,M8011C170,M8011C171,M8011C172,M8011C211,M8011C173,M8011C174,M8011C175,M8011C176,M8011C177,M8011C178,M8011C179,M8011C180,M8011C181,M8011C188,M8011C189,M8011C190,M8011C191,M8011C192,M8011C193,M8011C194,M8011C195,M8011C196,M8011C197,M8011C198,M8011C199,M8011C200,M8011C201,M8011C202,M8011C203,M8011C204,M8011C205,M8011C206,M8011C207,M8011C208,M8011C209,M8011C210,M8011C212,M8011C213,M8011C214,M8011C215,M8011C216,M8011C217,M8011C218,M8011C219,M8011C229,M8011C220,M8011C221,M8011C222,M8011C223,M8011C224,M8011C225,M8011C226,M8011C227,M8011C228,M8011C230,M8011C231,M8011C232,M8011C233,M8011C234,M8011C235,M8011C236,M8011C237,M8011C238,M8011C239,M8011C240,M8011C241,M8011C242,M8011C243,M8011C244,M8011C245,M8011C246,M8011C247,M8011C248,M8011C249,M8011C250,M8011C251,M8011C252,M8011C253,M8011C254,M8011C255,M8011C256,M8011C257,M8011C258,M8011C267,M8011C268,M8011C269,M8011C270,M8011C271,M8011C272,M8011C273,M8011C274,M8011C275,M8011C276,M8011C277,M8011C278,M8011C279,M8011C280,M8011C281,M8011C282,M8011C283,M8011C284,M8011C285,M8011C288,M8011C291,M8011C292,M8011C293,M8011C294,M8011C295,M8011C296,M8011C297,M8011C298,M8011C311
2022-03-11 21:47:00,786.0,13,24184.0,17961.0,0.0,10976.0,0.0,0.0,0.0,12668.0,42094.0,0.0,100.0,226.0,463279.0,127023.0,87932.0,36378.0,39337.0,21556.0,9001.0,11282.0,347726.0,150964.0,113882.0,70400.0,40145.0,9221.0,25871.0,0.0,100.0,171.0,25233457.0,15322.0,1211982.0,285104.0,354275.0,366.0,40.0,22.0,18.0,14171731.0,5593356.0,8079775.0,7111341.0,6617721.0,13.0,9.0,8.0,7.0,,95436.0,431235.0,304294.0,0.0,0.0,0.0,0.0,0.0,129.0,,129.0,35.0,0.0,0.0,0.0,0.0,830965.0,0.0,0.0,0.0,0.0,830967.0,60.0,169.0,248.0,277.0,65.0,,12.0,0.0,0.0,0.0,0.0,48.0,64.0,,318.0,376.0,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,831.0,60.0,0.0,144.0,251.0,285.0,79.0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2268.0,14.0,2282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845518.0,0.0,655402.0,0.0,5116801.0,8109542.0,0.0,0.0,616.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,232.0,0.0
2022-03-11 21:47:00,796.0,13,3844.0,3065.0,0.0,1453.0,0.0,0.0,0.0,7386.0,4650.0,0.0,100.0,60.0,606726.0,72200.0,44606.0,19529.0,19724.0,11675.0,5861.0,7753.0,694391.0,67257.0,30907.0,12463.0,5584.0,8484.0,34482.0,0.0,100.0,125.0,18758885.0,1196.0,407277.0,153062.0,163762.0,67.0,9.0,4.0,3.0,7909293.0,5204468.0,2206225.0,5173199.0,4693999.0,4.0,6.0,4.0,6.0,,293451.0,428156.0,109356.0,0.0,0.0,0.0,0.0,0.0,14.0,,14.0,0.0,0.0,0.0,0.0,0.0,830963.0,0.0,0.0,0.0,0.0,830971.0,0.0,0.0,4.0,113.0,610.0,,104.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,287.0,544.0,0.0,0.0,,0.0,0.0,0.0,0.0,831.0,0.0,0.0,0.0,4.0,113.0,591.0,123.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,704.0,0.0,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24149.0,0.0,2291219.0,0.0,2378631.0,2207487.0,0.0,0.0,26.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,25.0,0.0
2022-03-11 21:47:00,798.0,13,37851.0,31023.0,0.0,34934.0,0.0,0.0,0.0,29013.0,365647.0,0.0,100.0,660.0,461.0,61423.0,44319.0,26642.0,35918.0,34780.0,18883.0,22612.0,13304.0,69379.0,122367.0,73381.0,54101.0,69651.0,516191.0,0.0,100.0,806.0,35732473.0,367247.0,2310033.0,1396376.0,1897579.0,19503.0,9343.0,6007.0,10849.0,29964908.0,6647938.0,22818370.0,33500625.0,32965473.0,38.0,10.0,33.0,10.0,,0.0,31.0,830934.0,0.0,0.0,0.0,0.0,0.0,658.0,,657.0,831.0,0.0,0.0,0.0,0.0,830965.0,0.0,0.0,0.0,0.0,830967.0,831.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,831.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,831.0,831.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,5772.0,0.0,5772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6007427.0,0.0,2719.0,0.0,26955327.0,22820906.0,0.0,0.0,5757.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11536.0,34166.0,0.0
2022-03-11 21:47:00,801.0,13,35290.0,23209.0,0.0,22633.0,0.0,0.0,0.0,17150.0,230377.0,0.0,100.0,505.0,29028.0,80636.0,42831.0,23576.0,36398.0,45346.0,22597.0,28756.0,31841.0,133865.0,198492.0,86224.0,51919.0,66298.0,455414.0,0.0,100.0,748.0,35723429.0,108282.0,756065.0,764805.0,2343577.0,2905.0,1985.0,1917.0,8941.0,24628559.0,6646874.0,17483085.0,31092460.0,30576224.0,25.0,8.0,22.0,8.0,,0.0,563.0,830434.0,0.0,0.0,0.0,0.0,0.0,341.0,,341.0,831.0,0.0,0.0,0.0,0.0,830997.0,0.0,0.0,0.0,0.0,830995.0,831.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,831.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,831.0,830.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,12.0,3006.0,1996.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4833592.0,0.0,7443.0,0.0,25735189.0,17482080.0,0.0,0.0,3053.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4241.0,11507.0,0.0
2022-03-11 21:47:00,812.0,13,6773.0,5248.0,0.0,3075.0,0.0,0.0,0.0,6051.0,12158.0,0.0,100.0,116.0,346155.0,111811.0,102078.0,41595.0,56259.0,33383.0,15663.0,20524.0,542057.0,150084.0,64042.0,28658.0,12854.0,21596.0,81816.0,0.0,100.0,284.0,23560199.0,8535.0,1194975.0,221894.0,240398.0,367.0,27.0,16.0,13.0,10095729.0,5420126.0,4177003.0,11805026.0,11316558.0,8.0,8.0,11.0,8.0,,108116.0,505717.0,217164.0,0.0,0.0,0.0,0.0,0.0,46.0,,46.0,22.0,0.0,0.0,0.0,0.0,830997.0,0.0,0.0,0.0,0.0,830995.0,66.0,317.0,358.0,77.0,11.0,,2.0,0.0,0.0,0.0,0.0,0.0,25.0,,210.0,592.0,4.0,0.0,0.0,,0.0,0.0,0.0,0.0,831.0,66.0,0.0,317.0,358.0,77.0,11.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1378.0,0.0,1378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183443.0,0.0,4976847.0,0.0,6156268.0,4178083.0,0.0,0.0,498.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,101.0,0.0
2022-03-11 21:47:00,817.0,13,37180.0,28324.0,0.0,23722.0,0.0,0.0,0.0,21139.0,144343.0,0.0,100.0,394.0,177184.0,50846.0,36046.0,22016.0,35393.0,37304.0,17421.0,23090.0,186768.0,115097.0,143942.0,72198.0,58287.0,49610.0,382130.0,0.0,100.0,623.0,35273409.0,30459.0,413743.0,382931.0,1764004.0,769.0,299.0,263.0,2981.0,20784149.0,6595090.0,13690459.0,25873921.0,25386429.0,16.0,8.0,14.0,8.0,,616.0,25840.0,804507.0,0.0,0.0,0.0,0.0,0.0,126.0,,126.0,484.0,0.0,0.0,0.0,0.0,830963.0,0.0,0.0,0.0,0.0,830971.0,620.0,147.0,46.0,13.0,5.0,,0.0,0.0,0.0,0.0,583.0,164.0,55.0,,18.0,11.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,831.0,280.0,0.0,291.0,201.0,45.0,14.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1344.0,0.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452567.0,0.0,704971.0,0.0,22228891.0,13693878.0,0.0,0.0,1460.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,3491.0,0.0
2022-03-12 05:55:00,785.0,5,2090.0,3402.0,0.0,2552.0,0.0,0.0,0.0,34179.0,7604.0,0.0,100.0,69.0,672832.0,33716.0,33142.0,6956.0,3758.0,1896.0,1417.0,2172.0,744147.0,18028.0,10718.0,6629.0,3651.0,6324.0,70907.0,0.0,100.0,124.0,10650195.0,71.0,240655.0,107637.0,74485.0,2.0,1.0,0.0,0.0,8040594.0,5024598.0,2516196.0,5157540.0,4868000.0,2.0,5.0,2.0,4.0,,702178.0,117583.0,13299.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,833060.0,0.0,0.0,0.0,0.0,833050.0,10.0,0.0,0.0,43.0,39.0,,741.0,0.0,0.0,0.0,10.0,0.0,0.0,,43.0,32.0,748.0,10.0,0.0,,0.0,0.0,0.0,0.0,823.0,10.0,0.0,0.0,0.0,0.0,75.0,748.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,109.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,3484050.0,0.0,1383599.0,2514385.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2022-03-12 05:55:00,794.0,5,243.0,146.0,0.0,64.0,0.0,0.0,0.0,1449.0,202.0,0.0,100.0,5.0,817282.0,8475.0,576.0,240.0,383.0,380.0,153.0,315.0,821150.0,6017.0,2552.0,646.0,531.0,597.0,4719.0,0.0,100.0,15.0,8753714.0,13.0,14700.0,70586.0,11275.0,2.0,1.0,0.0,1.0,5692343.0,5006484.0,186059.0,608487.0,319055.0,0.0,5.0,0.0,3.0,,811075.0,17733.0,4242.0,0.0,0.0,0.0,0.0,0.0,11.0,,11.0,0.0,0.0,0.0,0.0,0.0,833050.0,0.0,0.0,0.0,0.0,833050.0,10.0,0.0,0.0,0.0,5.0,,818.0,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,4.0,819.0,10.0,0.0,,0.0,0.0,0.0,0.0,823.0,10.0,0.0,0.0,0.0,0.0,1.0,822.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,105.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,100050.0,0.0,218592.0,186059.0,0.0,0.0,3.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
2022-03-12 05:55:00,797.0,5,2637.0,2051.0,0.0,1163.0,0.0,0.0,0.0,3570.0,3119.0,0.0,100.0,52.0,528258.0,17628.0,9720.0,6634.0,7731.0,6238.0,2427.0,5125.0,700746.0,63882.0,37892.0,12188.0,5752.0,20378.0,228981.0,0.0,100.0,325.0,24186408.0,1575.0,166873.0,139704.0,464387.0,19.0,25.0,24.0,201.0,8037246.0,5672780.0,1864666.0,13543010.0,13244846.0,3.0,6.0,5.0,5.0,,200448.0,295261.0,337421.0,0.0,0.0,0.0,0.0,0.0,90.0,,90.0,0.0,0.0,0.0,0.0,0.0,833130.0,0.0,0.0,0.0,0.0,833110.0,10.0,45.0,78.0,152.0,291.0,,257.0,0.0,0.0,0.0,10.0,45.0,74.0,,130.0,179.0,395.0,10.0,0.0,,0.0,0.0,0.0,0.0,823.0,10.0,0.0,3.0,38.0,122.0,335.0,325.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1143.0,0.0,1143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3401157.0,0.0,183.0,0.0,9843506.0,1863994.0,0.0,0.0,184.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,243.0,0.0
2022-03-12 05:55:00,799.0,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,6.0,817679.0,8911.0,680.0,2694.0,645.0,346.0,211.0,285.0,790964.0,41081.0,780.0,165.0,8.0,323.0,1346.0,0.0,100.0,11.0,8371478.0,2.0,49795.0,65818.0,1488.0,0.0,0.0,0.0,0.0,5719987.0,4998012.0,222175.0,478507.0,189319.0,1.0,2.0,0.0,2.0,,830544.0,2580.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,833130.0,0.0,0.0,0.0,0.0,833110.0,10.0,0.0,0.0,0.0,0.0,,823.0,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,0.0,823.0,10.0,0.0,,0.0,0.0,0.0,0.0,823.0,10.0,0.0,0.0,0.0,0.0,0.0,823.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,34.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,128205.0,0.0,61090.0,222175.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
