begintime,sk_object,duration,M8073C0
2022-03-15 06:58:00,6331.0,2,2.0
2022-03-15 06:58:00,6339.0,2,0.0
2022-03-15 06:58:00,6346.0,2,0.0
2022-03-15 06:58:00,6352.0,2,0.0
2022-03-15 06:58:00,6355.0,2,0.0
2022-03-15 06:58:00,6361.0,2,5.0
2022-03-17 02:53:00,6326.0,7,0.0
2022-03-17 02:53:00,6338.0,7,5.0
2022-03-17 02:53:00,6344.0,7,0.0
2022-03-17 02:53:00,6345.0,7,0.0
2022-03-17 02:53:00,6351.0,7,1.0
2022-03-17 02:53:00,6357.0,7,0.0
2022-03-17 02:54:00,6321.0,6,2.0
2022-03-17 02:54:00,6322.0,6,0.0
2022-03-17 02:54:00,6324.0,6,0.0
2022-03-17 02:54:00,6325.0,6,0.0
2022-03-17 02:54:00,6327.0,6,0.0
2022-03-17 02:54:00,6328.0,6,0.0
2022-03-17 02:54:00,6329.0,6,0.0
2022-03-17 02:54:00,6332.0,6,0.0
2022-03-17 02:54:00,6334.0,6,0.0
2022-03-17 02:54:00,6335.0,6,0.0
2022-03-17 02:54:00,6336.0,6,0.0
2022-03-17 02:54:00,6337.0,6,0.0
2022-03-17 02:54:00,6340.0,6,0.0
2022-03-17 02:54:00,6341.0,6,0.0
2022-03-17 02:54:00,6342.0,6,0.0
2022-03-17 02:54:00,6347.0,6,0.0
2022-03-17 02:54:00,6348.0,6,0.0
2022-03-17 02:54:00,6349.0,6,0.0
2022-03-17 02:54:00,6350.0,6,0.0
2022-03-17 02:54:00,6353.0,6,0.0
2022-03-17 02:54:00,6356.0,6,0.0
2022-03-17 02:54:00,6358.0,6,0.0
2022-03-17 02:54:00,6359.0,6,0.0
2022-03-17 02:54:00,6362.0,6,0.0
2022-03-17 02:55:00,6323.0,5,0.0
2022-03-17 02:55:00,6330.0,5,0.0
2022-03-17 02:55:00,6333.0,5,0.0
2022-03-17 02:55:00,6343.0,5,0.0
2022-03-17 02:55:00,6354.0,5,0.0
2022-03-17 02:55:00,6360.0,5,0.0
2022-03-19 06:56:00,87728.0,4,2.0
2022-03-19 06:56:00,87730.0,4,0.0
2022-03-19 06:56:00,87733.0,4,10.0
2022-03-19 06:56:00,87734.0,4,2.0
2022-03-19 06:56:00,87735.0,4,14.0
2022-03-19 06:56:00,87737.0,4,50.0
2022-03-19 13:46:00,6331.0,14,0.0
2022-03-19 13:46:00,6339.0,14,0.0
2022-03-19 13:46:00,6346.0,14,0.0
2022-03-19 13:46:00,6352.0,14,0.0
2022-03-19 13:46:00,6355.0,14,1.0
2022-03-19 13:46:00,6361.0,14,8.0
2022-03-19 16:58:00,6339.0,2,0.0
2022-03-19 16:58:00,6346.0,2,0.0
2022-03-19 16:58:00,6352.0,2,0.0
2022-03-11 21:47:00,6331.0,13,1.0
2022-03-11 21:47:00,6339.0,13,0.0
2022-03-11 21:47:00,6346.0,13,0.0
2022-03-11 21:47:00,6352.0,13,0.0
2022-03-11 21:47:00,6355.0,13,0.0
2022-03-11 21:47:00,6361.0,13,38.0
2022-03-12 05:55:00,6328.0,5,21.0
2022-03-12 05:55:00,6335.0,5,2.0
2022-03-12 05:55:00,6337.0,5,19.0
2022-03-12 05:55:00,6340.0,5,1.0
2022-03-12 05:55:00,6348.0,5,0.0
2022-03-12 05:55:00,6359.0,5,0.0
2022-03-12 06:50:00,6331.0,10,0.0
2022-03-12 06:50:00,6339.0,10,0.0
2022-03-12 06:50:00,6346.0,10,0.0
2022-03-12 06:50:00,6352.0,10,0.0
2022-03-12 06:50:00,6355.0,10,0.0
2022-03-12 06:50:00,6361.0,10,12.0
