begintime,sk_object,duration,M8013C80,M8013C81,M8013C5,M8013C6,M8013C10,M8013C11,M8013C7,M8013C9,M8013C0,M8013C1,M8013C2,M8013C3,M8013C4,M8013C12,M8013C13,M8013C15,M8013C16,M8013C17,M8013C18,M8013C19,M8013C21,M8013C24,M8013C25,M8013C26,M8013C27,M8013C28,M8013C29,M8013C30,M8013C31,M8013C32,M8013C33,M8013C34,M8013C35,M8013C36,M8013C37,M8013C38,M8013C39,M8013C40,M8013C41,M8013C42,M8013C43,M8013C44,M8013C45,M8013C46,M8013C47,M8013C48,M8013C49,M8013C50,M8013C51,M8013C52,M8013C53,M8013C54,M8013C55,M8013C56,M8013C57,M8013C58,M8013C60,M8013C69,M8013C61,M8013C62,M8013C63,M8013C64,M8013C65,M8013C66,M8013C67,M8013C68,M8013C70,M8013C71,M8013C72,M8013C73,M8013C74,M8013C75,M8013C76,M8013C77,M8013C78,M8013C79,M8013C82,M8013C83,M8013C84,M8013C85,M8013C86,M8013C87,M8013C88,M8013C89,M8013C90,M8013C91,M8013C92,M8013C93,M8013C94,M8013C95,M8013C96,M8013C97,M8013C99,M8013C100,M8013C101,M8013C102,M8013C103,M8013C104,M8013C105,M8013C106,M8013C107,M8013C108,M8013C109,M8013C110,M8013C111,M8013C112,M8013C113,M8013C114,M8013C115,M8013C116,M8013C117,M8013C118,M8013C119,M8013C121,M8013C122,M8013C123,M8013C124
2022-03-13 14:30:00,16905.0,15,0.0,0.0,838.0,2.0,9.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,1.0,0.0,218.0,293.0,329.0,0.0,6242777.0,15449737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,327.0,293.0,0.0,0.0,0.0,0.0,0.0,838.0,838.0,648.0,11.0,648.0,11.0,0.0,13.0,13.0,13.0,13.0,619.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.0,0.0,0.0,0.0,0.0,218.0,293.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 14:30:00,16958.0,15,0.0,0.0,143.0,1.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,101.0,24.0,19.0,0.0,288688.0,794950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,143.0,143.0,61.0,8.0,61.0,8.0,0.0,5.0,5.0,5.0,5.0,58.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,0.0,0.0,0.0,0.0,101.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,16884.0,15,0.0,0.0,55.0,4.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,22.0,4.0,33.0,0.0,7743.0,31043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,33.0,4.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,39.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,0.0,0.0,0.0,0.0,22.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 00:00:00,16885.0,15,0.0,0.0,166.0,0.0,3.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,76.0,48.0,42.0,0.0,589282.0,959534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,42.0,48.0,0.0,0.0,0.0,0.0,0.0,166.0,166.0,95.0,1.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,0.0,0.0,0.0,0.0,76.0,48.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,16886.0,15,0.0,0.0,329.0,0.0,5.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,2.0,0.0,130.0,60.0,139.0,0.0,1159350.0,5725395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,139.0,60.0,0.0,0.0,0.0,0.0,0.0,329.0,329.0,206.0,0.0,206.0,0.0,0.0,2.0,2.0,2.0,2.0,186.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,130.0,60.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,16887.0,15,0.0,0.0,4295.0,12.0,43.0,0.0,0.0,1392.0,0.0,0.0,3.0,0.0,0.0,2.0,2862.0,13.0,0.0,1182.0,1278.0,1847.0,0.0,41505832.0,72941643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.0,1845.0,1278.0,0.0,0.0,0.0,0.0,0.0,4295.0,4295.0,3207.0,25.0,3198.0,25.0,9.0,52.0,52.0,52.0,52.0,2875.0,2780.0,4.0,0.0,0.0,0.0,0.0,0.0,2715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,1183.0,1278.0,1852.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,2.0,144.0,0.0,26.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2022-03-11 00:00:00,16888.0,15,0.0,0.0,331.0,0.0,3.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,2.0,0.0,81.0,104.0,146.0,0.0,3269758.0,6982045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,146.0,104.0,0.0,0.0,0.0,0.0,0.0,331.0,331.0,259.0,1.0,259.0,1.0,0.0,2.0,2.0,2.0,2.0,217.0,210.0,1.0,0.0,0.0,0.0,0.0,1.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,81.0,104.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,16889.0,15,0.0,0.0,2914.0,3.0,20.0,0.0,0.0,1038.0,0.0,0.0,4.0,0.0,0.0,2.0,1857.0,5.0,0.0,1012.0,818.0,1087.0,0.0,21607434.0,44148988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,1087.0,818.0,0.0,0.0,0.0,0.0,0.0,2914.0,2914.0,1931.0,15.0,1923.0,15.0,7.0,31.0,31.0,31.0,31.0,1862.0,1807.0,0.0,0.0,0.0,0.0,0.0,0.0,1576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,1013.0,818.0,1087.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,2.0,19.0,0.0,9.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2022-03-11 00:00:00,16890.0,15,0.0,0.0,555.0,5.0,4.0,0.0,0.0,167.0,0.0,0.0,2.0,0.0,0.0,0.0,372.0,6.0,0.0,184.0,141.0,234.0,0.0,7859937.0,12808397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,235.0,141.0,0.0,0.0,0.0,0.0,0.0,555.0,555.0,407.0,3.0,405.0,3.0,2.0,21.0,21.0,21.0,21.0,378.0,322.0,2.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26.0,0.0,0.0,0.0,0.0,185.0,141.0,234.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,12.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,16891.0,15,0.0,0.0,236.0,0.0,3.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,169.0,0.0,0.0,58.0,91.0,87.0,0.0,1058824.0,2680841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,87.0,91.0,0.0,0.0,0.0,0.0,0.0,236.0,236.0,183.0,1.0,183.0,1.0,0.0,2.0,2.0,2.0,2.0,169.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,0.0,0.0,0.0,0.0,58.0,91.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
