begintime,sk_object,duration,M8027C0,M8027C1,M8027C2,M8027C3,M8027C4,M8027C5
2022-03-12 14:15:00,20771.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-11 08:00:00,20838.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 08:15:00,20823.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 06:30:00,20824.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 16:45:00,20824.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 02:15:00,20783.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 10:15:00,20800.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 16:00:00,20759.0,15,2.0,2.0,2.0,9.0,3.0,6.0
2022-03-15 01:00:00,20784.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 05:15:00,20808.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 15:00:00,20808.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 11:30:00,20823.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 03:00:00,20813.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 22:45:00,20815.0,15,2.0,2.0,2.0,17.0,1.0,15.0
2022-03-12 07:30:00,20754.0,15,0.0,0.0,0.0,12.0,2.0,9.0
2022-03-14 00:45:00,20776.0,15,0.0,0.0,0.0,7.0,0.0,7.0
2022-03-13 06:00:00,20760.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 03:15:00,20797.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 13:30:00,20791.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 22:15:00,20751.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 01:00:00,20815.0,15,0.0,0.0,0.0,10.0,1.0,9.0
2022-03-12 02:45:00,20749.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 22:00:00,20795.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-11 15:30:00,20820.0,15,2.0,2.0,2.0,4.0,1.0,3.0
2022-03-11 17:15:00,20783.0,15,0.0,0.0,0.0,18.0,15.0,3.0
2022-03-12 07:00:00,20817.0,15,5.0,5.0,4.0,2.0,1.0,1.0
2022-03-11 12:15:00,20833.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 06:15:00,20803.0,15,0.0,0.0,0.0,10.0,0.0,10.0
2022-03-14 21:15:00,20817.0,15,18.0,18.0,12.0,16.0,8.0,8.0
2022-03-11 20:00:00,20783.0,15,0.0,0.0,0.0,2.0,0.0,2.0
2022-03-14 09:45:00,20829.0,15,0.0,0.0,0.0,1.0,0.0,1.0
2022-03-13 08:15:00,20813.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 01:30:00,20762.0,15,0.0,0.0,0.0,4.0,0.0,4.0
2022-03-11 22:30:00,20832.0,15,2.0,2.0,1.0,5.0,1.0,4.0
