begintime,sk_object,duration,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-19 03:00:00,21349.0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 03:15:00,21307.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 11:15:00,21319.0,15,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 03:00:00,21389.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 05:30:00,21394.0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 05:15:00,21333.0,15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 04:15:00,21365.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 13:30:00,21344.0,15,113.0,7.0,0.0,7.0,0.0,0.0,0.0,23.0,0.0
2022-03-11 13:15:00,21325.0,15,47.0,6.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0
2022-03-13 10:45:00,21381.0,15,100.0,45.0,0.0,12.0,0.0,0.0,0.0,29.0,0.0
2022-03-11 21:30:00,21309.0,15,109.0,51.0,0.0,25.0,0.0,0.0,0.0,14.0,0.0
2022-03-13 03:30:00,21389.0,15,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 19:00:00,21321.0,15,50.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0
2022-03-11 08:00:00,21345.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 19:15:00,21375.0,15,38.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0
2022-03-12 12:00:00,21334.0,15,27.0,10.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0
2022-03-11 04:30:00,21332.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 19:30:00,21323.0,15,98.0,18.0,0.0,27.0,0.0,0.0,0.0,21.0,0.0
2022-03-11 12:45:00,21375.0,15,34.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 06:00:00,21382.0,15,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-13 01:15:00,21377.0,15,121.0,2.0,0.0,8.0,0.0,0.0,0.0,16.0,0.0
2022-03-14 03:30:00,21370.0,15,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 06:30:00,21355.0,15,30.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 13:30:00,21329.0,15,66.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0
2022-03-13 18:30:00,21373.0,15,125.0,10.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0
2022-03-12 01:30:00,21355.0,15,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:30:00,21362.0,15,161.0,17.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 06:15:00,21380.0,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 21:00:00,21361.0,15,391.0,7.0,0.0,7.0,0.0,0.0,0.0,22.0,0.0
2022-03-14 03:45:00,21383.0,15,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
