begintime,sk_object,duration,M8049C0,M8049C1,M8049C2,M8049C3
2022-03-16 01:02:00,21829.0,13,108.0,0.0,0.0,0.0
2022-03-11 00:00:00,21820.0,15,77.0,39263.0,8571.0,40976.0
2022-03-11 00:00:00,21821.0,15,27.0,34796.0,1458.0,35137.0
2022-03-11 00:00:00,21822.0,15,51.0,15367.0,3298.0,16032.0
2022-03-11 00:00:00,21823.0,15,302.0,43432.0,17706.0,51346.0
2022-03-11 00:00:00,21824.0,15,412.0,34716.0,19394.0,52357.0
2022-03-11 00:00:00,21825.0,15,187.0,48192.0,14859.0,54114.0
2022-03-11 00:00:00,21826.0,15,339.0,38339.0,11488.0,42296.0
2022-03-11 00:00:00,21827.0,15,273.0,31515.0,20388.0,50214.0
2022-03-11 00:00:00,21828.0,15,144.0,43962.0,14756.0,46627.0
2022-03-11 00:00:00,21829.0,15,175.0,35016.0,17671.0,37928.0
2022-03-11 00:00:00,21830.0,15,19.0,11174.0,1003.0,11327.0
2022-03-11 00:00:00,21831.0,15,238.0,33041.0,12193.0,38305.0
2022-03-11 00:00:00,21832.0,15,28.0,25787.0,22202.0,41282.0
2022-03-11 00:00:00,21833.0,15,7.0,18626.0,1931.0,19265.0
2022-03-11 00:00:00,21834.0,15,306.0,49500.0,12168.0,54689.0
2022-03-11 00:00:00,21835.0,15,160.0,45597.0,12288.0,49786.0
2022-03-11 00:00:00,21836.0,15,56.0,22598.0,4302.0,25637.0
2022-03-11 00:00:00,21837.0,15,92.0,16792.0,11862.0,24264.0
2022-03-11 00:00:00,21838.0,15,38.0,15851.0,6086.0,18450.0
2022-03-11 00:15:00,21820.0,15,83.0,35463.0,5485.0,37488.0
2022-03-11 00:15:00,21821.0,15,23.0,31385.0,3644.0,32052.0
2022-03-11 00:15:00,21822.0,15,48.0,15569.0,13142.0,21523.0
2022-03-11 00:15:00,21823.0,15,250.0,41226.0,14390.0,48285.0
2022-03-11 00:15:00,21824.0,15,330.0,39723.0,14337.0,47084.0
2022-03-11 00:15:00,21825.0,15,163.0,44993.0,9171.0,49169.0
2022-03-11 00:15:00,21826.0,15,274.0,33539.0,13056.0,41700.0
2022-03-11 00:15:00,21827.0,15,230.0,31321.0,12473.0,42665.0
2022-03-11 00:15:00,21828.0,15,113.0,44790.0,7298.0,47325.0
2022-03-11 00:15:00,21829.0,15,148.0,34146.0,10434.0,37729.0
2022-03-11 00:15:00,21830.0,15,17.0,13930.0,1086.0,14213.0
2022-03-11 00:15:00,21831.0,15,210.0,32415.0,15686.0,40949.0
2022-03-11 00:15:00,21832.0,15,28.0,26460.0,2149.0,27461.0
2022-03-11 00:15:00,21833.0,15,10.0,19675.0,1304.0,20138.0
2022-03-11 00:15:00,21834.0,15,238.0,47727.0,7723.0,50391.0
2022-03-11 00:15:00,21835.0,15,139.0,45374.0,9493.0,48122.0
2022-03-11 00:15:00,21836.0,15,54.0,22580.0,11523.0,26898.0
2022-03-11 00:15:00,21837.0,15,76.0,15215.0,7941.0,20534.0
2022-03-11 00:15:00,21838.0,15,35.0,16784.0,5871.0,17298.0
2022-03-11 00:30:00,21820.0,15,76.0,34560.0,18141.0,49657.0
2022-03-11 00:30:00,21821.0,15,23.0,25181.0,889.0,25464.0
