begintime,sk_object,duration,M8072C28,M8072C29,M8072C0,M8072C1,M8072C2,M8072C3,M8072C4,M8072C5,M8072C6,M8072C30,M8072C7,M8072C8,M8072C9,M8072C10,M8072C11,M8072C12,M8072C13,M8072C31,M8072C32,M8072C33
2022-03-19 05:00:00,22574.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 06:45:00,22567.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 08:15:00,22570.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 01:00:00,22569.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 13:45:00,22541.0,15,0.0,0.0,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,89.0,86.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 12:30:00,22577.0,15,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 10:15:00,22515.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 04:00:00,22588.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 06:45:00,22515.0,15,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 02:30:00,22575.0,15,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 03:45:00,22537.0,15,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 19:30:00,22530.0,15,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 23:30:00,22535.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 20:45:00,22569.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 18:45:00,22541.0,15,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,157.0,156.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 12:15:00,22560.0,15,13.0,13.0,221.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,219.0,213.0,4.0,0.0,0.0,0.0,0.0
2022-03-13 03:30:00,22547.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 12:45:00,22585.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 04:45:00,22598.0,15,0.0,0.0,30.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,30.0,12.0,1.0,0.0,0.0,0.0,0.0
2022-03-11 18:15:00,22514.0,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 22:00:00,22546.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 07:30:00,22584.0,15,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 22:30:00,22572.0,15,35.0,35.0,736.0,0.0,16.0,0.0,1.0,1.0,0.0,35.0,3.0,4.0,0.0,719.0,712.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 03:15:00,22553.0,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 02:15:00,22523.0,15,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 08:45:00,22520.0,15,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 03:30:00,22563.0,15,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 08:15:00,22582.0,15,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 04:30:00,22512.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 19:30:00,22516.0,15,8.0,8.0,135.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,133.0,128.0,2.0,0.0,0.0,0.0,0.0
2022-03-13 08:00:00,22597.0,15,50.0,50.0,216.0,0.0,3.0,0.0,0.0,0.0,0.0,50.0,1.0,1.0,0.0,213.0,210.0,1.0,0.0,0.0,0.0,0.0
2022-03-11 16:00:00,22558.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 02:15:00,22515.0,15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 02:00:00,22559.0,15,6.0,6.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,92.0,93.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 10:30:00,22574.0,15,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 00:45:00,22533.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 17:30:00,22574.0,15,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 01:45:00,22532.0,15,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:45:00,22519.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 03:30:00,22534.0,15,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 14:00:00,22550.0,15,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 03:15:00,22533.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 15:30:00,22523.0,15,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0
