begintime,sk_object,duration,integrity,1282448458,1282432826,1282432827
2022-03-01 15:00:00,593541.0,3600.0,100.0,1.0,1.0,1.0
2022-03-11 08:00:00,630546.0,3600.0,100.0,4.0,5.0,2.0
2022-03-12 10:00:00,630540.0,3600.0,100.0,3.0,3.0,1.0
2022-02-04 15:00:00,630409.0,3600.0,100.0,7.0,8.0,2.0
2022-03-12 22:00:00,630552.0,3600.0,100.0,3.0,3.0,0.0
2022-03-14 18:00:00,630505.0,3600.0,100.0,2.0,2.0,0.0
2022-02-18 19:00:00,630477.0,3600.0,100.0,1.0,1.0,0.0
2022-03-07 14:00:00,463261.0,3600.0,100.0,0.0,1.0,1.0
2022-02-05 12:00:00,630425.0,3600.0,100.0,9.0,9.0,2.0
2022-02-11 21:00:00,630540.0,3600.0,100.0,1.0,1.0,0.0
2022-02-18 16:00:00,374584.0,3600.0,100.0,1.0,1.0,1.0
2022-03-10 13:00:00,630545.0,3600.0,100.0,8.0,8.0,0.0
2022-02-06 11:00:00,532821.0,3600.0,100.0,1.0,1.0,0.0
2022-02-12 10:00:00,630527.0,3600.0,100.0,9.0,9.0,0.0
2022-02-03 16:00:00,630409.0,3600.0,100.0,5.0,5.0,1.0
2022-03-15 09:00:00,490656.0,3600.0,100.0,2.0,2.0,0.0
2022-02-12 16:00:00,490660.0,3600.0,100.0,2.0,2.0,0.0
2022-03-11 22:00:00,630515.0,3600.0,100.0,9.0,9.0,2.0
2022-02-18 11:00:00,630506.0,3600.0,100.0,1.0,1.0,0.0
2022-03-12 07:00:00,630439.0,3600.0,100.0,7.0,7.0,1.0
2022-03-07 15:00:00,630555.0,3600.0,100.0,4.0,4.0,0.0
2022-02-04 21:00:00,448642.0,3600.0,100.0,1.0,1.0,0.0
2022-02-13 14:00:00,630540.0,3600.0,100.0,1.0,1.0,0.0
2022-02-13 12:00:00,607848.0,3600.0,100.0,1.0,1.0,0.0
2022-02-10 08:00:00,630505.0,3600.0,100.0,1.0,1.0,0.0
2022-02-13 14:00:00,630546.0,3600.0,100.0,2.0,2.0,2.0
2022-02-11 13:00:00,630540.0,3600.0,100.0,5.0,5.0,0.0
2022-03-12 16:00:00,367282.0,3600.0,100.0,1.0,1.0,1.0
2022-02-05 16:00:00,532821.0,3600.0,100.0,1.0,1.0,0.0
2022-03-07 18:00:00,630467.0,3600.0,100.0,7.0,7.0,0.0
2022-02-12 08:00:00,630540.0,3600.0,100.0,1.0,1.0,1.0
2022-02-05 08:00:00,630546.0,3600.0,100.0,6.0,6.0,1.0
2022-02-13 22:00:00,630445.0,3600.0,100.0,1.0,1.0,1.0
2022-03-15 20:00:00,630507.0,3600.0,100.0,4.0,4.0,1.0
2022-02-17 10:00:00,366888.0,3600.0,100.0,1.0,1.0,0.0
2022-02-08 13:00:00,482128.0,3600.0,100.0,1.0,1.0,0.0
2022-02-11 15:00:00,540170.0,3600.0,100.0,1.0,1.0,1.0
2022-02-08 12:00:00,502249.0,3600.0,100.0,2.0,2.0,2.0
2022-03-14 03:00:00,630467.0,3600.0,100.0,1.0,1.0,0.0
2022-02-10 19:00:00,630562.0,3600.0,100.0,0.0,1.0,1.0
2022-02-05 18:00:00,630562.0,3600.0,100.0,3.0,3.0,0.0
2022-02-04 09:00:00,630412.0,3600.0,100.0,26.0,27.0,4.0
2022-02-11 13:00:00,630564.0,3600.0,100.0,11.0,11.0,4.0
2022-02-08 16:00:00,630470.0,3600.0,100.0,1.0,1.0,0.0
2022-03-13 16:00:00,630439.0,3600.0,100.0,7.0,7.0,1.0
2022-03-15 09:00:00,502246.0,3600.0,100.0,2.0,2.0,0.0
2022-03-07 20:00:00,630505.0,3600.0,100.0,2.0,2.0,0.0
2022-02-04 09:00:00,463205.0,3600.0,100.0,2.0,2.0,0.0
2022-02-12 08:00:00,630439.0,3600.0,100.0,8.0,8.0,1.0
2022-03-07 20:00:00,532290.0,3600.0,100.0,1.0,1.0,0.0
2022-03-12 13:00:00,630545.0,3600.0,100.0,9.0,10.0,1.0
2022-02-17 23:00:00,630426.0,3600.0,100.0,2.0,2.0,0.0
2022-03-06 21:00:00,630545.0,3600.0,100.0,1.0,1.0,0.0
2022-03-12 18:00:00,630412.0,3600.0,100.0,32.0,32.0,6.0
2022-03-15 14:00:00,630467.0,3600.0,100.0,9.0,9.0,0.0
2022-02-18 17:00:00,424840.0,3600.0,100.0,1.0,1.0,0.0
2022-02-04 18:00:00,630564.0,3600.0,100.0,12.0,12.0,3.0
2022-03-15 17:00:00,630505.0,3600.0,100.0,2.0,2.0,0.0
2022-03-15 07:00:00,574878.0,3600.0,100.0,2.0,2.0,0.0
2022-02-08 13:00:00,630462.0,3600.0,100.0,2.0,2.0,0.0
2022-02-12 11:00:00,532892.0,3600.0,100.0,2.0,2.0,1.0
2022-03-07 23:00:00,540170.0,3600.0,100.0,1.0,1.0,0.0
2022-02-18 18:00:00,532892.0,3600.0,100.0,1.0,1.0,0.0
2022-02-10 14:00:00,532978.0,3600.0,100.0,1.0,1.0,0.0
2022-02-03 16:00:00,630546.0,3600.0,100.0,1.0,1.0,0.0
2022-02-17 05:00:00,630546.0,3600.0,100.0,1.0,1.0,0.0
2022-02-18 19:00:00,532821.0,3600.0,100.0,1.0,1.0,0.0
2022-02-13 09:00:00,605821.0,3600.0,100.0,1.0,1.0,0.0
2022-02-04 19:00:00,531638.0,3600.0,100.0,1.0,1.0,0.0
2022-02-10 17:00:00,630546.0,3600.0,100.0,2.0,2.0,0.0
2022-03-13 15:00:00,531648.0,3600.0,100.0,1.0,1.0,0.0
