begintime,sk_object,duration,integrity,1282423987,1282423988
2022-03-03 16:00:00,630582.0,3600.0,100.0,12.066,11.452
2022-03-10 14:00:00,630566.0,3600.0,100.0,12.104,11.461
2022-03-03 11:00:00,630581.0,3600.0,100.0,13.415,12.875
2022-02-18 02:00:00,630581.0,3600.0,100.0,1.786,1.514
2022-03-14 08:00:00,630566.0,3600.0,100.0,11.67,11.324
2022-03-15 23:00:00,630566.0,3600.0,100.0,5.813,5.403
2022-03-13 04:00:00,630582.0,3600.0,100.0,1.485,1.289
2022-02-08 16:00:00,630582.0,3600.0,100.0,12.561,11.948
2022-03-07 14:00:00,630581.0,3600.0,100.0,12.87,12.258
2022-02-18 03:00:00,630567.0,3600.0,100.0,1.492,1.273
2022-02-18 22:00:00,630582.0,3600.0,100.0,10.505,9.978
2022-02-11 03:00:00,630581.0,3600.0,100.0,1.344,1.154
2022-03-13 04:00:00,630567.0,3600.0,100.0,1.484,1.286
2022-02-18 01:00:00,630581.0,3600.0,100.0,2.456,2.126
2022-02-08 03:00:00,630581.0,3600.0,100.0,1.284,1.103
2022-02-05 08:00:00,630567.0,3600.0,100.0,12.013,11.677
2022-02-12 11:00:00,630566.0,3600.0,100.0,13.296,12.739
2022-02-04 05:00:00,630567.0,3600.0,100.0,2.073,1.855
2022-02-18 13:00:00,630581.0,3600.0,100.0,10.275,9.671
2022-03-12 11:00:00,630582.0,3600.0,100.0,12.411,11.867
2022-03-13 00:00:00,630581.0,3600.0,100.0,3.739,3.377
2022-03-06 03:00:00,630581.0,3600.0,100.0,1.588,1.358
2022-03-14 04:00:00,630566.0,3600.0,100.0,1.4,1.209
2022-03-11 23:00:00,630567.0,3600.0,100.0,6.043,5.641
2022-03-06 11:00:00,630566.0,3600.0,100.0,12.587,12.061
2022-03-02 18:00:00,630567.0,3600.0,100.0,14.163,13.457
2022-03-15 06:00:00,630566.0,3600.0,100.0,3.827,3.557
2022-02-18 22:00:00,630566.0,3600.0,100.0,10.495,9.976
2022-03-14 10:00:00,630567.0,3600.0,100.0,12.177,11.738
2022-02-20 17:00:00,630582.0,3600.0,100.0,13.031,12.366
2022-02-03 19:00:00,630582.0,3600.0,100.0,17.382,16.815
2022-02-05 18:00:00,630582.0,3600.0,100.0,14.013,13.391
2022-02-17 03:00:00,630566.0,3600.0,100.0,1.404,1.2
2022-03-02 12:00:00,630566.0,3600.0,100.0,12.829,12.195
2022-03-01 21:00:00,630566.0,3600.0,100.0,16.619,16.273
2022-02-19 17:00:00,630566.0,3600.0,100.0,12.718,12.089
2022-03-12 14:00:00,630581.0,3600.0,100.0,11.586,10.983
2022-02-20 18:00:00,630581.0,3600.0,100.0,14.011,13.304
2022-02-13 16:00:00,630581.0,3600.0,100.0,12.899,12.228
2022-03-07 17:00:00,630566.0,3600.0,100.0,13.421,12.761
2022-03-12 06:00:00,630566.0,3600.0,100.0,3.629,3.371
2022-02-03 12:00:00,630581.0,3600.0,100.0,12.632,12.003
2022-03-10 05:00:00,630582.0,3600.0,100.0,1.979,1.77
2022-03-01 09:00:00,630566.0,3600.0,100.0,14.1,13.518
2022-03-10 09:00:00,630581.0,3600.0,100.0,13.533,13.083
2022-02-19 17:00:00,630582.0,3600.0,100.0,12.717,12.08
2022-02-18 00:00:00,630566.0,3600.0,100.0,3.677,3.309
2022-02-10 10:00:00,630581.0,3600.0,100.0,13.296,12.751
2022-03-12 08:00:00,630582.0,3600.0,100.0,12.204,11.893
2022-03-02 08:00:00,630582.0,3600.0,100.0,12.746,12.27
2022-02-11 01:00:00,630582.0,3600.0,100.0,2.017,1.74
2022-02-20 15:00:00,630582.0,3600.0,100.0,12.143,11.531
2022-02-12 09:00:00,630567.0,3600.0,100.0,13.657,13.307
2022-03-14 18:00:00,630581.0,3600.0,100.0,11.959,11.433
2022-02-18 01:00:00,630567.0,3600.0,100.0,2.454,2.121
2022-02-17 08:00:00,630581.0,3600.0,100.0,12.458,11.998
2022-03-15 20:00:00,630566.0,3600.0,100.0,17.613,17.31
2022-02-10 04:00:00,630566.0,3600.0,100.0,1.43,1.278
2022-02-08 13:00:00,630567.0,3600.0,100.0,12.022,11.365
2022-03-13 04:00:00,630581.0,3600.0,100.0,1.482,1.288
2022-03-14 13:00:00,630582.0,3600.0,100.0,10.163,9.697
2022-02-06 20:00:00,630566.0,3600.0,100.0,17.771,17.455
2022-02-18 16:00:00,630581.0,3600.0,100.0,12.731,12.07
2022-02-04 11:00:00,630567.0,3600.0,100.0,13.508,12.973
2022-02-17 23:00:00,630567.0,3600.0,100.0,6.614,6.111
2022-02-06 00:00:00,630582.0,3600.0,100.0,3.502,3.157
2022-02-10 06:00:00,630567.0,3600.0,100.0,3.641,3.35
2022-03-03 02:00:00,630581.0,3600.0,100.0,1.477,1.262
2022-03-14 10:00:00,630582.0,3600.0,100.0,12.18,11.724
2022-03-07 09:00:00,630567.0,3600.0,100.0,13.998,13.586
2022-03-10 09:00:00,630566.0,3600.0,100.0,13.531,13.082
2022-02-08 00:00:00,630567.0,3600.0,100.0,2.949,2.645
2022-03-07 09:00:00,630566.0,3600.0,100.0,14.002,13.57
2022-02-08 02:00:00,630566.0,3600.0,100.0,1.51,1.27
2022-02-06 17:00:00,630582.0,3600.0,100.0,13.406,12.771
2022-03-13 17:00:00,630582.0,3600.0,100.0,12.361,11.715
2022-02-05 02:00:00,630581.0,3600.0,100.0,1.629,1.386
2022-03-06 21:00:00,630566.0,3600.0,100.0,16.212,15.892
2022-02-11 07:00:00,630581.0,3600.0,100.0,8.46,8.116
2022-02-20 12:00:00,630567.0,3600.0,100.0,12.016,11.457
2022-02-13 11:00:00,630566.0,3600.0,100.0,12.078,11.607
2022-03-10 15:00:00,630567.0,3600.0,100.0,12.092,11.453
2022-03-02 21:00:00,630582.0,3600.0,100.0,16.282,15.797
2022-02-04 19:00:00,630582.0,3600.0,100.0,17.881,17.334
2022-02-11 20:00:00,630567.0,3600.0,100.0,19.387,19.109
2022-02-17 21:00:00,630581.0,3600.0,100.0,17.108,16.663
2022-03-15 17:00:00,630581.0,3600.0,100.0,11.797,11.289
2022-03-15 23:00:00,630582.0,3600.0,100.0,5.811,5.415
2022-02-12 19:00:00,630581.0,3600.0,100.0,17.613,17.019
2022-03-03 09:00:00,630582.0,3600.0,100.0,14.003,13.463
2022-02-12 06:00:00,630581.0,3600.0,100.0,3.376,3.091
2022-02-03 00:00:00,630567.0,3600.0,100.0,3.008,2.696
2022-02-10 17:00:00,630566.0,3600.0,100.0,12.71,12.098
2022-02-20 08:00:00,630581.0,3600.0,100.0,11.181,10.825
2022-02-05 07:00:00,630582.0,3600.0,100.0,7.811,7.516
2022-02-13 08:00:00,630566.0,3600.0,100.0,11.554,11.178
