begintime,sk_object,duration,integrity,67194787,67194788,67194793,67194794,67194795,67194796,67196162,73442016,73442017
2022-03-01 02:00:00,7669056.0,3600.0,100.0,193910.0,193910.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-01 00:00:00,7669062.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-01 00:00:00,7669196.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-01 03:00:00,7669187.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-02 04:00:00,90076387.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-01 07:00:00,65323144.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-06 20:00:00,7669138.0,3600.0,100.0,128899.0,128899.0,127916.0,127916.0,2448.0,2279.0,0.0,,
2022-02-20 09:00:00,7669128.0,3600.0,100.0,1840.0,1840.0,1840.0,1840.0,1326.0,1326.0,0.0,,
2022-02-12 19:00:00,7669155.0,3600.0,100.0,9705.0,9680.0,9705.0,9680.0,2925.0,2505.0,25.0,,
2022-03-11 03:00:00,7669137.0,3600.0,100.0,98.0,98.0,98.0,98.0,1028.0,1028.0,0.0,,
2022-02-04 11:00:00,7669093.0,3600.0,100.0,449835.0,449835.0,453372.0,453369.0,18641.0,16154.0,0.0,,
2022-02-11 21:00:00,7669030.0,3600.0,100.0,124461.0,124461.0,124197.0,124198.0,2347.0,2099.0,0.0,,
2022-02-12 16:00:00,7669228.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-11 11:00:00,7669117.0,3600.0,100.0,186148.0,186148.0,186333.0,186333.0,5624.0,5443.0,0.0,,
2022-02-11 01:00:00,7669213.0,3600.0,100.0,102920.0,102920.0,102319.0,102319.0,694.0,643.0,0.0,,
