begintime,sk_object,duration,integrity,1542455798,1542455799,1542455800,1542455796,1542455797,1542455801,1542455802,1542455803,1542460730,1542460731,1542460732
2022-03-01 08:00:00,876998.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 05:00:00,876951.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 03:00:00,877009.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 05:00:00,876941.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 15:00:00,877012.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 19:00:00,876968.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 12:00:00,877012.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-02-06 20:00:00,877013.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-02-06 20:00:00,876978.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 10:00:00,876990.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-02-03 02:00:00,876964.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 16:00:00,876995.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 19:00:00,876982.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 21:00:00,876944.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-02-06 20:00:00,876941.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 13:00:00,876989.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 12:00:00,876939.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-03-01 12:00:00,884415.0,3600.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
