begintime,sk_object,duration,integrity,M51326C0,M51326C1,M51326C2,M51326C3
2022-03-11 01:00:00,15644.0,60.0,100.0,313832.0,21533184.0,194952.0,13349164.0
2022-03-11 03:00:00,15643.0,60.0,100.0,160215.0,11498188.0,81879.0,2674404.0
2022-03-11 06:00:00,15641.0,60.0,100.0,140548.0,9386744.0,86758.0,5968064.0
2022-03-11 07:00:00,15642.0,60.0,100.0,166060.0,11228744.0,99988.0,6000684.0
2022-03-11 04:00:00,15636.0,60.0,100.0,196362.0,13852640.0,109358.0,5642748.0
2022-03-11 10:00:00,15632.0,60.0,100.0,436009.0,30547996.0,234390.0,10207816.0
2022-03-11 05:00:00,15627.0,60.0,100.0,376914.0,25276420.0,247908.0,18983164.0
2022-03-11 06:00:00,15634.0,60.0,100.0,452623.0,31112632.0,290051.0,20803700.0
2022-03-11 01:00:00,15636.0,60.0,100.0,216475.0,15008252.0,122394.0,6421324.0
2022-03-11 00:00:00,15639.0,60.0,100.0,276147.0,19215932.0,201325.0,16346056.0
2022-03-11 09:00:00,15639.0,60.0,100.0,494052.0,36690524.0,377744.0,32194472.0
2022-03-11 11:00:00,15631.0,60.0,100.0,508497.0,37467644.0,298857.0,18305544.0
2022-03-11 09:00:00,15638.0,60.0,100.0,426868.0,30472232.0,230490.0,10541392.0
2022-03-11 08:00:00,15637.0,60.0,100.0,260619.0,18440184.0,174179.0,13621276.0
2022-03-11 06:00:00,15637.0,60.0,100.0,186258.0,12317904.0,123719.0,9531672.0
2022-03-11 06:00:00,15642.0,60.0,100.0,115713.0,7830116.0,67533.0,4037332.0
2022-03-11 05:00:00,15641.0,60.0,100.0,114294.0,7552956.0,71016.0,5028608.0
2022-03-11 01:00:00,15634.0,60.0,100.0,365339.0,24805936.0,232157.0,16118636.0
2022-03-11 07:00:00,15637.0,60.0,100.0,267423.0,18379152.0,179408.0,13954544.0
2022-03-11 04:00:00,15628.0,60.0,100.0,169496.0,12083572.0,89397.0,3580124.0
2022-03-11 01:00:00,15627.0,60.0,100.0,427124.0,28641344.0,285468.0,23859652.0
2022-03-11 10:00:00,15642.0,60.0,100.0,221852.0,15075508.0,137991.0,8234920.0
2022-03-11 10:00:00,15641.0,60.0,100.0,238709.0,16600168.0,148804.0,10511692.0
2022-03-11 10:00:00,15643.0,60.0,100.0,375071.0,26864204.0,190837.0,6083184.0
2022-03-11 07:00:00,15640.0,60.0,100.0,551812.0,39620956.0,355837.0,25485908.0
2022-03-11 09:00:00,15636.0,60.0,100.0,454937.0,32832892.0,254577.0,13813540.0
2022-03-11 02:00:00,15645.0,60.0,100.0,66759.0,4602152.0,38524.0,2033208.0
2022-03-11 04:00:00,15640.0,60.0,100.0,294078.0,20100144.0,183209.0,12225236.0
2022-03-11 02:00:00,15628.0,60.0,100.0,154062.0,10846268.0,81565.0,3181692.0
2022-03-11 02:00:00,15636.0,60.0,100.0,208471.0,14419736.0,117281.0,6033880.0
2022-03-11 05:00:00,15637.0,60.0,100.0,155992.0,10195820.0,104611.0,8349044.0
2022-03-11 06:00:00,15635.0,60.0,100.0,262474.0,18064900.0,194958.0,16416476.0
2022-03-11 11:00:00,15632.0,60.0,100.0,425643.0,29818600.0,228542.0,9779308.0
2022-03-11 04:00:00,15627.0,60.0,100.0,356524.0,23856264.0,234529.0,17880188.0
2022-03-11 04:00:00,15629.0,60.0,100.0,158166.0,10575664.0,108821.0,8811620.0
2022-03-11 05:00:00,15639.0,60.0,100.0,219971.0,14651792.0,159623.0,13145880.0
2022-03-11 08:00:00,15643.0,60.0,100.0,345030.0,24738176.0,174972.0,5440808.0
2022-03-11 06:00:00,15640.0,60.0,100.0,388003.0,26912732.0,243616.0,16394848.0
2022-03-11 11:00:00,15639.0,60.0,100.0,505624.0,37121096.0,389105.0,32836208.0
2022-03-11 02:00:00,15641.0,60.0,100.0,108828.0,7126484.0,69071.0,4978320.0
2022-03-11 11:00:00,15636.0,60.0,100.0,449941.0,32362716.0,252181.0,13485240.0
2022-03-11 04:00:00,15645.0,60.0,100.0,67360.0,4705928.0,37887.0,1940012.0
2022-03-11 00:00:00,15630.0,60.0,100.0,172408.0,11559560.0,114077.0,9056464.0
2022-03-11 07:00:00,15641.0,60.0,100.0,193744.0,13182760.0,121273.0,8415528.0
2022-03-11 00:00:00,15631.0,60.0,100.0,344757.0,24202532.0,206531.0,12483436.0
2022-03-11 02:00:00,15642.0,60.0,100.0,83519.0,5596692.0,48880.0,2984164.0
2022-03-11 08:00:00,15642.0,60.0,100.0,204112.0,13837696.0,127195.0,7746320.0
2022-03-11 08:00:00,15641.0,60.0,100.0,226280.0,15702956.0,141859.0,9939876.0
2022-03-11 05:00:00,15629.0,60.0,100.0,160984.0,10678460.0,110042.0,8704808.0
2022-03-11 12:00:00,15645.0,60.0,100.0,162654.0,11384016.0,90590.0,4546924.0
2022-03-11 01:00:00,15631.0,60.0,100.0,268311.0,18447372.0,160405.0,9712812.0
2022-03-11 09:00:00,15633.0,60.0,100.0,415463.0,29559944.0,214154.0,7520700.0
2022-03-11 05:00:00,15628.0,60.0,100.0,165397.0,11722680.0,87095.0,3342944.0
2022-03-11 10:00:00,15635.0,60.0,100.0,385977.0,29661448.0,294587.0,24681408.0
2022-03-11 00:00:00,15637.0,60.0,100.0,199789.0,13431612.0,134715.0,10301908.0
2022-03-11 01:00:00,15630.0,60.0,100.0,117310.0,7583272.0,78048.0,6461596.0
2022-03-11 11:00:00,15638.0,60.0,100.0,422603.0,29991788.0,227556.0,10318864.0
2022-03-11 02:00:00,15638.0,60.0,100.0,169211.0,11903704.0,89662.0,3659228.0
2022-03-11 10:00:00,15636.0,60.0,100.0,458359.0,33048192.0,256278.0,13787148.0
2022-03-11 01:00:00,15639.0,60.0,100.0,232436.0,15770424.0,170286.0,13736284.0
2022-03-11 02:00:00,15633.0,60.0,100.0,160425.0,11365412.0,82823.0,2909896.0
2022-03-11 07:00:00,15644.0,60.0,100.0,512417.0,37576036.0,324015.0,23544944.0
2022-03-11 10:00:00,15645.0,60.0,100.0,169995.0,11977852.0,94183.0,4749248.0
2022-03-11 08:00:00,15635.0,60.0,100.0,390495.0,29908232.0,305277.0,25893836.0
2022-03-11 10:00:00,15627.0,60.0,100.0,703950.0,49204844.0,456643.0,33335392.0
2022-03-11 00:00:00,15627.0,60.0,100.0,482359.0,32868216.0,318821.0,24267120.0
2022-03-11 07:00:00,15639.0,60.0,100.0,355431.0,25401064.0,260162.0,21345984.0
2022-03-11 04:00:00,15639.0,60.0,100.0,232123.0,15342544.0,169109.0,13805668.0
2022-03-11 04:00:00,15634.0,60.0,100.0,282116.0,18861776.0,177147.0,12306312.0
2022-03-11 12:00:00,15639.0,60.0,100.0,490165.0,35728224.0,376167.0,31743864.0
2022-03-11 04:00:00,15643.0,60.0,100.0,143350.0,10281992.0,73065.0,2313496.0
2022-03-11 02:00:00,15637.0,60.0,100.0,147458.0,9554288.0,99924.0,7930172.0
2022-03-11 03:00:00,15644.0,60.0,100.0,265932.0,17850740.0,163472.0,10975696.0
2022-03-11 09:00:00,15632.0,60.0,100.0,429963.0,30131620.0,231155.0,9984164.0
2022-03-11 04:00:00,15632.0,60.0,100.0,187603.0,13036584.0,101386.0,4627040.0
2022-03-11 10:00:00,15644.0,60.0,100.0,640577.0,48704724.0,404997.0,29857776.0
