begintime,sk_object,duration,integrity,M51361C0,M51361C1,M51361C2,M51361C3,M51361C4
2022-03-16 21:00:00,15746.0,60.0,100.0,1684.0,0.0,0.0,0.0,2588.0
2022-03-15 22:00:00,15746.0,60.0,100.0,3627.0,0.0,0.0,0.0,2143.0
2022-03-16 22:00:00,15739.0,60.0,100.0,4075.0,0.0,0.0,0.0,2533.0
2022-03-11 09:00:00,15743.0,60.0,100.0,57567.0,165.0,329.5,513.0,3600.0
2022-03-11 04:00:00,15729.0,60.0,100.0,57600.0,19.0,55.25,84.0,3600.0
2022-03-11 17:00:00,15734.0,60.0,100.0,57593.0,-52.0,-9.25,72.0,3600.0
2022-03-11 19:00:00,15739.0,60.0,100.0,57599.0,-540.0,-306.5,-219.0,3600.0
2022-03-11 03:00:00,15731.0,60.0,100.0,57600.0,-105.0,-44.5,-4.0,3601.0
2022-03-12 07:00:00,15733.0,60.0,100.0,57598.0,-3.0,23.75,51.0,3600.0
2022-03-11 21:00:00,15729.0,60.0,100.0,57515.0,-2517.0,-737.25,1398.0,3600.0
2022-03-12 07:00:00,15741.0,60.0,100.0,57600.0,0.0,14.75,42.0,3600.0
2022-03-11 03:00:00,15746.0,60.0,100.0,57600.0,-1869.0,-872.75,-295.0,3600.0
2022-03-11 03:00:00,15737.0,60.0,100.0,57593.0,-26950.0,7378.0,35265.0,3600.0
2022-03-11 19:00:00,15730.0,60.0,100.0,43313.0,-9968.0,-2254.0,3155.0,3380.0
2022-03-12 03:00:00,15746.0,60.0,100.0,48882.0,-15912.0,-12257.5,-10792.0,3595.0
2022-03-11 17:00:00,15742.0,60.0,100.0,56277.0,-152.0,735.75,1013.0,3596.0
2022-03-11 19:00:00,15745.0,60.0,100.0,57590.0,-236.0,-130.75,-5.0,3600.0
2022-03-11 08:00:00,15730.0,60.0,100.0,56653.0,-12396.0,-7548.5,267.0,3600.0
2022-03-12 09:00:00,15742.0,60.0,100.0,52343.0,-5380543.0,-987569.5,64367.0,3600.0
2022-03-11 16:00:00,15746.0,60.0,100.0,57534.0,-2897.0,-868.5,1346.0,3600.0
2022-03-11 04:00:00,15735.0,60.0,100.0,57599.0,-1632.0,127.25,639.0,3600.0
2022-03-11 02:00:00,15740.0,60.0,100.0,57600.0,-5158.0,-2034.75,-70.0,3600.0
2022-03-12 06:00:00,15744.0,60.0,100.0,57600.0,-138.0,-67.25,-2.0,3600.0
2022-03-11 23:00:00,15740.0,60.0,100.0,53818.0,0.0,10580.75,38701.0,3402.0
2022-03-11 06:00:00,15732.0,60.0,100.0,57597.0,-604.0,-253.0,346.0,3600.0
2022-03-11 04:00:00,15741.0,60.0,100.0,57600.0,-57.0,-32.5,-6.0,3600.0
2022-03-12 09:00:00,15737.0,60.0,100.0,54995.0,186.0,261.5,314.0,3600.0
2022-03-11 09:00:00,15732.0,60.0,100.0,57598.0,-314.0,-84.75,188.0,3600.0
2022-03-12 01:00:00,15745.0,60.0,100.0,57600.0,-139.0,-93.75,-16.0,3600.0
2022-03-11 08:00:00,15733.0,60.0,100.0,57600.0,-91.0,-19.5,51.0,3600.0
2022-03-11 03:00:00,15744.0,60.0,100.0,57600.0,-128.0,-94.25,-47.0,3600.0
2022-03-12 05:00:00,15739.0,60.0,100.0,57600.0,-10851.0,5125.25,17959.0,3600.0
2022-03-12 03:00:00,15747.0,60.0,100.0,57600.0,-34.0,37.5,209.0,3600.0
