begintime,sk_object,duration,integrity,M8007C8,M8007C9,M8007C0,M8007C1,M8007C2,M8007C4,M8007C7,M8007C10,M8007C11,M8007C12,M8007C14,M8007C15,M8007C16,M8007C17,M8007C18,M8007C19,M8007C20,M8007C21,M8007C22,M8007C23,M8007C24,M8007C25,M8007C26,M8007C27,M8007C28,M8007C29
2022-03-19 13:00:00,16341.0,60.0,100.0,2893.0,17.0,3598.0,3589.0,9.0,6.0,2910.0,2031.0,2029.0,2.0,68.0,6684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 19:00:00,16328.0,60.0,100.0,183.0,0.0,123.0,123.0,0.0,0.0,183.0,122.0,122.0,0.0,41.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 06:00:00,16330.0,60.0,100.0,416.0,0.0,258.0,258.0,0.0,0.0,416.0,256.0,256.0,0.0,27.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 06:00:00,16389.0,60.0,100.0,4739.0,0.0,3656.0,3652.0,3.0,12.0,4739.0,3567.0,3563.0,3.0,41.25,774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 03:00:00,16412.0,60.0,100.0,220.0,0.0,46.0,46.0,0.0,0.0,220.0,46.0,46.0,0.0,22.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17 04:00:00,16347.0,60.0,100.0,538.0,0.0,159.0,159.0,0.0,0.0,538.0,158.0,158.0,0.0,32.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 01:00:00,16334.0,60.0,100.0,1441.0,10.0,1304.0,1304.0,0.0,0.0,1451.0,1301.0,1301.0,0.0,40.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16 00:00:00,16365.0,60.0,100.0,2948.0,3.0,1650.0,1650.0,0.0,12.0,2951.0,1646.0,1646.0,0.0,43.75,2738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16 04:00:00,16410.0,60.0,100.0,3579.0,21.0,2379.0,2349.0,30.0,1.0,3600.0,2293.0,2279.0,14.0,50.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 02:00:00,16361.0,60.0,100.0,2187.0,1.0,1646.0,1646.0,0.0,0.0,2188.0,1624.0,1624.0,0.0,42.25,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 05:00:00,16378.0,60.0,100.0,954.0,0.0,547.0,547.0,0.0,0.0,954.0,544.0,544.0,0.0,41.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 11:00:00,16415.0,60.0,100.0,270.0,0.0,148.0,148.0,0.0,0.0,270.0,108.0,108.0,0.0,51.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 11:00:00,16326.0,60.0,100.0,826.0,0.0,566.0,566.0,0.0,0.0,826.0,550.0,550.0,0.0,39.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17 01:00:00,16348.0,60.0,100.0,390.0,0.0,248.0,248.0,0.0,0.0,390.0,239.0,239.0,0.0,52.0,1277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 03:00:00,16397.0,60.0,100.0,235.0,0.0,31.0,31.0,0.0,0.0,235.0,28.0,28.0,0.0,23.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 10:00:00,16326.0,60.0,100.0,637.0,0.0,353.0,353.0,0.0,0.0,637.0,329.0,329.0,0.0,44.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 05:00:00,16328.0,60.0,100.0,152.0,0.0,146.0,146.0,0.0,0.0,152.0,146.0,146.0,0.0,42.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
