begintime,sk_object,duration,integrity,M8010C65,M8010C36,M8010C37,M8010C38,M8010C39,M8010C40,M8010C41,M8010C42,M8010C43,M8010C44,M8010C45,M8010C46,M8010C47,M8010C48,M8010C49,M8010C50,M8010C51,M8010C52,M8010C53,M8010C54,M8010C55,M8010C56,M8010C57,M8010C58,M8010C59,M8010C60,M8010C61,M8010C62,M8010C63,M8010C64,M8010C66,M8010C67,M8010C68,M8010C69,M8010C70,M8010C71,M8010C72,M8010C73,M8010C74,M8010C75,M8010C123,M8010C76,M8010C77,M8010C78,M8010C79,M8010C80,M8010C81,M8010C82,M8010C83,M8010C84,M8010C85,M8010C86,M8010C87,M8010C88,M8010C89,M8010C90,M8010C91,M8010C92,M8010C93,M8010C94,M8010C95,M8010C96,M8010C97,M8010C98,M8010C99,M8010C100,M8010C112,M8010C113,M8010C114,M8010C115,M8010C116,M8010C117,M8010C118,M8010C119,M8010C120,M8010C121,M8010C122,M8010C124,M8010C125,M8010C126,M8010C127,M8010C128,M8010C129,M8010C130,M8010C131,M8010C132,M8010C133,M8010C134,M8010C135,M8010C136,M8010C137,M8010C138,M8010C139,M8010C140,M8010C141,M8010C142,M8010C143,M8010C144,M8010C145,M8010C146,M8010C147,M8010C148,M8010C149,M8010C150,M8010C151,M8010C152,M8010C153,M8010C154,M8010C155,M8010C156,M8010C157,M8010C158,M8010C159,M8010C160,M8010C161,M8010C162,M8010C163,M8010C164,M8010C165,M8010C166,M8010C167,M8010C168,M8010C169,M8010C170,M8010C171,M8010C172,M8010C173,M8010C174,M8010C175,M8010C176,M8010C177,M8010C178,M8010C179,M8010C180,M8010C181,M8010C188
2022-03-13 05:00:00,16614.0,60.0,100.0,,1.0,8.0,6.0,9.0,7.0,21.0,6.0,2.0,66.0,42.0,31.0,98.0,240.0,457.0,93.0,1003.0,-4312.0,0.0,-665.75,0.0,0.0,698.0,13.0,0.0,22.0,786.0,349.0,,,,1816.0,,,,0.0,0.0,0.0,,,0.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,22.0,16.0,23.0,115.0,116.0,42.0,561.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,907.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 00:00:00,16643.0,60.0,100.0,,7448.0,10597.0,26879.0,116145.0,302376.0,495850.0,677701.0,810079.0,1089186.0,2015452.0,996166.0,1281632.0,1341681.0,996344.0,487176.0,934759.0,-13500.0,5000.0,-1086.5,0.0,0.0,6903963.0,2719488.0,0.0,1021779.0,9851635.0,1670218.0,,,,1864.75,,,,0.0,0.0,0.0,,,0.0,2490.0,2967.0,9335.0,53672.0,129615.0,167895.0,214073.0,243800.0,319211.0,506197.0,302589.0,340519.0,335740.0,321265.0,152568.0,254245.0,228884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4859320.0,3333055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 02:00:00,16681.0,60.0,100.0,,147.0,175.0,823.0,84.0,320.0,3708.0,7677.0,11473.0,19230.0,42773.0,29984.0,53531.0,79103.0,77412.0,72580.0,130488.0,-13500.0,5000.0,734.75,0.0,0.0,153186.0,125416.0,0.0,15096.0,281705.0,21138.0,,,,1584.5,,,,0.0,0.0,0.0,,,0.0,41.0,78.0,12.0,19.0,48.0,581.0,3198.0,5085.0,9752.0,14488.0,11709.0,18223.0,40984.0,31148.0,25640.0,38440.0,2626.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122416.0,190380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 12:00:00,16642.0,60.0,100.0,,312.0,1122.0,1025.0,2575.0,5012.0,10165.0,21660.0,35157.0,65290.0,144567.0,131082.0,196838.0,259756.0,258580.0,165237.0,488095.0,-9851.0,5000.0,-948.5,0.0,0.0,741869.0,293314.0,0.0,82362.0,1057955.0,28875.0,,,,1466.75,,,,0.0,0.0,0.0,,,0.0,108.0,367.0,179.0,558.0,1450.0,4078.0,9399.0,15018.0,25363.0,55941.0,49303.0,79377.0,93273.0,92396.0,60072.0,194060.0,19755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416985.0,670706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 01:00:00,16680.0,60.0,100.0,,2333.0,15522.0,19804.0,86564.0,245975.0,442169.0,560859.0,680934.0,758413.0,1068048.0,427683.0,492127.0,416824.0,251658.0,81884.0,110307.0,-12731.0,4949.0,-1796.75,0.0,0.0,6162110.0,3376785.0,0.0,735912.0,9617399.0,528314.0,,,,1911.0,,,,0.0,0.0,0.0,,,0.0,506.0,5485.0,5974.0,27916.0,99947.0,184943.0,213155.0,221566.0,235778.0,270727.0,103111.0,106935.0,68910.0,40745.0,12695.0,20869.0,80467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2396104.0,1604437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 12:00:00,16610.0,60.0,100.0,,3033.0,11664.0,20548.0,111262.0,243706.0,396039.0,449189.0,410713.0,590190.0,969721.0,517229.0,642804.0,647565.0,512045.0,196330.0,437340.0,-13101.0,5000.0,-735.25,0.0,0.0,4489739.0,1758177.0,0.0,552440.0,6338340.0,320601.0,,,,1787.25,,,,0.0,0.0,0.0,,,0.0,930.0,4969.0,7521.0,48042.0,112658.0,147504.0,116741.0,89697.0,138972.0,314785.0,210312.0,243203.0,183483.0,146332.0,54425.0,103792.0,85661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2273431.0,1889893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 06:00:00,16676.0,60.0,100.0,,363.0,71.0,570.0,431.0,1479.0,3379.0,6872.0,15931.0,35934.0,73302.0,74049.0,117977.0,134942.0,188041.0,119834.0,298772.0,-6262.0,5000.0,496.5,0.0,0.0,159261.0,180055.0,0.0,20343.0,353270.0,10896.0,,,,1524.5,,,,0.0,0.0,0.0,,,0.0,76.0,20.0,143.0,113.0,594.0,1080.0,1708.0,5456.0,12080.0,28264.0,29165.0,53734.0,65854.0,81359.0,59501.0,141973.0,10304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108751.0,476384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 08:00:00,16654.0,60.0,100.0,,3169.0,17769.0,25341.0,84302.0,207545.0,429986.0,537846.0,603470.0,714027.0,919604.0,504181.0,570196.0,473356.0,292041.0,123116.0,303544.0,-13500.0,5000.0,-1171.25,0.0,0.0,4304384.0,1954556.0,0.0,550747.0,6364603.0,389960.0,,,,1897.0,,,,0.0,0.0,0.0,,,0.0,429.0,3819.0,4591.0,23843.0,68664.0,175169.0,197682.0,200049.0,235370.0,270541.0,161937.0,187812.0,143928.0,97610.0,37481.0,99252.0,99476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967919.0,1881026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 01:00:00,16669.0,60.0,100.0,,751.0,162.0,205.0,305.0,344.0,2363.0,6980.0,18711.0,32613.0,60216.0,56912.0,107696.0,314163.0,248860.0,154989.0,438068.0,-13500.0,5000.0,89.75,0.0,0.0,376854.0,323478.0,0.0,23420.0,722444.0,31335.0,,,,1415.75,,,,0.0,0.0,0.0,,,0.0,157.0,18.0,26.0,31.0,90.0,615.0,2454.0,6537.0,12694.0,25462.0,21061.0,30899.0,117548.0,107423.0,87897.0,218554.0,21638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182086.0,603685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 12:00:00,16646.0,60.0,100.0,,2371.0,2320.0,1208.0,925.0,1002.0,1467.0,2763.0,2607.0,3549.0,3116.0,2636.0,3871.0,5522.0,7655.0,6973.0,17209.0,-8126.0,671.0,-2129.75,0.0,0.0,7848.0,23450.0,0.0,916.0,31844.0,502.0,,,,1761.5,,,,0.0,0.0,0.0,,,0.0,23.0,8.0,12.0,49.0,72.0,325.0,886.0,1208.0,1938.0,1509.0,1136.0,1872.0,2684.0,4051.0,3115.0,7590.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12232.0,26459.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
