begintime,sk_object,duration,integrity,M8011C17,M8011C18,M8011C114,M8011C19,M8011C115,M8011C116,M8011C117,M8011C20,M8011C21,M8011C22,M8011C23,M8011C24,M8011C25,M8011C26,M8011C27,M8011C28,M8011C29,M8011C30,M8011C31,M8011C32,M8011C12,M8011C13,M8011C14,M8011C15,M8011C16,M8011C33,M8011C34,M8011C35,M8011C36,M8011C37,M8011C38,M8011C39,M8011C40,M8011C41,M8011C42,M8011C43,M8011C44,M8011C45,M8011C46,M8011C47,M8011C49,M8011C50,M8011C51,M8011C54,M8011C55,M8011C56,M8011C57,M8011C58,M8011C163,M8011C59,M8011C60,M8011C61,M8011C62,M8011C63,M8011C64,M8011C65,M8011C66,M8011C67,M8011C80,M8011C68,M8011C69,M8011C70,M8011C71,M8011C72,M8011C73,M8011C74,M8011C75,M8011C76,M8011C77,M8011C78,M8011C79,M8011C81,M8011C82,M8011C83,M8011C84,M8011C85,M8011C109,M8011C86,M8011C87,M8011C88,M8011C89,M8011C90,M8011C91,M8011C92,M8011C110,M8011C93,M8011C94,M8011C95,M8011C96,M8011C97,M8011C111,M8011C112,M8011C98,M8011C99,M8011C100,M8011C101,M8011C102,M8011C113,M8011C103,M8011C104,M8011C105,M8011C106,M8011C107,M8011C108,M8011C118,M8011C119,M8011C120,M8011C121,M8011C122,M8011C123,M8011C124,M8011C125,M8011C126,M8011C127,M8011C128,M8011C129,M8011C130,M8011C131,M8011C132,M8011C133,M8011C134,M8011C135,M8011C136,M8011C137,M8011C138,M8011C139,M8011C140,M8011C141,M8011C142,M8011C143,M8011C144,M8011C145,M8011C146,M8011C147,M8011C148,M8011C149,M8011C150,M8011C151,M8011C152,M8011C153,M8011C154,M8011C155,M8011C156,M8011C164,M8011C157,M8011C158,M8011C159,M8011C160,M8011C161,M8011C162,M8011C165,M8011C166,M8011C167,M8011C168,M8011C169,M8011C170,M8011C171,M8011C172,M8011C211,M8011C173,M8011C174,M8011C175,M8011C176,M8011C177,M8011C178,M8011C179,M8011C180,M8011C181,M8011C188,M8011C189,M8011C190,M8011C191,M8011C192,M8011C193,M8011C194,M8011C195,M8011C196,M8011C197,M8011C198,M8011C199,M8011C200,M8011C201,M8011C202,M8011C203,M8011C204,M8011C205,M8011C206,M8011C207,M8011C208,M8011C209,M8011C210,M8011C212,M8011C213,M8011C214,M8011C215,M8011C216,M8011C217,M8011C218,M8011C219,M8011C229,M8011C220,M8011C221,M8011C222,M8011C223,M8011C224,M8011C225,M8011C226,M8011C227,M8011C228,M8011C230,M8011C231,M8011C232,M8011C233,M8011C234,M8011C235,M8011C236,M8011C237,M8011C238,M8011C239,M8011C240,M8011C241,M8011C242,M8011C243,M8011C244,M8011C245,M8011C246,M8011C247,M8011C248,M8011C249,M8011C250,M8011C251,M8011C252,M8011C253,M8011C254,M8011C255,M8011C256,M8011C257,M8011C258,M8011C267,M8011C268,M8011C269,M8011C270,M8011C271,M8011C272,M8011C273,M8011C274,M8011C275,M8011C276,M8011C277,M8011C278,M8011C279,M8011C280,M8011C281,M8011C282,M8011C283,M8011C284,M8011C285,M8011C288,M8011C291,M8011C292,M8011C293,M8011C294,M8011C295,M8011C296,M8011C297,M8011C298,M8011C311
2022-03-11 01:00:00,16716.0,60.0,100.0,20.0,26.0,0.0,5.0,0.0,0.0,0.0,76.0,8.0,0.0,100.0,1.0,3528499.0,61138.0,9782.0,270.0,32.0,39.0,16.0,24.0,3583699.0,7737.0,8156.0,104.0,169.0,35.0,165.0,0.0,100.0,9.0,36928651.0,0.0,5151.0,315013.0,18183.0,0.0,0.0,0.0,0.0,23924744.0,21600000.0,164744.0,1596342.0,26286.0,0.0,2.0,0.0,2.0,,3548244.0,45841.0,5915.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,0.0,,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3600.0,0.0,0.0,,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26286.0,164744.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 02:00:00,16739.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,3543244.0,56093.0,581.0,63.0,8.0,0.0,1.0,0.0,3567591.0,11506.0,20898.0,5.0,0.0,1.0,9.0,0.0,100.0,7.25,36972260.0,0.0,12191.0,280091.0,26971.0,0.0,0.0,0.0,0.0,24064229.0,21600000.0,304229.0,1352469.0,16641.0,0.0,3.0,0.0,2.0,,3544338.0,50858.0,4804.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,2.0,,3598.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,3598.0,0.0,0.0,,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,189.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16641.0,304229.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 02:00:00,16752.0,60.0,100.0,37.0,17.0,0.0,7.0,0.0,0.0,0.0,37.0,0.0,0.0,90.0,0.75,3558907.0,33422.0,1390.0,271.0,726.0,417.0,293.0,359.0,3592044.0,6268.0,1494.0,89.0,7.0,450.0,3765.0,0.0,100.0,8.5,36307279.0,0.0,15341.0,279381.0,8958.0,0.0,0.0,0.0,0.0,23851554.0,21600414.0,91140.0,1527209.0,283501.0,0.0,4.0,0.0,2.0,,3581008.0,18785.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,7.0,,3593.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3600.0,0.0,0.0,,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,7.0,3593.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,180.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223428.0,0.0,60073.0,91140.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 03:00:00,16698.0,60.0,100.0,18.0,28.0,0.0,3.0,0.0,0.0,0.0,38.0,0.0,0.0,90.0,0.25,3536420.0,56864.0,6383.0,199.0,37.0,28.0,11.0,20.0,3594151.0,4146.0,1302.0,235.0,79.0,6.0,32.0,0.0,100.0,8.75,36288399.0,0.0,13715.0,308983.0,4151.0,0.0,0.0,0.0,0.0,23841265.0,21600000.0,81265.0,1526501.0,24785.0,0.0,2.0,0.0,1.0,,3583300.0,15453.0,1247.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,0.0,,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3600.0,0.0,0.0,,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,191.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24785.0,81265.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 02:00:00,16752.0,60.0,100.0,101.0,59.0,0.0,12.0,0.0,0.0,0.0,217.0,5.0,0.0,94.0,1.0,3539532.0,37970.0,7553.0,1008.0,1230.0,2501.0,1159.0,2161.0,3590608.0,5440.0,3249.0,245.0,64.0,1642.0,5244.0,0.0,100.0,11.0,36358623.0,0.0,42361.0,295136.0,7769.0,0.0,0.0,0.0,0.0,23920076.0,21602078.0,157998.0,1968840.0,719500.0,0.0,5.0,0.0,2.0,,3578690.0,20271.0,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,0.0,,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3600.0,0.0,0.0,,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,173.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719500.0,158010.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 04:00:00,16784.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.25,3546814.0,32024.0,701.0,200.0,282.0,223.0,116.0,550.0,3595210.0,2033.0,2600.0,142.0,15.0,1461.0,17629.0,0.0,100.0,12.25,36302262.0,0.0,5585.0,279006.0,17746.0,0.0,0.0,0.0,0.0,23808323.0,21600012.0,48311.0,2215490.0,987726.0,0.0,1.0,0.0,1.0,,3581161.0,18833.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,9.0,,3591.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3599.0,0.0,0.0,,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,9.0,3591.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984768.0,0.0,2958.0,48311.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 05:00:00,16722.0,60.0,100.0,16.0,17.0,0.0,8.0,0.0,0.0,0.0,37.0,4.0,0.0,94.0,0.5,3562466.0,32481.0,864.0,252.0,209.0,127.0,67.0,177.0,3592381.0,5614.0,1622.0,235.0,66.0,332.0,3025.0,0.0,100.0,8.0,36203684.0,0.0,16088.0,275987.0,6762.0,0.0,0.0,0.0,0.0,23851621.0,21600008.0,91613.0,1432905.0,202505.0,0.0,2.0,0.0,2.0,,3587274.0,12722.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,0.0,,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3600.0,0.0,0.0,,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,209.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188810.0,0.0,13695.0,91613.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 01:00:00,16702.0,60.0,100.0,164.0,79.0,0.0,49.0,0.0,0.0,0.0,393.0,43.0,0.0,97.0,2.0,3530399.0,58261.0,7869.0,594.0,709.0,383.0,179.0,275.0,3581967.0,12074.0,4454.0,588.0,189.0,345.0,986.0,0.0,100.0,9.25,36937558.0,5.0,55654.0,317891.0,16280.0,0.0,0.0,0.0,0.0,24060587.0,21600000.0,300587.0,1688649.0,179577.0,0.0,3.0,0.0,2.0,,3543738.0,54064.0,2198.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,8.0,,3591.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3599.0,0.0,0.0,,0.0,0.0,0.0,0.0,3599.0,0.0,0.0,0.0,0.0,0.0,8.0,3591.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,678.0,0.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179577.0,300599.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 01:00:00,16714.0,60.0,100.0,47.0,45.0,0.0,16.0,0.0,0.0,0.0,22.0,0.0,0.0,90.0,1.5,3562179.0,34398.0,867.0,198.0,173.0,238.0,121.0,150.0,3578326.0,14185.0,5701.0,1366.0,292.0,206.0,1470.0,0.0,100.0,7.5,36205947.0,0.0,38069.0,278916.0,3299.0,0.0,0.0,0.0,0.0,23991769.0,21600214.0,231555.0,1379513.0,127881.0,0.0,2.0,0.0,2.0,,3587242.0,12651.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,0.0,,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3600.0,0.0,0.0,,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,208.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36429.0,0.0,91452.0,231555.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 02:00:00,16752.0,60.0,100.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,90.0,0.0,3566610.0,32688.0,547.0,32.0,16.0,14.0,8.0,19.0,3596211.0,2979.0,548.0,140.0,74.0,13.0,53.0,0.0,100.0,7.0,36192833.0,0.0,10207.0,277471.0,2827.0,0.0,0.0,0.0,0.0,23817992.0,21601218.0,56774.0,1250359.0,14159.0,0.0,4.0,0.0,1.0,,3588595.0,10796.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,3600000.0,0.0,0.0,0.0,0.0,0.0,,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3600.0,0.0,0.0,,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,129.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,0.0,13974.0,56774.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
