begintime,sk_object,duration,integrity,M8012C152,M8012C153,M8012C154,M8012C155,M8012C56,M8012C57,M8012C58,M8012C59,M8012C60,M8012C61,M8012C62,M8012C63,M8012C64,M8012C65,M8012C66,M8012C67,M8012C68,M8012C174,M8012C0,M8012C1,M8012C2,M8012C3,M8012C12,M8012C16,M8012C17,M8012C18,M8012C19,M8012C20,M8012C22,M8012C23,M8012C25,M8012C26,M8012C27,M8012C28,M8012C29,M8012C30,M8012C31,M8012C32,M8012C33,M8012C34,M8012C35,M8012C36,M8012C37,M8012C38,M8012C39,M8012C40,M8012C41,M8012C42,M8012C43,M8012C44,M8012C45,M8012C46,M8012C47,M8012C48,M8012C49,M8012C50,M8012C51,M8012C52,M8012C53,M8012C54,M8012C55,M8012C69,M8012C70,M8012C71,M8012C74,M8012C75,M8012C76,M8012C77,M8012C78,M8012C79,M8012C80,M8012C81,M8012C82,M8012C83,M8012C84,M8012C85,M8012C86,M8012C87,M8012C88,M8012C89,M8012C90,M8012C91,M8012C92,M8012C122,M8012C93,M8012C94,M8012C95,M8012C96,M8012C97,M8012C98,M8012C99,M8012C100,M8012C101,M8012C102,M8012C103,M8012C104,M8012C105,M8012C106,M8012C107,M8012C108,M8012C116,M8012C117,M8012C118,M8012C119,M8012C120,M8012C121,M8012C123,M8012C124,M8012C125,M8012C126,M8012C127,M8012C128,M8012C129,M8012C130,M8012C131,M8012C132,M8012C133,M8012C134,M8012C143,M8012C144,M8012C145,M8012C146,M8012C147,M8012C148,M8012C149,M8012C150,M8012C151,M8012C156,M8012C157,M8012C158,M8012C159,M8012C160,M8012C161,M8012C162,M8012C163,M8012C164,M8012C175,M8012C165,M8012C166,M8012C167,M8012C168,M8012C169,M8012C170,M8012C171,M8012C172,M8012C173,M8012C176,M8012C177,M8012C178,M8012C179,M8012C180,M8012C181,M8012C182,M8012C183,M8012C184,M8012C185,M8012C206,M8012C186,M8012C187,M8012C188,M8012C189,M8012C190,M8012C191,M8012C192,M8012C193,M8012C194,M8012C195,M8012C196,M8012C197,M8012C201,M8012C202,M8012C203,M8012C204,M8012C205,M8012C209,M8012C212,M8012C213,M8012C214,M8012C215,M8012C216,M8012C218,M8012C219,M8012C220,M8012C221,M8012C222,M8012C223,M8012C224,M8012C225,M8012C226,M8012C227,M8012C228,M8012C229,M8012C230,M8012C231,M8012C232,M8012C233,M8012C234,M8012C235,M8012C236,M8012C237,M8012C238,M8012C239,M8012C240,M8012C241,M8012C242,M8012C243,M8012C244,M8012C245,M8012C246,M8012C247,M8012C248,M8012C249,M8012C250,M8012C251,M8012C252,M8012C253,M8012C254,M8012C255,M8012C256,M8012C257,M8012C258,M8012C259,M8012C260,M8012C261,M8012C262,M8012C263,M8012C264,M8012C265,M8012C266,M8012C267,M8012C268,M8012C269,M8012C270,M8012C271,M8012C272,M8012C273,M8012C274,M8012C275,M8012C276,M8012C277,M8012C278
2022-03-11 06:00:00,16859.0,60.0,100.0,0.0,0.0,0.0,0.0,52141.0,17251.0,14155.0,14809.0,16996.0,17758.0,14043.0,75243.0,69704.0,48414.0,8619.0,0.0,0.0,0.0,4463.0,41.0,35.0,492.0,16.0,14.0,126.0,6854.0,99179.0,15787.0,128.0,8.0,21.0,2.5,8255.0,3466.0,13449.0,3831.0,6146.0,3126.0,5214.0,4038.0,2426.0,5910.0,0.0,4728.0,4595.0,506.0,93.0,3296.0,2148.0,0.0,5818.0,1197.0,1740.0,376149.0,9651.0,49069.0,13939.0,154642.0,50082.0,31136.0,50467.0,1.0,24.0,103.0,2.0,19.0,18.0,23.0,20.0,99.0,19.0,1129.0,517.0,2960.0,1005.0,4123.0,1125.0,3728.0,4709.0,14207.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644192.0,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,34.0,0.0,122.0,10.0,1766.0,1881.0,0.0,0.0,2807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-12 01:00:00,16869.0,60.0,100.0,0.0,0.0,0.0,0.0,10215.0,11101.0,9127.0,24304.0,38686.0,50380.0,51866.0,563341.0,32513.0,0.0,0.0,0.0,0.0,0.0,27964.0,0.0,1148.0,184.0,1.0,3.0,392.0,29459.0,352735.0,22795049.0,47.0,2.25,229.0,66.25,16928.0,11.0,23850.0,154.0,130.0,0.0,128.0,752.0,248.0,1311.0,0.0,9768.0,1898.0,1275.0,15964.0,17517.0,29575.0,0.0,76170.0,90713.0,122691.0,0.0,0.0,0.0,796.0,8370.0,7154.0,3887.0,5751.0,0.0,4.0,389.0,0.0,1.0,22882.0,3.0,1.0,367.0,22834.0,199534.0,419621.0,449623.0,292683.0,478513.0,1270879.0,2723936.0,18312300.0,5822.0,11138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728784.0,1294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124245440.0,5505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3101.0,0.0,0.0,0.0,0.0,22876.0,0.0,398.0,147.0,333253.0,333306.0,0.0,0.0,407551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-12 03:00:00,16798.0,60.0,100.0,0.0,0.0,0.0,0.0,26205.0,28281.0,33300.0,33955.0,21606.0,33338.0,40586.0,219134.0,198793.0,158334.0,49902.0,4267.0,0.0,0.0,4575.0,9.0,22.0,1022.0,18.0,27.0,113.0,5979.0,49283.0,46531.0,197.0,8.0,151.0,7.5,10402.0,22.0,3816.0,2662.0,884.0,0.0,5653.0,9867.0,2127.0,5244.0,0.0,1323.0,2091.0,765.0,1322.0,3205.0,8235.0,0.0,13982.0,25377.0,38733.0,30693.0,9400.0,7284.0,4867.0,145768.0,39805.0,27196.0,11381.0,1.0,53.0,59.0,3.0,18.0,48.0,53.0,22.0,49.0,47.0,87707.0,46379.0,97689.0,93438.0,175642.0,274194.0,454492.0,967042.0,1347.0,1415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348368.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187992.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1821.0,0.0,1821.0,0.0,65.0,0.0,52.0,16.0,439.0,460.0,0.0,0.0,1192.0,0.0,0.0,0.0,1824290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-12 04:00:00,16817.0,60.0,100.0,0.0,0.0,0.0,0.0,3921.0,7936.0,11104.0,18672.0,32911.0,34206.0,41329.0,55686.0,73875.0,62058.0,696.0,0.0,0.0,0.0,4555.0,9.0,2.0,400.0,7.0,10.0,76.0,5982.0,64434.0,40065.0,146.0,19.75,92.0,18.0,3738.0,11.0,2538.0,638.0,182.0,97.0,1888.0,1155.0,1006.0,4938.0,0.0,4771.0,8556.0,15406.0,27431.0,38997.0,29573.0,0.0,18023.0,25210.0,31959.0,32.0,645.0,106.0,1207.0,56675.0,15585.0,3450.0,3431.0,0.0,11.0,66.0,2.0,7.0,42.0,12.0,8.0,65.0,40.0,8282.0,3995.0,10166.0,11595.0,9682.0,18550.0,466.0,21638.0,366.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337368.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32008.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,205.0,1.0,206.0,0.0,47.0,0.0,114.0,29.0,0.0,27.0,0.0,0.0,390.0,0.0,0.0,0.0,204712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-12 04:00:00,16830.0,60.0,100.0,0.0,0.0,0.0,0.0,13377.0,19620.0,29755.0,28147.0,20056.0,16488.0,21640.0,178329.0,204947.0,162768.0,12096.0,0.0,0.0,0.0,4614.0,13.0,10.0,888.0,18.0,27.0,43.0,6048.0,234.0,214.0,0.0,0.0,1.0,0.25,9885.0,167.0,3816.0,2222.0,231.0,63.0,6080.0,4305.0,2156.0,5472.0,0.0,0.0,365.0,0.0,651.0,3780.0,0.0,0.0,0.0,0.0,0.0,15738.0,3878.0,8162.0,7714.0,168380.0,51150.0,17654.0,10349.0,2.0,42.0,1.0,4.0,21.0,0.0,43.0,23.0,1.0,0.0,966.0,0.0,0.0,0.0,0.0,0.0,2796.0,2770.0,850.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,159.0,159.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-13 01:00:00,16880.0,60.0,100.0,0.0,0.0,0.0,0.0,22245.0,20106.0,16232.0,20959.0,14338.0,8629.0,11050.0,242907.0,108875.0,35729.0,0.0,0.0,0.0,0.0,5095.0,10.0,30.0,586.0,13.0,22.0,159.0,6509.0,123627.0,490846.0,63.0,5.25,1447.0,16.75,6941.0,263.0,11081.0,836.0,702.0,1092.0,1856.0,2009.0,1372.0,6387.0,0.0,14949.0,4580.0,3712.0,1967.0,11538.0,14874.0,0.0,1813.0,9352.0,17118.0,6573.0,5709.0,10365.0,7591.0,83468.0,24839.0,14581.0,12992.0,0.0,29.0,131.0,2.0,15.0,496.0,28.0,17.0,126.0,492.0,15897.0,11425.0,24244.0,12375.0,26278.0,18645.0,64709.0,257989.0,1434.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573080.0,1478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739872.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,126.0,592.0,393.0,0.0,60.0,0.0,24.0,331.0,450.0,77.0,17945.0,18165.0,7425.0,9138.0,22084.0,0.0,0.0,337407.0,59501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-13 03:00:00,16798.0,60.0,100.0,0.0,0.0,0.0,0.0,17620.0,10300.0,14672.0,3793.0,4395.0,6429.0,9021.0,99087.0,86565.0,53665.0,9588.0,1648.0,0.0,0.0,4554.0,36.0,17.0,638.0,14.0,25.0,87.0,5978.0,38042.0,30775.0,110.0,5.75,71.0,6.0,7942.0,3048.0,2757.0,2461.0,796.0,0.0,4694.0,2922.0,1988.0,5513.0,0.0,1512.0,1411.0,3623.0,4857.0,3454.0,6140.0,0.0,16362.0,23967.0,15828.0,169084.0,21689.0,29805.0,25916.0,194550.0,76090.0,23160.0,42907.0,0.0,48.0,39.0,3.0,16.0,32.0,47.0,19.0,38.0,31.0,17937.0,7488.0,5464.0,12435.0,7903.0,2529.0,6614.0,5002.0,5416.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265352.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71224.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0,80.0,0.0,79.0,0.0,46.0,0.0,44.0,11.0,1779.0,1786.0,0.0,0.0,1957.0,0.0,0.0,173.0,80229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-14 02:00:00,16810.0,60.0,100.0,0.0,0.0,0.0,0.0,32435.0,25452.0,13333.0,24201.0,15901.0,29149.0,13028.0,6723.0,0.0,0.0,0.0,0.0,0.0,0.0,5198.0,217.0,185.0,613.0,54.0,37.0,457.0,7057.0,294632.0,549686.0,119.0,4.25,1369.0,38.0,57542.0,16694.0,45892.0,21312.0,23579.0,49203.0,78915.0,56854.0,51933.0,28763.0,0.0,44269.0,94937.0,134177.0,107942.0,29206.0,12361.0,0.0,10033.0,10709.0,2030.0,1396736.0,102249.0,252716.0,132197.0,650274.0,94798.0,14495.0,25994.0,1.0,70.0,387.0,6.0,64.0,562.0,69.0,66.0,301.0,553.0,1932.0,1038.0,1665.0,1809.0,0.0,225.0,2097.0,0.0,67564.0,2748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822704.0,23554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3558920.0,739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1516.0,6243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,1061.75,4247.0,117.25,244.0,1061.75,4247.0,117.25,457.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,0.0,0.0,0.0,0.0,616.0,0.0,396.0,48.0,1223.0,7243.0,0.0,0.0,9529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-16 02:00:00,16852.0,60.0,100.0,0.0,0.0,0.0,0.0,18292.0,19635.0,16150.0,17310.0,18583.0,24305.0,11161.0,82791.0,33098.0,23745.0,27598.0,22360.0,25614.0,0.0,4589.0,5.0,16.0,454.0,9.0,29.0,132.0,5998.0,99673.0,60486.0,413.0,15.0,145.0,10.25,543376.0,517807.0,1984343.0,4912521.0,8374316.0,11307118.0,15948919.0,6034038.0,2434079.0,349457.0,0.0,58298.0,7860.0,8234.0,9844.0,4677.0,1017.0,0.0,724.0,5257.0,870.0,14138.0,1179.0,2808.0,0.0,114307.0,25217.0,9969.0,9232.0,2.0,31.0,102.0,1.0,10.0,62.0,30.0,11.0,100.0,61.0,966.0,1903.0,1850.0,8039.0,2381.0,8394.0,23541.0,28753.0,946.0,93120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676952.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38344.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,3220.0,6285.0,0.0,0.0,3218.25,6285.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,46652.0,13.0,46665.0,0.0,71.0,0.0,164.0,43.0,6448.0,6473.0,0.0,0.0,7662.0,0.0,0.0,0.0,46758900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2022-03-16 04:00:00,16834.0,60.0,100.0,0.0,0.0,0.0,0.0,29235.0,36409.0,33821.0,45479.0,43037.0,67432.0,54501.0,83071.0,43245.0,40770.0,4155.0,5823.0,17248.0,0.0,5228.0,29.0,51.0,780.0,15.0,18.0,216.0,7135.0,181609.0,660129.0,301.0,9.75,579.0,42.75,9081.0,55.0,14240.0,1694.0,574.0,630.0,3481.0,5781.0,1767.0,4863.0,0.0,7191.0,8109.0,2124.0,2353.0,4141.0,5288.0,0.0,8724.0,20915.0,38479.0,7721.0,28616.0,33946.0,51679.0,195742.0,51958.0,31377.0,22159.0,0.0,27.0,189.0,3.0,16.0,665.0,26.0,19.0,184.0,663.0,14465.0,14234.0,48640.0,18952.0,9500.0,41805.0,1864.0,499677.0,3341.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1187376.0,3546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3114248.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.75,1855.0,0.0,0.0,463.75,216.0,1855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,0.0,0.0,0.0,0.0,682.0,0.0,370.0,176.0,1478.0,1891.0,0.0,0.0,3383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
