begintime,sk_object,duration,integrity,M8082C0,M8082C1
2022-03-11 03:00:00,22830.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 12:00:00,22848.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 07:00:00,22838.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 05:00:00,22847.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 04:00:00,22852.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 04:00:00,22833.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 06:00:00,22835.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 05:00:00,22845.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 14:00:00,22843.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 14:00:00,22850.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 05:00:00,22849.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 11:00:00,22826.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 01:00:00,22854.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 09:00:00,22855.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 01:00:00,22844.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 06:00:00,22831.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 04:00:00,22854.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 03:00:00,22828.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 01:00:00,22851.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 09:00:00,22854.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 07:00:00,22842.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 14:00:00,22830.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 00:00:00,22855.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 02:00:00,22852.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 03:00:00,22851.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 05:00:00,22842.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 05:00:00,22840.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 00:00:00,22831.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 13:00:00,22856.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 05:00:00,22848.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 10:00:00,22830.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 07:00:00,22830.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 14:00:00,22845.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 03:00:00,22834.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 03:00:00,22832.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 04:00:00,22830.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 10:00:00,22832.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 08:00:00,22831.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 04:00:00,22829.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 10:00:00,22848.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 12:00:00,22843.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 03:00:00,22842.0,60.0,100.0,17694720000000.0,0.0
2022-03-11 13:00:00,22855.0,60.0,100.0,17694720000000.0,0.0
