functionsetid,functionsetname,functionsubsetid,functionsubsetname,supportedperiodminutes,objecttypeid,maeperformanceobjectname,objectname,counterid,countername,counterdescription,counterunit,countertype,counterprecision,timestatisticalmethod,objectstatisticalmethod,formula,visible,defaultmeasured,introducedinversion,node,applicablemode,filter,correlatedfunction,ne,timestatisticalmethod_upper,is_assessing_neighbor,is_archived,busy_hour_aggregation,busy_hour_formula,busy_hour_column
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,67183493,VS.SHO.DelRLAtt.NCell,Number of RL Deletion Attempts in Soft Handover Between Neighboring Cells,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,67183494,VS.SHO.DelRLSucc.NCell,Number of Successful RL Deletions in Soft Handover Between Neighboring Cells,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,67189911,VS.SHO.FailASU.NoReply.NCell,Number of Failed Soft Handovers Between Neighboring Cells Due to Waiting Active Set Update Response Timeout,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,67189912,VS.HHO.FailOut.NoReply.NCell,Number of Failed Hard Handover Between Neighboring Cells Due to Timeout,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,67190708,VS.HSDPA.HHO.NoChR.Att.NCell,Number of HSDSCH-to-HSDSCH hard Handover Requests Without Channel Change Between Neighboring Cells,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,67190709,VS.HSDPA.HHO.NoChR.Succ.NCell,Number of Successful HSDSCH-to-HSDSCH hard Handovers Without Channel Change Between Neighboring Cells,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,67190710,VS.HSDPA.ServCellChg.Att.NCell,Number of HSDPA Serving Cell Change Attempts Between Neighboring Cells,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,67190711,VS.HSDPA.ServCellChg.Succ.NCell,Number of Successful HSDPA Serving Cell Changes Between Neighboring Cells,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73393988,VS.HHO.AttOutIntraNodeB.CS.NCell,Number of CS Outgoing Intra-NodeB Inter-Cell Hard Handover Attempts,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
67109378,Measurements Related to Neighboring Cell,67109395,UMTS Cell-to-UMTS Cell Handover Measurement,15/60/1440,67108979,?/UCELL_NCELL:Label=?! CellID=?! LogicRNCID=?/RNC:?/DEST Cell ID:?,Measurement of UMTS Cell-to-UMTS Cell Handover Performance,73393989,VS.HHO.SuccOutIntraNodeB.CS.NCell,Number of Successful CS Outgoing Intra-NodeB Inter-Cell Hard Handovers,None,"UINT,8",0.0,SUM,SUM,None,True,No,BSC6910,BSC6910 GU V100R023C10SPC500 Performance Counter List.xlsx,U,1.0,,,SUM,1,0.0,,,
