measObjLdn,duration,begin_time,20001167.0,20001168.0,20001169.0,20001170.0
"ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=1,Prach=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3160,2664,1748,835,352,129,47,15,12,6,1,6,3,0,4,3,4,9,1,0,1,0,0,0,0,0,0","464,5820,4607,317,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,260,3538,2793,1673,879,477,281,206,186,160,133,142,89,41,17,5,0,1,0,0,1"
"ManagedElement=1,NodeBFunction=1,Sector=1,Carrier=2,Prach=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2756,2665,1819,936,421,194,75,27,23,13,10,5,8,6,13,4,10,9,0,1,0,1,0,0,0,0,4","464,7030,4831,195,2,2,0,2,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,287,3809,2976,1859,1004,612,367,305,249,223,188,161,126,68,15,2,0,3,0,0,1"
"ManagedElement=1,NodeBFunction=1,Sector=2,Carrier=1,Prach=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","5232,2444,906,244,76,26,24,8,7,7,3,4,3,4,2,4,2,2,1,1,0,0,0,0,0,0,0","464,3630,388,531,241,118,270,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,145,1745,1236,761,417,229,147,133,86,85,99,86,73,33,8,4,3,5,1,1,0"
"ManagedElement=1,NodeBFunction=1,Sector=2,Carrier=2,Prach=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3355,2702,1670,783,324,86,38,12,6,5,3,3,2,1,3,1,2,1,2,0,0,0,0,1,0,0,0","464,8364,233,384,359,354,311,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,275,3446,2674,1484,793,430,281,224,150,130,68,63,33,26,8,2,2,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=3,Carrier=1,Prach=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4215,2607,1324,537,184,59,27,10,7,4,6,4,2,2,2,2,6,2,0,0,0,0,0,0,0,0,0","464,6245,1114,313,11,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,200,2718,2040,1181,638,306,190,133,106,68,88,61,28,24,7,0,0,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=3,Carrier=2,Prach=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","3397,2643,1674,786,303,116,34,17,10,5,3,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,2","464,8217,1049,797,0,13,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,241,3058,2391,1611,963,543,377,252,205,150,118,123,117,58,17,7,0,0,0,0,0"
"ManagedElement=1,NodeBFunction=1,Sector=4,Carrier=1,Prach=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4705,2430,1242,434,112,38,7,7,8,4,4,0,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0","464,4902,1456,0,10,1,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,146,2265,1685,954,510,213,154,110,79,94,69,62,63,36,19,6,3,0,1,1,0"
"ManagedElement=1,NodeBFunction=1,Sector=4,Carrier=2,Prach=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","5757,2168,781,196,56,13,5,5,3,3,1,2,3,3,1,0,1,1,1,0,0,0,0,0,0,0,0","464,3368,1122,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,123,1584,1216,727,305,164,103,67,45,47,54,40,31,21,3,4,1,1,2,1,0"
"ManagedElement=1,NodeBFunction=1,Sector=5,Carrier=1,Prach=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4829,2503,1095,370,99,35,25,3,4,3,4,3,3,5,1,1,2,4,1,0,2,0,1,1,1,0,5","464,5180,714,49,58,18,3,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,177,2097,1531,886,459,266,170,117,119,87,100,86,53,47,16,5,3,1,0,0,1"
"ManagedElement=1,NodeBFunction=1,Sector=5,Carrier=2,Prach=1",900.0,2021-09-26 19:15:00,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","4933,2413,1125,363,101,25,8,6,4,0,2,1,1,1,0,1,3,0,0,0,1,2,0,0,2,0,8","464,4919,1204,60,31,1,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,189,2263,1696,973,456,237,144,89,51,54,37,32,23,17,6,1,1,0,0,0,0"
