sk_node,node_id,node_name,node_technology_id,node_domain_id,node_type_id,vendor_id,node_lat,node_long,node_azimuth,node_region_id,node_sub_region_id,node_zone_id
114,226.0,G18_Test_2,1,1,1,1,#N/A,#N/A,#N/A,,,
136,291.0,G09_Kerr Jarga_1,1,1,1,1,#N/A,#N/A,#N/A,,,
137,292.0,G09_Kerr Jarga_2,1,1,1,1,#N/A,#N/A,#N/A,,,
138,293.0,G09_Kerr Jarga_3,1,1,1,1,#N/A,#N/A,#N/A,,,
168,233.0,G09_Tendaba Camp_1,1,1,1,1,#N/A,#N/A,#N/A,,,
197,124.0,G09_Pakali Ba_1,1,1,1,1,13.517339,-15.243834,330,,,
198,125.0,G09_Pakali Ba_2,1,1,1,1,13.517339,-15.243834,270,,,
199,126.0,G09_Pakali Ba_3,1,1,1,1,13.517339,-15.243834,150,,,
245,237.0,G09_Tendaba Camp_2,1,1,1,1,#N/A,#N/A,#N/A,,,
300,327.0,G09_Sk Primary School_1,1,1,1,1,13.434873,-16.678891,0,,,
301,328.0,G09_Sk Primary School_2,1,1,1,1,13.434873,-16.678891,120,,,
302,329.0,G09_Sk Primary School_3,1,1,1,1,13.434873,-16.678891,240,,,
441,1.0,G_Banjul Tower@Banjul Tower,1,1,2,1,13.458224,-16.584069,,,,
442,79.0,G_HQ@HQ,1,1,2,1,13.455589,-16.683532,,,,
443,47.0,G_Kaiaf@Kaiaf,1,1,2,1,13.411158,-15.610371,,,,
444,66.0,G_Dobson@Dobson,1,1,2,1,13.449784,-16.575675,,,,
445,82.0,G_Kaur@Kaur,1,1,2,1,13.697851,-15.326958,,,,
446,6.0,G_Airport@Airport,1,1,2,1,13.349056,-16.658,,,,
447,0.0,G_Arab Islamic Bank@Arab Islamic Bank,1,1,2,1,13.445166,-16.674637,,,,
448,8.0,G_Bajakunda@Baja Kunda,1,1,2,1,13.481843,-14.053507,,,,
449,80.0,G_Brikama Ba@Brikama Ba,1,1,2,1,13.532752,-14.925251,,,,
450,62.0,G_Jambur@Jambur,1,1,2,1,13.307093,-16.696712,,,,
451,65.0,G_Basori@Basori,1,1,2,1,13.22767,-16.579877,,,,
452,16.0,G_White Building@White Building,1,1,2,1,13.465954,-16.691005,,,,
