sk_object,object,measurement_id,duration,userlabel,is_connected,is_included_in_validation,dwh_created,dwh_last_modified
15157,MRBTS-5089/EQM-1/APEQM-1/RMOD-1/ANTL-1,nokia_macro_40001,60,MRBTS-5089,1.0,1.0,2022-03-24 03:13:45.899306,2022-03-24 03:13:45.899306
15250,MRBTS-5089/EQM-1/APEQM-1/RMOD-1/ANTL-5,nokia_macro_40001,60,MRBTS-5089,1.0,1.0,2022-03-24 03:13:45.899306,2022-03-24 03:13:45.899306
15259,MRBTS-5045/EQM-1/APEQM-1/RMOD-2/ANTL-3,nokia_macro_40001,60,MRBTS-5045,1.0,1.0,2022-03-24 03:13:45.899306,2022-03-24 03:13:45.899306
15263,MRBTS-5091/EQM-1/APEQM-1/RMOD-1/ANTL-2,nokia_macro_40001,60,MRBTS-5091,1.0,1.0,2022-03-24 03:13:45.899306,2022-03-24 03:13:45.899306
15172,MRBTS-5062/EQM-1/APEQM-1/RMOD-1/ANTL-1,nokia_macro_40001,60,MRBTS-5062,1.0,1.0,2022-03-24 03:13:45.899306,2022-03-24 03:13:45.899306
15175,MRBTS-5062/EQM-1/APEQM-1/RMOD-1/ANTL-4,nokia_macro_40001,60,MRBTS-5062,1.0,1.0,2022-03-24 03:13:45.899306,2022-03-24 03:13:45.899306
15286,MRBTS-5083/EQM-1/APEQM-1/RMOD-1/ANTL-2,nokia_macro_40001,60,MRBTS-5083,1.0,1.0,2022-03-24 03:13:45.899306,2022-03-24 03:13:45.899306
15191,MRBTS-5084/EQM-1/APEQM-1/RMOD-1/ANTL-2,nokia_macro_40001,60,MRBTS-5084,1.0,1.0,2022-03-24 03:13:45.899306,2022-03-24 03:13:45.899306
86674,MRBTS-5079/TNLSVC-1/TNL-1/ETHSVC-1/ETHIF-1/VLANIF-1,nokia_common_51302,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:30.156651,2022-03-26 13:40:30.156651
86675,MRBTS-5079/TNLSVC-1/TNL-1/ETHSVC-1/ETHIF-1/VLANIF-2,nokia_common_51302,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:30.156651,2022-03-26 13:40:30.156651
86676,MRBTS-5079/TNLSVC-1/TNL-1/ETHSVC-1/ETHIF-1/VLANIF-3,nokia_common_51302,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:30.156651,2022-03-26 13:40:30.156651
86679,MRBTS-5079/TNLSVC-1/TNL-1/IPNO-1/IPIF-3,nokia_common_51321,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:30.243780,2022-03-26 13:40:30.243780
86684,MRBTS-5079/TNLSVC-1/TNL-1/IPNO-1/IPIF-2,nokia_common_51321,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:30.243780,2022-03-26 13:40:30.243780
1280,"MRBTS-5050/LNBTS-5050/LNCEL-1,MCC-619/MNC-05,ECI-1292831,MCC-619/MNC-05",nokia_common_8015,11,MRBTS-5050,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
180,MRBTS-5050/EQM-1/APEQM-1/RMOD-1/ANTL-2,nokia_common_40001,11,MRBTS-5050,1.0,1.0,2022-03-24 02:33:30.356136,2022-03-24 02:33:30.356136
